date,code,qty
2026-08-01,34000546,900
2026-08-01,5110,525
2026-08-01,5111,820
2026-08-01,5133,300
2026-08-01,5141,310
2026-08-01,5151,416
2026-08-01,5162,1650
2026-08-01,5712,750
2026-08-01,5763W,864
2026-08-01,5764,1800
2026-08-01,5933,200
2026-08-01,A-45A,350
2026-08-01,A448,270
2026-08-01,A449,300
2026-08-01,AS448,1080
2026-08-01,C23ST,2350
2026-08-01,C23TR,5500
2026-08-01,C33M,1400
2026-08-01,C44,3000
2026-08-01,C502,6700
2026-08-01,C521,3426
2026-08-01,C53,1050
2026-08-01,C62,11000
2026-08-01,CM21S,587
2026-08-01,PS-15,415
2026-08-01,PS-16,565
2026-08-01,PS-3,1440
2026-08-01,PU-13,3180
2026-08-01,PU-15,300
2026-08-01,PW71,1782
2026-08-01,U43,5700
2026-08-01,U52,4400
2026-08-01,U53,4750
2026-08-01,U531,1675
2026-08-01,U532,1500
2026-08-01,U62,1500
2026-08-03,34000546,390
2026-08-03,5110,600
2026-08-03,5111S,700
2026-08-03,5133,525
2026-08-03,5141,300
2026-08-03,5151,80
2026-08-03,5162,1050
2026-08-03,5163W,720
2026-08-03,5712,350
2026-08-03,5734,280
2026-08-03,5762,1200
2026-08-03,5763W,936
2026-08-03,5764,1505
2026-08-03,5910,135
2026-08-03,5933,240
2026-08-03,C23ST,5500
2026-08-03,C25BD,480
2026-08-03,C25TR,5600
2026-08-03,C44,2270
2026-08-03,C62,15000
2026-08-03,C863,1110
2026-08-03,C932,1200
2026-08-03,PS-12,2165
2026-08-03,PS-16,910
2026-08-03,PU-15,1320
2026-08-03,PU-9,103
2026-08-03,PW11,210
2026-08-03,PW71,1580
2026-08-03,U102,2800
2026-08-03,U43,6000
2026-08-03,U52,6400
2026-08-03,U53,4750
2026-08-03,U532,800
2026-08-03,U93,1800
2026-08-04,5110,650
2026-08-04,5111S,200
2026-08-04,5133,450
2026-08-04,5141,50
2026-08-04,5163W,1200
2026-08-04,5621,408
2026-08-04,5710,375
2026-08-04,5734,650
2026-08-04,5762,3400
2026-08-04,5763W,252
2026-08-04,5764,1215
2026-08-04,5910,720
2026-08-04,5911,490
2026-08-04,C23ST,3000
2026-08-04,C25BD,770
2026-08-04,C25TR,6500
2026-08-04,C33M,2000
2026-08-04,C46,2200
2026-08-04,C521,3000
2026-08-04,C521S,300
2026-08-04,C62,2850
2026-08-04,C83,1956
2026-08-04,C932,8000
2026-08-04,PS-12,3685
2026-08-04,PS-18,389
2026-08-04,PS-4,2040
2026-08-04,PU-13,2400
2026-08-04,PU-14,660
2026-08-04,PU-15,490
2026-08-04,PW11,1910
2026-08-04,PW71,1630
2026-08-04,U102,550
2026-08-04,U253,800
2026-08-04,U43,4700
2026-08-04,U52,4050
2026-08-04,U521,500
2026-08-04,U523,1500
2026-08-04,U526,3300
2026-08-04,U53,3050
2026-08-04,U63,2400
2026-08-04,U93,2700
2026-08-05,5110,650
2026-08-05,5110S,180
2026-08-05,5121,324
2026-08-05,5131,208
2026-08-05,5132,98
2026-08-05,5133,450
2026-08-05,5163W,104
2026-08-05,5622,204
2026-08-05,5710,750
2026-08-05,5734,660
2026-08-05,5762,2400
2026-08-05,5910,405
2026-08-05,5911,770
2026-08-05,C12,800
2026-08-05,C25TR,3000
2026-08-05,C46,1707
2026-08-05,C521,3000
2026-08-05,C523,2742
2026-08-05,C55,1560
2026-08-05,C72,850
2026-08-05,C930,1775
2026-08-05,C932,1400
2026-08-05,PS-12,2860
2026-08-05,PS-18,168
2026-08-05,PS-4,1440
2026-08-05,PS-5,285
2026-08-05,PU-13S,410
2026-08-05,PU-14,825
2026-08-05,PU-14S,255
2026-08-05,PU-8,128
2026-08-05,PW11,1690
2026-08-05,PW71,1330
2026-08-05,U232,1500
2026-08-05,U253,460
2026-08-05,U322,3000
2026-08-05,U521,3790
2026-08-05,U523,838
2026-08-05,U526,2850
2026-08-05,U63,3300
2026-08-05,U72,600
2026-08-05,U93,1775
2026-08-06,30003387,800
2026-08-06,5110,525
2026-08-06,5110S,540
2026-08-06,5111,940
2026-08-06,5121,720
2026-08-06,5131,256
2026-08-06,5133,390
2026-08-06,5134,280
2026-08-06,5157,660
2026-08-06,5651,42
2026-08-06,5710,750
2026-08-06,5711,1380
2026-08-06,5762,3600
2026-08-06,A-9A,385
2026-08-06,C12,1400
2026-08-06,C24TR,3000
2026-08-06,C521,2400
2026-08-06,C523,2800
2026-08-06,C55,2450
2026-08-06,C63,2400
2026-08-06,C71,3074
2026-08-06,C72,900
2026-08-06,C73,2095
2026-08-06,C82,2149
2026-08-06,PS-12,1825
2026-08-06,PS-13,90
2026-08-06,PS-5,1395
2026-08-06,PU-13S,810
2026-08-06,PU-14,40
2026-08-06,PU-14S,195
2026-08-06,PU-4,165
2026-08-06,PU-8,60
2026-08-06,PW11,1364
2026-08-06,PW71,250
2026-08-06,PW73S,70
2026-08-06,U103,4000
2026-08-06,U232,3600
2026-08-06,U322,425
2026-08-06,U526,3000
2026-08-06,U61,2000
2026-08-06,U63,1900
2026-08-06,U72,1800
2026-08-07,30003387,1345
2026-08-07,5110,500
2026-08-07,5110S,930
2026-08-07,5121,936
2026-08-07,5133,345
2026-08-07,5134,330
2026-08-07,5157,660
2026-08-07,5161,648
2026-08-07,5651,222
2026-08-07,5710,450
2026-08-07,5711,1500
2026-08-07,5762,1000
2026-08-07,A-27C,105
2026-08-07,A-9A,155
2026-08-07,A-9C,175
2026-08-07,C103,1200
2026-08-07,C12,1400
2026-08-07,C24TR,5500
2026-08-07,C32M,1560
2026-08-07,C521,5400
2026-08-07,C63,6300
2026-08-07,C72,2711
2026-08-07,C731,150
2026-08-07,C732,500
2026-08-07,PS-3,1470
2026-08-07,PS-5,555
2026-08-07,PU-13S,1500
2026-08-07,PU-14,195
2026-08-07,PU-4,605
2026-08-07,PW11,1484
2026-08-07,PW13S,150
2026-08-07,PW73S,335
2026-08-07,U103,2700
2026-08-07,U232,1275
2026-08-07,U32F,1560
2026-08-07,U526,350
2026-08-07,U54,900
2026-08-07,U61,5600
2026-08-07,U64,1600
2026-08-07,U72,2240
2026-08-08,5110,600
2026-08-08,5110S,120
2026-08-08,5111,600
2026-08-08,5121,1008
2026-08-08,5133,555
2026-08-08,5134,340
2026-08-08,5157,780
2026-08-08,5161,1296
2026-08-08,5651,306
2026-08-08,5711,1500
2026-08-08,A-27C,205
2026-08-08,A-29C,225
2026-08-08,A442,200
2026-08-08,C103,4850
2026-08-08,C12,1400
2026-08-08,C24TR,5500
2026-08-08,C320,400
2026-08-08,C521,6000
2026-08-08,C63,6300
2026-08-08,C732,1240
2026-08-08,PN49C,268
2026-08-08,PS-3,2910
2026-08-08,PU-13,250
2026-08-08,PU-13S,1720
2026-08-08,PU-4,1120
2026-08-08,PW11,1730
2026-08-08,PW13S,120
2026-08-08,U23EP,2300
2026-08-08,U32M,490
2026-08-08,U33F,1500
2026-08-08,U33P,2000
2026-08-08,U35M,280
2026-08-08,U503,1500
2026-08-08,U54,2850
2026-08-08,U55,1500
2026-08-08,U61,1300
2026-08-08,U64,1550
2026-08-09,5110,450
2026-08-09,5111,960
2026-08-09,5121,612
2026-08-09,5133,525
2026-08-09,5157,300
2026-08-09,5161,1404
2026-08-09,5711,1080
2026-08-09,A-29C,240
2026-08-09,A369,435
2026-08-09,A442,32
2026-08-09,A472,48
2026-08-09,A672,150
2026-08-09,C23EP,700
2026-08-09,C23ST,800
2026-08-09,C320,1500
2026-08-09,C45,4000
2026-08-09,C521,3300
2026-08-09,PN49C,170
2026-08-09,PS-3,1350
2026-08-09,PW11,720
2026-08-09,U23EP,1250
2026-08-09,U33F,1600
2026-08-09,U33M,450
2026-08-09,U33P,4600
2026-08-09,U35M,745
2026-08-09,U503,450
2026-08-09,U535,1040
2026-08-09,U54,1040
2026-08-09,U55,1200
2026-08-10,5110,625
2026-08-10,5111,560
2026-08-10,5121,864
2026-08-10,5133,525
2026-08-10,5134,200
2026-08-10,5157,780
2026-08-10,5161,1512
2026-08-10,5652,200
2026-08-10,5711,1500
2026-08-10,A-49C,307
2026-08-10,A349,120
2026-08-10,A369,178
2026-08-10,AS449,125
2026-08-10,C12,1400
2026-08-10,C23BD,1000
2026-08-10,C23EP,1300
2026-08-10,C23ST,2820
