date,code,qty
2026-06-01,5110,725
2026-06-01,5111,1400
2026-06-01,5121,360
2026-06-01,5141,270
2026-06-01,5157,780
2026-06-01,5710,750
2026-06-01,5711,1560
2026-06-01,5733,480
2026-06-01,5762,1800
2026-06-01,90000017,280
2026-06-01,A466,1260
2026-06-01,AS249,800
2026-06-01,AS449,600
2026-06-01,C273CN,2000
2026-06-01,C273TC,850
2026-06-01,C274CN,400
2026-06-01,C33F,1750
2026-06-01,C62,13000
2026-06-01,C71,3398
2026-06-01,C842,1700
2026-06-01,C843,1700
2026-06-01,C93,1400
2026-06-01,PP1,6000
2026-06-01,PS-18,252
2026-06-01,PS-2,2600
2026-06-01,PS-3,2620
2026-06-01,PW71,1900
2026-06-01,U273TCN,1050
2026-06-01,U50,3500
2026-06-01,U503,3150
2026-06-01,U53,2750
2026-06-01,U54,690
2026-06-02,34000546,1000
2026-06-02,5110,600
2026-06-02,5111,1380
2026-06-02,5121,1224
2026-06-02,5141,270
2026-06-02,5162,600
2026-06-02,5710,300
2026-06-02,5711,1560
2026-06-02,5762,2200
2026-06-02,90000016,560
2026-06-02,A349,75
2026-06-02,A464,4000
2026-06-02,A466,540
2026-06-02,AS228,1000
2026-06-02,AS249,350
2026-06-02,AS449,425
2026-06-02,C273CN,3400
2026-06-02,C274CN,1020
2026-06-02,C33F,5000
2026-06-02,C48,54
2026-06-02,C62,9800
2026-06-02,C731,891
2026-06-02,C732,800
2026-06-02,PP1,6000
2026-06-02,PS-13,2760
2026-06-02,PS-18,464
2026-06-02,PS-2,2583
2026-06-02,PU-12,3350
2026-06-02,PW11,1050
2026-06-02,PW71,1376
2026-06-02,U45,600
2026-06-02,U50,4300
2026-06-02,U503,800
2026-06-02,U51,1200
2026-06-02,U53,5250
2026-06-03,33000778,394
2026-06-03,5110,650
2026-06-03,5111,1280
2026-06-03,5121,900
2026-06-03,5141,520
2026-06-03,5162,1800
2026-06-03,5710,525
2026-06-03,5711,1800
2026-06-03,90000016,360
2026-06-03,A269,550
2026-06-03,A347,180
2026-06-03,A349,480
2026-06-03,A464,4250
2026-06-03,A549,150
2026-06-03,C23LH,1000
2026-06-03,C23TR,4600
2026-06-03,C24ST,1580
2026-06-03,C323,1642
2026-06-03,C33F,750
2026-06-03,C33M,1200
2026-06-03,C48,270
2026-06-03,C56,50
2026-06-03,C943,600
2026-06-03,PP1,6000
2026-06-03,PP63,2700
2026-06-03,PS-12,275
2026-06-03,PS-13,1360
2026-06-03,PS-2,1705
2026-06-03,PS-3,570
2026-06-03,PU-12S,700
2026-06-03,PU-13S,1130
2026-06-03,PU-18,224
2026-06-03,PW11,70
2026-06-03,PW91,1900
2026-06-03,PW93,50
2026-06-03,U45,2850
2026-06-03,U51,7700
2026-06-03,U53,5250
2026-06-03,U865,1570
2026-06-03,U89,900
2026-06-04,33000778,1000
2026-06-04,5110,375
2026-06-04,5111,1080
2026-06-04,5121,1224
2026-06-04,5141,520
2026-06-04,5162,1800
2026-06-04,5710,750
2026-06-04,5711,1800
2026-06-04,5712,750
2026-06-04,90000016,620
2026-06-04,A-28C,475
2026-06-04,A-34C,38
2026-06-04,A347,945
2026-06-04,A549,675
2026-06-04,C23LH,2000
2026-06-04,C33P,1500
2026-06-04,C48,113
2026-06-04,C52,4000
2026-06-04,C521,3750
2026-06-04,C602,5600
2026-06-04,C63,3200
2026-06-04,C943,1050
2026-06-04,PP1,6000
2026-06-04,PP63,3000
2026-06-04,PS-12,1980
2026-06-04,PS-3,2120
2026-06-04,PU-13,1630
2026-06-04,PU-14S,120
2026-06-04,PW11,550
2026-06-04,PW93,462
2026-06-04,U231,700
2026-06-04,U273TCN,900
2026-06-04,U321,1125
2026-06-04,U44,2610
2026-06-04,U52,5050
2026-06-04,U53,2750
2026-06-04,U89,550
2026-06-05,33000778,780
2026-06-05,5110,400
2026-06-05,5111,900
2026-06-05,5121,720
2026-06-05,5133,240
2026-06-05,5141,420
2026-06-05,5162,1500
2026-06-05,5710,525
2026-06-05,5710S,984
2026-06-05,5711,1740
2026-06-05,5712,800
2026-06-05,5712S,500
2026-06-05,A-34A,55
2026-06-05,A-34C,92
2026-06-05,A503,600
2026-06-05,A564,3500
2026-06-05,C12,800
2026-06-05,C23LH,3000
2026-06-05,C52,10400
2026-06-05,C521,6000
2026-06-05,C63,1375
2026-06-05,PP1,6000
2026-06-05,PP53,1500
2026-06-05,PS-12,2255
2026-06-05,PS-3,1650
2026-06-05,PU-13,1280
2026-06-05,PW11,1400
2026-06-05,U231,3100
2026-06-05,U273TCN,1700
2026-06-05,U322,4140
2026-06-05,U43,1200
2026-06-05,U53,4000
2026-06-06,5110,600
2026-06-06,5110S,1260
2026-06-06,5111,1000
2026-06-06,5121,1008
2026-06-06,5133,525
2026-06-06,5710,750
2026-06-06,5711,1440
2026-06-06,5711S,560
2026-06-06,5712,750
2026-06-06,5712S,150
2026-06-06,5764,2370
2026-06-06,90000066,280
2026-06-06,A503,750
2026-06-06,A704,450
2026-06-06,C12,1600
2026-06-06,C23BD,500
2026-06-06,C23LH,3000
2026-06-06,C33M,2000
2026-06-06,C52,6400
2026-06-06,C521,2171
2026-06-06,C930,2100
2026-06-06,PP1,6000
2026-06-06,U103,2000
2026-06-06,U273TCN,550
2026-06-06,U43,6000
2026-06-06,U521,2625
2026-06-06,U53,5250
2026-06-06,U92,600
2026-06-06,U920,868
2026-06-07,5110S,480
2026-06-07,5134S,120
2026-06-07,5711,480
2026-06-07,5734,180
2026-06-07,5764,1050
2026-06-07,90000066,112
2026-06-07,C23BD,700
2026-06-07,C23LH,1000
2026-06-07,C56,600
2026-06-07,PP1,4000
2026-06-07,PP53,1050
2026-06-07,U102,2400
2026-06-07,U103,1950
2026-06-07,U43,2100
2026-06-07,U53,1750
2026-06-07,U92,1100
2026-06-08,5110,425
2026-06-08,5110S,510
2026-06-08,5111,1280
2026-06-08,5121,756
2026-06-08,5133,510
2026-06-08,5134S,240
2026-06-08,5164,780
2026-06-08,5662,400
2026-06-08,5710,750
2026-06-08,5711,1380
2026-06-08,5711S,560
2026-06-08,5734,630
2026-06-08,A469,360
2026-06-08,C12,1600
2026-06-08,C22BD,750
2026-06-08,C23BD,1185
2026-06-08,C23LH,3000
2026-06-08,C25BD,450
2026-06-08,C33M,2920
2026-06-08,C54,400
2026-06-08,C56,1400
2026-06-08,PP1,11000
2026-06-08,PP53,1500
2026-06-08,U102,2000
2026-06-08,U32M,1320
2026-06-08,U33M,600
2026-06-08,U43,5400
2026-06-08,U53,4650
2026-06-08,U532,2250
2026-06-08,U538,290
2026-06-08,U539,290
2026-06-08,U66,40
2026-06-08,U72,1425
2026-06-09,5110,125
2026-06-09,5110S,480
2026-06-09,5111,280
2026-06-09,5164,1200
2026-06-09,5710,150
2026-06-09,5711,240
2026-06-09,5734,180
2026-06-09,A469,72
2026-06-09,C12,800
2026-06-09,C22BD,650
2026-06-09,C22TR,12600
2026-06-09,C25BA,392
2026-06-09,C25BD,117
2026-06-09,C273TCN,1100
2026-06-09,C54,2000
2026-06-09,U32M,1060
2026-06-09,U33F,900
2026-06-09,U33M,1820
2026-06-09,U532,1200
2026-06-09,U66,280
2026-06-10,4761,500
2026-06-10,5110S,1020
2026-06-10,5111,860
2026-06-10,5133,225
2026-06-10,5164,900
2026-06-10,5662,800
2026-06-10,5710,525
2026-06-10,5711,1020
2026-06-10,5721,900
2026-06-10,5734,150
2026-06-10,AS347,450
