date,code,colour,qty
2026-08-01,121,IVORY,1704
2026-08-01,121,WHITE,1114
2026-08-01,123,IVORY,707
2026-08-01,124,IVORY,1126
2026-08-01,124,WHITE,408
2026-08-01,127,IVORY,66
2026-08-01,130,WHITE,559
2026-08-01,141,WHITE,26
2026-08-01,142,WHITE,758
2026-08-01,144,IVORY,1729
2026-08-01,147,IVORY,144
2026-08-01,147,WHITE,621
2026-08-01,120-M,IVORY,150
2026-08-01,123-H,IVORY,70
2026-08-01,124-F,WHITE,106
2026-08-01,124-H,WHITE,4
2026-08-01,124-O,WHITE,172
2026-08-01,131-H,WHITE,5
2026-08-01,132-T,WHITE,240
2026-08-01,144-H,WHITE,5
2026-08-01,144-S,WHITE,105
2026-08-01,228-QW,WHITE,86
2026-08-01,PS-121,NORMAL,98
2026-08-01,PS-124,NORMAL,762
2026-08-01,PS-144,NORMAL,398
2026-08-01,128,WHITE,774
2026-08-01,161,GOLD,419
2026-08-01,162,GOLD,370
2026-08-01,187,WHITE,449
2026-08-01,188,WHITE,527
2026-08-01,190,WHITE,538
2026-08-01,1391,IVORY,1208
2026-08-01,1391,WHITE,880
2026-08-01,1813-C,WHITE,747
2026-08-01,173,GREEN,600
2026-08-01,175,GREEN,375
2026-08-01,513,WHITE,360
2026-08-01,701,WHITE,800
2026-08-01,PTA-78,WHITE,200
2026-08-01,151,GOLD,900
2026-08-01,152,GOLD,3384
2026-08-01,323,WHITE,633
2026-08-01,324,WHITE,6050
2026-08-01,3272,WHITE,900
2026-08-01,3281,WHITE,150
2026-08-01,323-K,WHITE,1826
2026-08-01,3272-C,WHITE,963
2026-08-01,123-DP,NORMAL,105
2026-08-01,123-NN,WHITE,65
2026-08-01,123-QW,NORMAL,104
2026-08-01,124-NP,NORMAL,235
2026-08-01,124-QR,NORMAL,69
2026-08-01,124-U,WHITE,86
2026-08-01,132-DP,NORMAL,19
2026-08-01,132-QR,NORMAL,122
2026-08-01,1375-S,IVORY,35
2026-08-01,144-DP,NORMAL,240
2026-08-01,144-DR,NORMAL,108
2026-08-01,144-NP,NORMAL,130
2026-08-01,120-WS,WHITE,1604
2026-08-01,121-S,WHITE,186
2026-08-01,124-P,WHITE,78
2026-08-01,124-P,IVORY,316
2026-08-01,124-S,WHITE,91
2026-08-01,124-SR,NORMAL,171
2026-08-01,132-P,IVORY,16
2026-08-01,144-AS,WHITE,81
2026-08-01,144-LSBB,NORMAL,66
2026-08-02,139,WHITE,248
2026-08-02,140,IVORY,58
2026-08-02,1391,IVORY,150
2026-08-02,120-WS,WHITE,362
2026-08-02,123-WS,IVORY,440
2026-08-02,123-WS,WHITE,118
2026-08-02,1322-SR,NORMAL,34
2026-08-02,1391-M,WHITE,426
2026-08-02,144-P,WHITE,243
2026-08-02,1813-C,IVORY,388
2026-08-02,1813-C,PINK,201
2026-08-02,341,WHITE,324
2026-08-02,342,WHITE,850
2026-08-02,343,WHITE,103
2026-08-02,3272-C,WHITE,316
2026-08-02,PTA-48,WHITE,85
2026-08-02,PTA-49,WHITE,37
2026-08-02,324,WHITE,5300
2026-08-03,120,WHITE,103
2026-08-03,121,IVORY,4796
2026-08-03,124,IVORY,406
2026-08-03,127,IVORY,210
2026-08-03,129,IVORY,778
2026-08-03,132,IVORY,84
2026-08-03,142,WHITE,776
2026-08-03,143,IVORY,1184
2026-08-03,143,WHITE,1200
2026-08-03,144,IVORY,4054
2026-08-03,147,IVORY,279
2026-08-03,147,WHITE,92
2026-08-03,131-O,WHITE,40
2026-08-03,132-C,WHITE,139
2026-08-03,132-H,WHITE,406
2026-08-03,132-O,WHITE,74
2026-08-03,142-E,WHITE,130
2026-08-03,143-C,WHITE,289
2026-08-03,144-HR,NORMAL,109
2026-08-03,PS-121,NORMAL,772
2026-08-03,PS-124,NORMAL,268
2026-08-03,112,IVORY,573
2026-08-03,112,WHITE,267
2026-08-03,163,GOLD,300
2026-08-03,165,GOLD,577
2026-08-03,189,WHITE,181
2026-08-03,190,WHITE,280
2026-08-03,194,WHITE,27
2026-08-03,196,WHITE,101
2026-08-03,1891,WHITE,201
2026-08-03,1813-B,IVORY,400
2026-08-03,1813-B,WHITE,30
2026-08-03,1813-C,WHITE,188
2026-08-03,1821-C,WHITE,92
2026-08-03,HF-190,IVORY,434
2026-08-03,PTA-15,WHITE,214
2026-08-03,PTA-48,WHITE,136
2026-08-03,521,WHITE,49
2026-08-03,173,GREEN,600
2026-08-03,175,GREEN,300
2026-08-03,513,WHITE,180
2026-08-03,701,WHITE,550
2026-08-03,152,GOLD,569
2026-08-03,324,WHITE,9371
2026-08-03,342,WHITE,1923
2026-08-03,344,WHITE,700
2026-08-03,3272,WHITE,1561
2026-08-03,3272-C,WHITE,884
2026-08-03,123-D,WHITE,55
2026-08-03,123-DB,NORMAL,14
2026-08-03,123-DG,NORMAL,58
2026-08-03,123-DR,NORMAL,166
2026-08-03,123-QR,NORMAL,65
2026-08-03,123-QW,NORMAL,34
2026-08-03,129-D,WHITE,12
2026-08-03,129-DR,NORMAL,35
2026-08-03,130-D,WHITE,88
2026-08-03,130-DR,NORMAL,50
2026-08-03,130-NP,NORMAL,53
2026-08-03,130-Q,WHITE,147
2026-08-03,130-RG,NORMAL,19
2026-08-03,1322-NP,NORMAL,50
2026-08-03,132-NP,NORMAL,20
2026-08-03,132-U,WHITE,41
2026-08-03,1375-S,WHITE,12
2026-08-03,123-LSFBB,NORMAL,35
