date,code,colour,qty
2026-06-01,111,WHITE,81
2026-06-01,112,WHITE,603
2026-06-01,121,IVORY,3554
2026-06-01,121,WHITE,920
2026-06-01,123,IVORY,1936
2026-06-01,130,WHITE,441
2026-06-01,132,WHITE,103
2026-06-01,144,WHITE,2298
2026-06-01,144,IVORY,969
2026-06-01,147,IVORY,398
2026-06-01,187,WHITE,1938
2026-06-01,195,WHITE,320
2026-06-01,551,WHITE,21
2026-06-01,555,WHITE,25
2026-06-01,120-C,WHITE,890
2026-06-01,120-M,IVORY,290
2026-06-01,120-R,WHITE,209
2026-06-01,120-WS,WHITE,649
2026-06-01,121-C,WHITE,299
2026-06-01,121-EB,WHITE,260
2026-06-01,121-SR,NORMAL,422
2026-06-01,124-EB,WHITE,184
2026-06-01,124-O,IVORY,120
2026-06-01,124-SR,NORMAL,236
2026-06-01,130-O,IVORY,184
2026-06-01,130-SR,NORMAL,111
2026-06-01,1311-H,WHITE,127
2026-06-01,132-SR,NORMAL,36
2026-06-01,144-EB,WHITE,152
2026-06-01,144-O,WHITE,314
2026-06-01,PTA-50,WHITE,15
2026-06-01,323,WHITE,584
2026-06-01,324,WHITE,3600
2026-06-01,326,WHITE,400
2026-06-01,341,WHITE,879
2026-06-01,342,WHITE,130
2026-06-01,343,WHITE,376
2026-06-01,344,WHITE,194
2026-06-01,348,WHITE,350
2026-06-01,3271,WHITE,30
2026-06-01,3272,WHITE,1983
2026-06-01,122-R,WHITE,48
2026-06-01,122-RG,NORMAL,43
2026-06-01,123-I,WHITE,33
2026-06-01,123-NNR,NORMAL,262
2026-06-01,124-NR,NORMAL,21
2026-06-01,127-Q,WHITE,21
2026-06-01,129-NR,NORMAL,30
2026-06-01,130-NR,NORMAL,21
2026-06-01,132-NB,NORMAL,22
2026-06-01,132-NW,NORMAL,9
2026-06-01,132-Q,WHITE,9
2026-06-01,133-QP,NORMAL,10
2026-06-01,134-QW,NORMAL,23
2026-06-01,1375-S,WHITE,21
2026-06-01,144-NR,NORMAL,138
2026-06-01,144-NW,NORMAL,10
2026-06-01,144-QP,NORMAL,18
2026-06-01,145-I,WHITE,33
2026-06-01,145-NR,NORMAL,50
2026-06-01,147-NR,NORMAL,36
2026-06-01,173,GREEN,900
2026-06-01,174,GREEN,675
2026-06-01,175,GREEN,450
2026-06-01,701,WHITE,400
2026-06-01,513,WHITE,620
2026-06-01,513,PINK,20
2026-06-02,121,WHITE,1088
2026-06-02,123,IVORY,2086
2026-06-02,123,IVORY,411
2026-06-02,124,IVORY,1399
2026-06-02,124,IVORY,59
2026-06-02,129,IVORY,537
2026-06-02,132,IVORY,93
2026-06-02,144,IVORY,1824
2026-06-02,147,IVORY,453
2026-06-02,161,GOLD,500
2026-06-02,187,WHITE,978
2026-06-02,551,WHITE,130
2026-06-02,1501,WHITE,2
2026-06-02,120-M,WHITE,600
2026-06-02,120-WS,IVORY,2295
2026-06-02,120-WS,WHITE,1488
2026-06-02,121-C,WHITE,344
2026-06-02,121-H,WHITE,1106
2026-06-02,124-H,WHITE,688
2026-06-02,132-EB,WHITE,26
2026-06-02,132-OT,WHITE,126
2026-06-02,144-H,WHITE,818
2026-06-02,144-SR,NORMAL,239
2026-06-02,153-S,GOLD,150
2026-06-02,1813-B,IVORY,216
2026-06-02,1813-C,IVORY,38
2026-06-02,1813-C,WHITE,246
2026-06-02,181-C,IVORY,39
2026-06-02,PTA-48,WHITE,90
2026-06-02,173,GREEN,900
2026-06-02,174,GREEN,450
2026-06-02,175,GREEN,450
2026-06-02,701,WHITE,280
2026-06-02,502-BALL,GREEN,300
2026-06-02,SP-02,WHITE,200
2026-06-02,151,GOLD,496
2026-06-02,323,WHITE,191
2026-06-02,324,WHITE,5210
2026-06-02,327,WHITE,1252
2026-06-02,341,WHITE,888
2026-06-02,344,WHITE,680
2026-06-02,3271,WHITE,132
2026-06-02,3272,WHITE,600
2026-06-02,3272-BC,WHITE,1421
2026-06-02,324,WHITE,1000
2026-06-02,121-R,WHITE,112
2026-06-02,123-I,WHITE,279
2026-06-02,123-RR,NORMAL,33
2026-06-02,124-DB,NORMAL,50
2026-06-02,124-Q,IVORY,73
2026-06-02,124-Q,WHITE,112
2026-06-02,127-Q,WHITE,53
2026-06-02,1322-QR,NORMAL,37
2026-06-02,133-DW,NORMAL,26
2026-06-02,144-I,WHITE,320
2026-06-02,144-NW,NORMAL,150
2026-06-02,144-Q,WHITE,120
2026-06-02,144-QP,NORMAL,158
2026-06-02,147-IP,NORMAL,106
2026-06-02,147-IR,NORMAL,36
2026-06-03,121,IVORY,3274
2026-06-03,123,IVORY,1033
2026-06-03,130,WHITE,665
2026-06-03,131,WHITE,193
2026-06-03,144,IVORY,1569
2026-06-03,145,WHITE,292
2026-06-03,145,IVORY,49
2026-06-03,163,GOLD,300
2026-06-03,161,GOLD,3000
2026-06-03,162,GOLD,467
2026-06-03,163,GOLD,318
2026-06-03,187,WHITE,108
2026-06-03,187,IVORY,878
2026-06-03,199,WHITE,62
2026-06-03,551,WHITE,49
2026-06-03,120-WS,IVORY,2269
2026-06-03,120-WS,WHITE,1628
2026-06-03,121-O,WHITE,420
2026-06-03,123-F,WHITE,431
2026-06-03,124-AS,WHITE,267
2026-06-03,124-C,WHITE,611
2026-06-03,124-F,WHITE,253
2026-06-03,124-H,WHITE,291
2026-06-03,124-K,WHITE,257
2026-06-03,124-O,IVORY,240
2026-06-03,130-O,WHITE,188
2026-06-03,132-T,IVORY,207
2026-06-03,132-T,WHITE,278
2026-06-03,144-H,WHITE,724
2026-06-03,144-O,WHITE,1160
2026-06-03,144-SR,NORMAL,400
2026-06-03,145-O,WHITE,104
2026-06-03,149-O,IVORY,262
2026-06-03,1813-C,IVORY,430
2026-06-03,1813-CP,NORMAL,92
2026-06-03,1815-C,WHITE,98
2026-06-03,1817-C,WHITE,400
2026-06-03,551-F,WHITE,12
2026-06-03,LF-153,NORMAL,47
2026-06-03,PTA-49,WHITE,41
2026-06-03,173,GREEN,900
2026-06-03,175,GREEN,450
2026-06-03,513,WHITE,1100
2026-06-03,701,WHITE,220
2026-06-03,502-BALL,GREEN,900
2026-06-03,151,WHITE,665
2026-06-03,152,GOLD,467
2026-06-03,324,WHITE,351
2026-06-03,327,WHITE,661
2026-06-03,348,WHITE,28
2026-06-03,3272,WHITE,159
2026-06-03,324-K,WHITE,4300
2026-06-03,3272-BC,WHITE,129
2026-06-03,123-NN,WHITE,54
2026-06-03,123-NN,IVORY,33
2026-06-03,123-QP,NORMAL,30
2026-06-03,124-N,IVORY,33
2026-06-03,124-NR,NORMAL,165
2026-06-03,1322-DB,NORMAL,30
2026-06-03,134-QW,NORMAL,11
2026-06-03,1375-DB,NORMAL,6
2026-06-03,1375-S,WHITE,18
2026-06-03,1375-SFR,NORMAL,12
2026-06-03,144-DB,NORMAL,138
2026-06-03,144-NR,NORMAL,264
2026-06-03,144-Q,WHITE,208
2026-06-03,144-QP,NORMAL,136
2026-06-03,144-QR,NORMAL,14
2026-06-03,145-DB,NORMAL,31
2026-06-03,145-N,IVORY,20
2026-06-03,145-NR,NORMAL,35
2026-06-03,150-DB,NORMAL,15
2026-06-03,341,WHITE,787
2026-06-03,342,WHITE,457
2026-06-03,343,WHITE,386
2026-06-03,344,WHITE,67
2026-06-03,325,WHITE,73
2026-06-03,323,WHITE,1172
2026-06-03,324,WHITE,400
2026-06-03,322,WHITE,199
2026-06-04,121,IVORY,3118
2026-06-04,124,WHITE,1141
2026-06-04,129,WHITE,217
2026-06-04,132,WHITE,106
2026-06-04,140,WHITE,126
2026-06-04,144,IVORY,1483
2026-06-04,145,IVORY,80
2026-06-04,145,WHITE,243
2026-06-04,165,GOLD,354
2026-06-04,161,GOLD,1888
2026-06-04,162,GOLD,1480
2026-06-04,1815,WHITE,94
2026-06-04,120-WS,WHITE,982
2026-06-04,120-WS,IVORY,1532
2026-06-04,121-O,WHITE,1692
2026-06-04,121-SR,NORMAL,218
2026-06-04,123-K,WHITE,250
2026-06-04,124-AF,WHITE,53
2026-06-04,124-H,WHITE,614
2026-06-04,124-SR,NORMAL,59
2026-06-04,127-O,WHITE,116
2026-06-04,127-SR,NORMAL,106
2026-06-04,129-C,WHITE,31
