bucket,code,planning_category,effective_category,category_source,mrp_series,mrp_derived_category,mrp_division,mrp_status,product_name
"both","4761","SWR Fitting","SWR Fitting","prayag-planning-tabs","SWR Fittings","SWR Fitting","Pipes & Fittings","active","Vent Cowl - inch 63 mm"
"both","5102","SWR Fitting","SWR Fitting","prayag-planning-tabs","SWR Fittings","SWR Fitting","Pipes & Fittings","active","Yellow Seal 'O' Ring 2 1⁄2 inch 75 mm"
"both","5103","SWR Fitting","SWR Fitting","prayag-planning-tabs","SWR Fittings","SWR Fitting","Pipes & Fittings","active","Yellow Seal 'O' Ring 3 inch 90 mm"
"both","5104","SWR Fitting","SWR Fitting","prayag-planning-tabs","SWR Fittings","SWR Fitting","Pipes & Fittings","active","Yellow Seal 'O' Ring 4 inch 110 mm"
"both","5105","SWR Fitting","SWR Fitting","prayag-planning-tabs","SWR Fittings","SWR Fitting","Pipes & Fittings","active","Yellow Seal 'O' Ring 6 inch 160 mm"
"both","5110","SWR Fitting","SWR Fitting","prayag-planning-tabs","SWR Fittings","SWR Fitting","Pipes & Fittings","active","Bend 45⁰ 4 inch 110 mm"
"both","5110S","SWR Fitting","SWR Fitting","prayag-planning-tabs","SWR Fittings","SWR Fitting","Pipes & Fittings","active","Bend 45⁰ 4 inch 110 mm"
"both","5111","SWR Fitting","SWR Fitting","prayag-planning-tabs","SWR Fittings","SWR Fitting","Pipes & Fittings","active","Bend 87.5⁰ 4 inch 110 mm"
"both","5111S","SWR Fitting","SWR Fitting","prayag-planning-tabs","SWR Fittings","SWR Fitting","Pipes & Fittings","active","Bend 87.5⁰ 4 inch 110 mm"
"both","5112","SWR Fitting","SWR Fitting","prayag-planning-tabs","SWR Fittings","SWR Fitting","Pipes & Fittings","active","Bend 87.5⁰ with Door 4 inch 110 mm"
"both","5112S","SWR Fitting","SWR Fitting","prayag-planning-tabs","SWR Fittings","SWR Fitting","Pipes & Fittings","active","Bend 87.5⁰ with Door 4 inch 110 mm"
"both","5114","SWR Fitting","SWR Fitting","prayag-planning-tabs","SWR Fittings","SWR Fitting","Pipes & Fittings","active","Bend 87.5⁰ with LH Door 4 inch 110 mm"
"both","5115","SWR Fitting","SWR Fitting","prayag-planning-tabs","SWR Fittings","SWR Fitting","Pipes & Fittings","active","Bend 87.5⁰ with RH Door 4 inch 110 mm"
"both","5121","SWR Fitting","SWR Fitting","prayag-planning-tabs","SWR Fittings","SWR Fitting","Pipes & Fittings","active","Coupler 4 inch 110 mm"
"both","5121S","SWR Fitting","SWR Fitting","prayag-planning-tabs","SWR Fittings","SWR Fitting","Pipes & Fittings","active","Coupler 4 inch 110 mm"
"both","5122","SWR Fitting","SWR Fitting","prayag-planning-tabs","SWR Fittings","SWR Fitting","Pipes & Fittings","active","Repair Coupler 4 inch 110 mm"
"both","5122S","SWR Fitting","SWR Fitting","prayag-planning-tabs","SWR Fittings","SWR Fitting","Pipes & Fittings","active","Repair Coupler 4 inch 110 mm"
"both","5131","SWR Fitting","SWR Fitting","prayag-planning-tabs","SWR Fittings","SWR Fitting","Pipes & Fittings","active","Cross Tee 4 inch 110 mm"
"both","5132","SWR Fitting","SWR Fitting","prayag-planning-tabs","SWR Fittings","SWR Fitting","Pipes & Fittings","active","Cross Tee with Door 4 inch 110 mm"
"both","5133","SWR Fitting","SWR Fitting","prayag-planning-tabs","SWR Fittings","SWR Fitting","Pipes & Fittings","active","Single Tee 4 inch 110 mm"
"both","5133S","SWR Fitting","SWR Fitting","prayag-planning-tabs","SWR Fittings","SWR Fitting","Pipes & Fittings","active","Tee 4 inch 110 mm"
"both","5134","SWR Fitting","SWR Fitting","prayag-planning-tabs","SWR Fittings","SWR Fitting","Pipes & Fittings","active","Single Tee with Door 4 inch 110 mm"
"both","5134S","SWR Fitting","SWR Fitting","prayag-planning-tabs","SWR Fittings","SWR Fitting","Pipes & Fittings","active","Tee with Door 4 inch 110 mm"
"both","5141","SWR Fitting","SWR Fitting","prayag-planning-tabs","SWR Fittings","SWR Fitting","Pipes & Fittings","active","Single Y 4 inch 110 mm"
"both","5141S","SWR Fitting","SWR Fitting","prayag-planning-tabs","SWR Fittings","SWR Fitting","Pipes & Fittings","active","Single Y 4 inch 110 mm"
"both","5142","SWR Solvent","SWR Solvent","prayag-planning-tabs","SWR Fittings","SWR Fitting","Pipes & Fittings","active","Single Y with Door 4 inch 110 mm"
"both","5142S","SWR Fitting","SWR Fitting","prayag-planning-tabs","SWR Fittings","SWR Fitting","Pipes & Fittings","active","Single Y with Door 4 inch 110 mm"
"both","5143","SWR Fitting","SWR Fitting","prayag-planning-tabs","SWR Fittings","SWR Fitting","Pipes & Fittings","active","Reverse Y 45⁰ 4 inch 110 mm"
"both","5144","SWR Fitting","SWR Fitting","prayag-planning-tabs","SWR Fittings","SWR Fitting","Pipes & Fittings","active","Double Y 4 inch 110 mm"
"both","5145","SWR Fitting","SWR Fitting","prayag-planning-tabs","SWR Fittings","SWR Fitting","Pipes & Fittings","active","Double Y with Door 4 inch 110 mm"
"both","5146","SWR Fitting","SWR Fitting","prayag-planning-tabs","SWR Fittings","SWR Fitting","Pipes & Fittings","active","Reverse Y with Door 4 inch 110 mm"
"both","5151","SWR Fitting","SWR Fitting","prayag-planning-tabs","SWR Fittings","SWR Fitting","Pipes & Fittings","active","Reducing Tee 2 1⁄2 x 4 inch 75 x 110 mm"
