category,uploads,totalRows,positiveNetStock,negativeNetStock,rosterPresentRows,rosterAbsentRows
.,13,1,241,0,1,0
AGRI FG,8;13,92,68173,-3919,2,90
AGRI PIPE FG,8;13,4,542,0,4,0
AGRI-FG,8;13,212,99903,-23504,162,50
AGRI-PIPE,8;13,12,937,-959,2,10
Agri-Pipe,8;13,92,26564,-9170,92,0
Agri-Trading,8;13,6,2238,-1362,0,6
CPVC FG,8;13,7,306,-480,0,7
CPVC FITTING,13,1,0,-300,0,1
CPVC-FG,8;13,440,421982,-294717,425,15
CPVC-PIPE,8;13,58,11330,-66998,58,0
CPVC-TRADING,8;13,42,117381,-5549,38,4
Colum Pipe,8;13,12,3640,0,0,12
PPR Fittimg,8;13,22,72676,0,0,22
SWR FG,8;13,13,10469,-2248,0,13
SWR-FG,8;13,254,100772,-158227,250,4
SWR-PIPE,8;13,106,5924,-65249,102,4
SWR-TRADING,8;13,6,2048,-442,0,6
Trading,8;13,27,2722,-3532,0,27
UPVC -FG,8;13,2,14,0,0,2
UPVC FITTING,8;13,2,0,-384,0,2
UPVC PIPE,8,1,0,-60,0,1
UPVC PIPE FG,8;13,4,355,-2775,0,4
UPVC-FG,8;13,467,218108,-367764,451,16
UPVC-PIPE,8;13,89,55505,-21806,89,0
UPVC-TRADING,8;13,34,121886,0,34,0
WATER TANK,8;13,94,1168,-811,0,94
cpvc fg,8;13,4,0,-321,0,4
