category,rows,missingPositiveStock,missingNegativePending,estimatedPlanEffect
AGRI FG,46,35324,-1445,33879
AGRI-FG,25,24161,-388,23773
AGRI-PIPE,5,411,-705,-294
Agri-Trading,3,1393,-525,868
CPVC FG,3,137,-128,9
CPVC FITTING,1,0,-300,-300
CPVC-FG,7,516,-193,323
CPVC-TRADING,2,256,0,256
Colum Pipe,6,1820,0,1820
PPR Fittimg,13,37255,0,37255
SWR FG,7,4326,-1927,2399
SWR-FG,2,411,-160,251
SWR-PIPE,2,101,0,101
SWR-TRADING,3,934,-421,513
Trading,13,1376,-1486,-110
UPVC -FG,1,7,0,7
UPVC FITTING,1,0,-320,-320
UPVC PIPE FG,2,355,0,355
UPVC-FG,8,1174,-636,538
WATER TANK,51,505,-591,-86
cpvc fg,2,0,-145,-145
