code,itemName,sourceCategory,netStock,positiveNetStock,negativeNetStock,classification,classificationReason,rosterAlias
C230L,"1/2"" CPVC EXPANSION LOOP",CPVC-FG,50,50,0,b,code spelling/format variant of C230-L,C230-L
CF12,"2-1/2"" CPVC SOCKET FLANGE",CPVC-FG,-10,0,-10,b,code spelling/format variant of CF-12,CF-12
EWS04,CPVC SOLVENT -118ML-TIN (PR),CPVC-TRADING,88,88,0,d,material-specific Trading category; roster semantic mapping not established,
EWS05,CPVC SOLVENT -237ML-TIN (PR),CPVC-TRADING,168,168,0,d,material-specific Trading category; roster semantic mapping not established,
U21T L,"1/2"" THREAD BALL VALVE 20MM (LONG LEVER)",UPVC-FG,300,300,0,c,not present under normalized code in effective September roster,
U22TL,"3/4""THREAD BALL VALVE 25MM (LONG LEVER)",UPVC-FG,400,400,0,c,not present under normalized code in effective September roster,
U23TL,"1"" THREAD BALL VALVE 32MM (LONG LEVER)",UPVC-FG,440,440,0,c,not present under normalized code in effective September roster,
UH-78,"3/4"" UPVC  URBONA-CONCEALED VALVE Q/T",UPVC-FG,-496,0,-496,b,code spelling/format variant of UH78,UH78
UH-79,"3/4"" UPVC  SPA-CONCEALED VALVE Q/T",UPVC-FG,-140,0,-140,b,code spelling/format variant of UH79,UH79
UH-80,"3/4"" UPVC  VIVA-CONCEALED VALVE Q/T",UPVC-FG,14,14,0,b,code spelling/format variant of UH80,UH80
U27 L,"2-1/2"" UPVC BALL VAVLE (Long Handle)",UPVC-FG,17,17,0,c,not present under normalized code in effective September roster,
U28L,"3"" UPVC BALL VAVLE (Long Handle)",UPVC-FG,3,3,0,c,not present under normalized code in effective September roster,
5771-W,SWR FITTING P TRAP W/Gasket (125X110MM),SWR-FG,411,411,0,c,not present under normalized code in effective September roster,
RL-2,RUBBER LUBRICANT 100g,SWR-TRADING,-421,0,-421,b,code spelling/format variant of RL02,RL02
RL-3,RUBBER LUBRICANT 250g,SWR-TRADING,295,295,0,b,code spelling/format variant of RL03,RL03
RL-4,RUBBER LUBRICANT 500g,SWR-TRADING,639,639,0,b,code spelling/format variant of RL04,RL04
S45,250 ML TIN PVC SOLVENT CEMENT,Agri-Trading,-525,0,-525,d,material-specific Trading category; roster semantic mapping not established,
S46,500 ML TIN PVC SOLVENT CEMENT,Agri-Trading,1082,1082,0,d,material-specific Trading category; roster semantic mapping not established,
S47,1000 ML TIN PVC SOLVENT CEMENT,Agri-Trading,311,311,0,d,material-specific Trading category; roster semantic mapping not established,
WT-002,PLASTIC LIDS LIGHT.,WATER TANK,-18,0,-18,a,unplanned division/category,
WT-3LL-05,Water Tank 3 layer Light 500 Ltr.,WATER TANK,151,151,0,a,unplanned division/category,
WT-3LL-07,Water Tank 3 layer Light 750 Ltr.,WATER TANK,104,104,0,a,unplanned division/category,
WT-3LL-10,Water Tank 3 layer Light 1000 Ltr.,WATER TANK,9,9,0,a,unplanned division/category,
WT-3LL-15,Water Tank 3 layer Light 1500 Ltr.,WATER TANK,1,1,0,a,unplanned division/category,
WT-3LL-20,Water Tank 3 layer Light 2000 Ltr.,WATER TANK,2,2,0,a,unplanned division/category,
WT-3LL-30,Water Tank 3 layer Light 3000 Ltr.,WATER TANK,6,6,0,a,unplanned division/category,
WT-3LL-50,Water Tank 3 layer Light 5000 Ltr.,WATER TANK,5,5,0,a,unplanned division/category,
WT-3LH-05,Water Tank 3 layer heavy  500 Ltr.,WATER TANK,4,4,0,a,unplanned division/category,
WT-3LH-07,Water Tank 3 layer heavy  750 Ltr.,WATER TANK,3,3,0,a,unplanned division/category,
WT-3LH-15,Water Tank 3 layer heavy  1500 Ltr.,WATER TANK,1,1,0,a,unplanned division/category,
WT-4LL-05,Water Tank 4 layer Light 500 Ltr.,WATER TANK,-27,0,-27,a,unplanned division/category,
WT-4LL-07,Water Tank 4 layer Light 750 Ltr.,WATER TANK,-5,0,-5,a,unplanned division/category,
WT-4LL-10,Water Tank 4 layer Light 1000 Ltr.,WATER TANK,13,13,0,a,unplanned division/category,
WT-4LL-15,Water Tank 4 layer Light 1500 Ltr.,WATER TANK,2,2,0,a,unplanned division/category,
WT-4LL-20,Water Tank 4 layer Light 2000 Ltr.,WATER TANK,1,1,0,a,unplanned division/category,
WT-4LH-05,Water Tank 4 layer heavy  500 Ltr.,WATER TANK,15,15,0,a,unplanned division/category,
WT-4LH-07,Water Tank 4 layer heavy  750 Ltr.,WATER TANK,2,2,0,a,unplanned division/category,
WT-4LH-10,Water Tank 4 layer heavy  1000 Ltr.,WATER TANK,2,2,0,a,unplanned division/category,
WT-4LH-20,Water Tank 4 layer heavy  2000 Ltr.,WATER TANK,3,3,0,a,unplanned division/category,
WT-ISI-05,Water Tank 2 layer ISI  500 Ltr.,WATER TANK,-24,0,-24,a,unplanned division/category,
WT-ISI-10,Water Tank 2 layer ISI  1000 Ltr.,WATER TANK,-25,0,-25,a,unplanned division/category,
WT-ISI-20,Water Tank 2 layer ISI  2000 Ltr.,WATER TANK,2,2,0,a,unplanned division/category,
PW91C,"SWR PIPE TYPE A-SS 90MM 3""/12FT",SWR-PIPE,65,65,0,c,not present under normalized code in effective September roster,
PW11C,"SWR PIPE TYPE A-SS 90MM 3""/12FT",SWR-PIPE,36,36,0,c,not present under normalized code in effective September roster,
C49N,"6"" COUPLING",CPVC-FG,57,57,0,b,code spelling/format variant of C49-N,C49-N
A-504,"ELBOW 45- 6 KG, 63MM AGRI",AGRI-FG,228,228,0,c,not present under normalized code in effective September roster,
A-503,"ELBOW 45- 6 KG, 50MM AGRI",AGRI-FG,-119,0,-119,c,not present under normalized code in effective September roster,
A-505,"ELBOW 45- 6 KG, 75MM AGRI",AGRI-FG,431,431,0,c,not present under normalized code in effective September roster,
A-228,"coupler- 2.5 KG, 90MM AGRI",AGRI-FG,1421,1421,0,c,not present under normalized code in effective September roster,
A-428,AGRI EQUAL ELBOW 90 (2.5 Kg,AGRI-FG,299,299,0,c,not present under normalized code in effective September roster,
A-328,AGRI EQUAL TEE 90 (2.5 Kg,AGRI-FG,857,857,0,c,not present under normalized code in effective September roster,
A-229,"coupler- 2.5 KG, 10MM AGRI",AGRI-FG,229,229,0,c,not present under normalized code in effective September roster,
A-327,"EQUAL TEE 2.5 KG, 75MM AGRI",AGRI-FG,113,113,0,c,not present under normalized code in effective September roster,
A-227,"COUPLER 2.5 KG, 75MM AGRI",AGRI-FG,206,206,0,c,not present under normalized code in effective September roster,
A-427,AGRI EQUAL ELBOW 75 (2.5 Kg,AGRI-FG,1257,1257,0,c,not present under normalized code in effective September roster,
A-702,"BUSH 4KG, 50X40MM, AGRI",AGRI-FG,5128,5128,0,c,not present under normalized code in effective September roster,
A-704,"BUSH 4KG, 75X110MM, AGRI",AGRI-FG,-37,0,-37,c,not present under normalized code in effective September roster,
A-703,"BUSH 4KG, 75X50MM, AGRI",AGRI-FG,-38,0,-38,c,not present under normalized code in effective September roster,
A-329,"EQUAL TEE 2.5 KG, 110MM AGRI",AGRI-FG,2415,2415,0,c,not present under normalized code in effective September roster,
CH88,25MM CANCELLED VALVE QUARTER TURN.WITH URBONA-HANDLE,CPVC-FG,-96,0,-96,c,not present under normalized code in effective September roster,
CH86,25MM CANCELLED VALVE QUARTER TURN.WITH MACASA-HANDLE,CPVC-FG,14,14,0,c,not present under normalized code in effective September roster,
A-429,AGRI EQUAL ELBOW 110 (2.5 Kg,AGRI-FG,1840,1840,0,c,not present under normalized code in effective September roster,
CH84,25MM CANCELLED VALVE QUARTER TURN.WITH GREACIA-HANDLE,CPVC-FG,-87,0,-87,c,not present under normalized code in effective September roster,
WT-ISI-15,Water Tank 2 layer ISI  1500 Ltr.,WATER TANK,2,2,0,a,unplanned division/category,
AS-329,AGRI EQUAL TEE 110,AGRI-FG,1344,1344,0,c,not present under normalized code in effective September roster,
AS-429,AGRI EQUAL ELBOW 110,AGRI-FG,791,791,0,c,not present under normalized code in effective September roster,
AS-328,AGRI EQUAL TEE 90,AGRI-FG,449,449,0,c,not present under normalized code in effective September roster,
AS-428,AGRI EQUAL ELBOW 90,AGRI-FG,-66,0,-66,c,not present under normalized code in effective September roster,
AS-229,AGRI COUPLER PN-7110,AGRI-FG,667,667,0,c,not present under normalized code in effective September roster,
AS-327,AGRI EQUAL TEE 75,AGRI-FG,2211,2211,0,c,not present under normalized code in effective September roster,
5792,MULTIFLOOR TRAPE 110X75X50 MM,SWR-FG,-160,0,-160,c,not present under normalized code in effective September roster,
AS-227,AGRI COUPLER PN-575,AGRI-FG,3267,3267,0,c,not present under normalized code in effective September roster,
C324,BRASS TEA-25X25X25,CPVC-FG,395,395,0,c,not present under normalized code in effective September roster,
AS-427,AGRI EQUAL ELBOW 75,AGRI-FG,422,422,0,c,not present under normalized code in effective September roster,
AS-228,AGRI COUPLER PN-690,AGRI-FG,586,586,0,c,not present under normalized code in effective September roster,
CH82F,"3/4"" CPVC TRIANGLE CONCEALED VALVE",CPVC FG,-128,0,-128,c,not present under normalized code in effective September roster,
PU-4TB,THREADED PIPE SCH 80 32 MM,UPVC PIPE FG,345,345,0,c,not present under normalized code in effective September roster,
AS-449,AGRI ELBOW 90⁰ 110,AGRI FG,-576,0,-576,c,not present under normalized code in effective September roster,
AS-446,AGRI ELBOW 90⁰ 63,AGRI FG,-60,0,-60,c,not present under normalized code in effective September roster,
AS-448,AGRI ELBOW 90⁰ 90,AGRI FG,-340,0,-340,c,not present under normalized code in effective September roster,
AS-447,AGRI ELBOW 90⁰ 75,AGRI FG,1046,1046,0,c,not present under normalized code in effective September roster,
AS-346,AGRI EQUAL TEE 63,AGRI FG,600,600,0,c,not present under normalized code in effective September roster,
AS-349,AGRI EQUAL TEE 110,AGRI FG,-3,0,-3,c,not present under normalized code in effective September roster,
AS-347,AGRI EQUAL TEE 110,AGRI FG,1440,1440,0,c,not present under normalized code in effective September roster,
