code,itemName,sourceCategory,stock,pendingLastMonth
"A-504","ELBOW 45- 6 KG, 63MM AGRI","AGRI-FG","228","0"
"A-503","ELBOW 45- 6 KG, 50MM AGRI","AGRI-FG","0","119"
"A-505","ELBOW 45- 6 KG, 75MM AGRI","AGRI-FG","431","0"
"A-228","coupler- 2.5 KG, 90MM AGRI","AGRI-FG","1421","0"
"A-428","AGRI EQUAL ELBOW 90 (2.5 Kg","AGRI-FG","299","0"
"A-328","AGRI EQUAL TEE 90 (2.5 Kg","AGRI-FG","857","0"
"A-229","coupler- 2.5 KG, 10MM AGRI","AGRI-FG","229","0"
"A-327","EQUAL TEE 2.5 KG, 75MM AGRI","AGRI-FG","113","0"
"A-227","COUPLER 2.5 KG, 75MM AGRI","AGRI-FG","206","0"
"A-427","AGRI EQUAL ELBOW 75 (2.5 Kg","AGRI-FG","1257","0"
"A-702","BUSH 4KG, 50X40MM, AGRI","AGRI-FG","5128","0"
"A-704","BUSH 4KG, 75X110MM, AGRI","AGRI-FG","0","37"
"A-703","BUSH 4KG, 75X50MM, AGRI","AGRI-FG","0","38"
"A-329","EQUAL TEE 2.5 KG, 110MM AGRI","AGRI-FG","2415","0"
"A-429","AGRI EQUAL ELBOW 110 (2.5 Kg","AGRI-FG","1840","0"
"AS-329","AGRI EQUAL TEE 110","AGRI-FG","1344","0"
"AS-429","AGRI EQUAL ELBOW 110","AGRI-FG","791","0"
"AS-328","AGRI EQUAL TEE 90","AGRI-FG","449","0"
"AS-428","AGRI EQUAL ELBOW 90","AGRI-FG","0","66"
"AS-229","AGRI COUPLER PN-7110","AGRI-FG","667","0"
"AS-327","AGRI EQUAL TEE 75","AGRI-FG","2211","0"
"AS-227","AGRI COUPLER PN-575","AGRI-FG","3267","0"
"AS-427","AGRI EQUAL ELBOW 75","AGRI-FG","422","0"
"AS-228","AGRI COUPLER PN-690","AGRI-FG","586","0"
"AS-449","AGRI ELBOW 90⁰ 110","AGRI FG","0","576"
"AS-446","AGRI ELBOW 90⁰ 63","AGRI FG","0","60"
"AS-448","AGRI ELBOW 90⁰ 90","AGRI FG","0","340"
"AS-447","AGRI ELBOW 90⁰ 75","AGRI FG","1046","0"
"AS-346","AGRI EQUAL TEE 63","AGRI FG","600","0"
"AS-349","AGRI EQUAL TEE 110","AGRI FG","0","3"
"AS-347","AGRI EQUAL TEE 110","AGRI FG","1440","0"
"AS-249","110MM COUPLER4 KG/CM2","AGRI FG","548","0"
"AS-348","AGRI EQUAL TEE 90","AGRI-FG","0","128"
"AS-248","90MM COUPLER4 KG/CM2","AGRI FG","75","0"
"PN28C","90MM AGRI PIPE NON ISI PN4","AGRI-PIPE","166","0"
"PN48C","90MM AGRI PIPE NON ISI PN6","AGRI-PIPE","187","0"
"PN29C","110MM AGRI PIPE NON ISI PN4","AGRI-PIPE","0","307"
"PN49C","110MM AGRI PIPE NON ISI PN6","AGRI-PIPE","0","398"
"PN32C","160MM AGRI PIPE NON ISI PN4","AGRI-PIPE","58","0"
"AS-442","AGRI ELBOW 90? 160","AGRI FG","120","0"
"AS-246","AGRI COUPLER PN-6 63","AGRI FG","478","0"
"AS-549","AGRI END CAP 110","AGRI FG","0","75"
"AS-242","AGRI COUPLER PN-10160","AGRI FG","154","0"
"PN52C","160MM AGRI PIPE NON ISI PN6","AGRI FG","0","5"
"AS-443","AGRI ELBOW 90? 200","AGRI FG","32","0"
"AS-342","160MM EQUAL TEE4 KG/CM2(PN-6)","AGRI FG","60","0"
"A-213","32 MM COUPLER 10 KG/CM2","AGRI FG","2600","0"
"A-214","40 MM COUPLER 10 KG/CM2","AGRI FG","1200","0"
"A-411","20 MM ELBOW 10 KG/CM2","AGRI FG","1700","0"
"A-413","32 MM ELBOW 10 KG/CM2","AGRI FG","0","21"
"A-313","32 MMTEE 10 KG/CM2","AGRI FG","400","0"
"A-513","32 MM 45* ELBOW 10 KG/CM2","AGRI FG","3200","0"
"A-711","20X25 MM REDUCER BUSH 4 KG/CM2","AGRI FG","2300","0"
"A-712","20X32 MMREDUCER BUSH 4 KG/CM2","AGRI FG","1100","0"
"A-713","20X40 MMREDUCER BUSH 4 KG/CM2","AGRI FG","800","0"
"A-714","20X50 MMREDUCER BUSH 4 KG/CM2","AGRI FG","480","0"
"A-715","25X32 MMREDUCER BUSH 4 KG/CM2","AGRI FG","600","0"
"A-717","25X50 MMREDUCER BUSH 4 KG/CM2","AGRI FG","480","0"
"A-719","32X50 MMREDUCER BUSH 4 KG/CM2","AGRI FG","400","0"
"A-721","50X63 MMREDUCER BUSH 4 KG/CM2","AGRI FG","10","0"
"A-419","REDUCER ELBOW 4KG 110X90","AGRI FG","0","265"
"A-509","ELBOW 45- 4 KG 90MM AGRI","AGRI FG","824","0"
"A-510","ELBOW 45- 4 KG 110MM AGRI","AGRI FG","750","0"
"A-311","20 MM EQUAL TEE  AGRI-(10 KG)","AGRI FG","300","0"
"A-211","20 MM COUPLER AGRI-(10 KG)","AGRI FG","950","0"
"A-412","25 MM ELBOW 90 AGRI-(10 KG)","AGRI FG","2500","0"
"A-312","25 MM EQUAL TEE  AGRI-(10 KG)","AGRI FG","550","0"
"A-511","20 MM ELBOW 45  AGRI-(10 KG)","AGRI FG","500","0"
"A-512","45° ELBOW 10kg/cm² 25MM","AGRI FG","900","0"
