source_row,raw_item_code,canonical_item_code,item_name,segment,balance_qty,diagnostic_outcome,diagnostic_reason
3428,PB232,PB232,COLUMN PIPE 32 MM 12.5 KG/CM3,PL,150,NO_ROSTER_MATCH,NO_ROSTER_MATCH
3429,PB132,PB132,COLUMN PIPE 32 MM 10 KG/CM3,PL,75,NO_ROSTER_MATCH,NO_ROSTER_MATCH
3445,PB132,PB132,COLUMN PIPE 32 MM 10 KG/CM3,PL,150,NO_ROSTER_MATCH,NO_ROSTER_MATCH
3446,MHC-08,MHC-08,MANHOLE COVER 600 X 600,PLUMBING,30,NO_ROSTER_MATCH,NO_ROSTER_MATCH
3447,MHC-06,MHC-06,MANHOLE COVER 450 X 600,PLUMBING,18,NO_ROSTER_MATCH,NO_ROSTER_MATCH
3448,PP44,PP44,Coupler 32 MM PPR FITTINGS (White Single Layer),PLUMBING,525,NO_ROSTER_MATCH,NO_ROSTER_MATCH
3449,PP43,PP43,Coupler 25 MM PPR FITTINGS (White Single Layer),PLUMBING,675,NO_ROSTER_MATCH,NO_ROSTER_MATCH
3450,PP45,PP45,Coupler 40MM (PPR FITTINGS WHITE),PLUMBING,300,NO_ROSTER_MATCH,NO_ROSTER_MATCH
3451,PP53,PP53,Elbow 90 25 MM PPR FITTINGS (White Single Layer),PLUMBING,2700,NO_ROSTER_MATCH,NO_ROSTER_MATCH
3452,PP54,PP54,Elbow 90 32 MM PPR FITTINGS (White Single Layer),PLUMBING,1500,NO_ROSTER_MATCH,NO_ROSTER_MATCH
3453,PP55,PP55,Elbow 90? 40MM (PPR FITTINGS WHITE),PLUMBING,900,NO_ROSTER_MATCH,NO_ROSTER_MATCH
3454,PP63,PP63,Equal Tee 25 MM PPR FITTINGS (White Single Layer),PLUMBING,1200,NO_ROSTER_MATCH,NO_ROSTER_MATCH
3455,PP64,PP64,Equal Tee 32 MM PPR FITTINGS (White Single Layer),PLUMBING,900,NO_ROSTER_MATCH,NO_ROSTER_MATCH
3456,PP65,PP65,Equal Tee 40MM (PPR FITTINGS WHITE),PLUMBING,300,NO_ROSTER_MATCH,NO_ROSTER_MATCH
3457,PP523,PP523,Brass Elbow 90 25x15 MM PPR FITTINGS (White Single Layer),PLUMBING,1800,NO_ROSTER_MATCH,NO_ROSTER_MATCH
3458,PP403,PP403,Male Brass Coupling 25 MM PPR FITTINGS (White Single Layer),PLUMBING,720,NO_ROSTER_MATCH,NO_ROSTER_MATCH
3459,PP513,PP513,Male Brass Elbow 90 25x15 MM PPR FITTINGS (White Single Layer),PLUMBING,180,NO_ROSTER_MATCH,NO_ROSTER_MATCH
3460,PP33,PP33,Union 25 MM PPR FITTINGS (White Single Layer),PLUMBING,270,NO_ROSTER_MATCH,NO_ROSTER_MATCH
3461,PP34,PP34,Union 32 MM PPR FITTINGS (White Single Layer),PLUMBING,180,NO_ROSTER_MATCH,NO_ROSTER_MATCH
3462,PP35,PP35,Union 40MM (PPR FITTINGS WHITE),PLUMBING,150,NO_ROSTER_MATCH,NO_ROSTER_MATCH
3463,PP413,PP413,Female Brass Coupling 25 MM PPR FITTINGS (White Single Layer),PLUMBING,450,NO_ROSTER_MATCH,NO_ROSTER_MATCH
3464,PP323,PP323,Brass Tee 25x15 MM PPR FITTINGS (White Single Layer),PLUMBING,540,NO_ROSTER_MATCH,NO_ROSTER_MATCH
3465,PP943,PP943,Reducer Coupling 32x25 MM PPR FITTINGS (White Single Layer),PLUMBING,300,NO_ROSTER_MATCH,NO_ROSTER_MATCH
3466,PP954,PP954,Reducer Coupling 40x32MM (PPR FITTINGS WHITE),PLUMBING,300,NO_ROSTER_MATCH,NO_ROSTER_MATCH
3467,PP243,PP243,Reducer Tee 32x25MM (PPR FITTINGS WHITE),PLUMBING,270,NO_ROSTER_MATCH,NO_ROSTER_MATCH
3468,PP253,PP253,Reducer Tee 40x25MM (PPR FITTINGS WHITE),PLUMBING,270,NO_ROSTER_MATCH,NO_ROSTER_MATCH
3469,PP23,PP23,Ball Valve 25MM (PPR FITTINGS WHITE),PLUMBING,465,NO_ROSTER_MATCH,NO_ROSTER_MATCH
