code,item_name,segment,pending,dummy_stock,fg_stock,avg_3mo_sale,production,stock_source_match
A-329,EQUAL TEE 2.5 KG 110MM AGRI,AGRI,54,0,2415,0,0,yes
A-429,ELBOW 90- 2.5 KG 110MM AGRI,AGRI,125,0,1840,0,0,yes
CH86F,25 MM FULL TURN CONCEALED VALVE MACASA,PLUMBING,32,0,105,0,0,yes
MHC-06,MANHOLE COVER 450 X 600,PLUMBING,18,0,0,0,18,no
MHC-08,MANHOLE COVER 600 X 600,PLUMBING,30,0,0,0,30,no
P20G03,PN-20 25MM Pipe Green-Black-White Triple Layer,PLUMBING,900,0,0,0,900,no
P20G04,PN-20 32MM Pipe Green-Black-White Triple Layer,PLUMBING,525,0,0,0,525,no
P20G05,PN-20 40MM Pipe Green-Black-White Triple Layer,PLUMBING,375,0,0,0,375,no
P20W03,PN-20 25MM Pipe White Triple Layer,PLUMBING,1200,0,0,0,1200,no
P20W04,PN-20 32MM Pipe White Triple Layer,PLUMBING,700,0,0,0,700,no
P20W05,PN-20 40MM Pipe White Triple Layer,PLUMBING,500,0,0,0,500,no
PB132,COLUMN PIPE 32 MM 10 KG/CM3,PL,1200,0,30,0,1170,yes
PB132B,"1¼"" COLUMN PIPE BELLING TYPE 10KG/CM²",PLUMBING,975,0,0,0,975,no
PB232,COLUMN PIPE 32 MM 12.5 KG/CM3,PL,150,0,165,0,0,yes
PG23,Ball Valve 25 MM (PPR FITTINGS GREEN),PLUMBING,350,0,0,0,350,no
PG24,Ball Valve 32 MM (PPR FITTINGS GREEN),PLUMBING,200,0,0,0,200,no
PG243,Reducer Tee 32x25 MM (PPR FITTINGS GREEN),PLUMBING,200,0,0,0,200,no
PG25,Ball Valve 40 MM (PPR FITTINGS GREEN),PLUMBING,100,0,0,0,100,no
PG253,Reducer Tee 40x25 MM (PPR FITTINGS GREEN),PLUMBING,200,0,0,0,200,no
PG323,Brass Tee 25x15 MM PPR FITTINGS (Green-Black-White Single Layer),PLUMBING,400,0,0,0,400,no
PG33,Union 25 MM PPR FITTINGS (Green-Black-White Single Layer),PLUMBING,200,0,0,0,200,no
PG34,Union 32 MM PPR FITTINGS (Green-Black-White Single Layer),PLUMBING,150,0,0,0,150,no
PG35,Union 40 MM (PPR FITTINGS GREEN),PLUMBING,100,0,0,0,100,no
PG403,Male Brass Coupling 25 MM PPR FITTINGS (Green-Black-White Single Layer),PLUMBING,500,0,0,0,500,no
PG413,Female Brass Coupling 25 MM PPR FITTINGS (Green-Black-White Single Layer),PLUMBING,300,0,0,0,300,no
PG43,Coupler 25 MM PPR FITTINGS (Green-Black-White Single Layer),PLUMBING,500,0,0,0,500,no
PG44,Coupler 32 MM PPR FITTINGS (Green-Black-White Single Layer),PLUMBING,400,0,0,0,400,no
PG45,Coupler 40 MM (PPR FITTINGS GREEN),PL,225,0,0,0,225,no
PG513,Male Brass Elbow 90 25x15 MM PPR FITTINGS (Green-Black-White Single Layer),PLUMBING,150,0,0,0,150,no
PG523,Brass Elbow 90 25x15 MM PPR FITTINGS (Green-Black-White Single Layer),PLUMBING,1300,0,0,0,1300,no
PG53,Elbow 90 25 MM PPR FITTINGS (Green-Black-White Single Layer),PLUMBING,2000,0,0,0,2000,no
PG54,Elbow 90 32 MM PPR FITTINGS (Green-Black-White Single Layer),PLUMBING,1100,0,0,0,1100,no
PG55,Elbow 90? 40 MM (PPR FITTINGS GREEN),PLUMBING,650,0,0,0,650,no
PG63,Equal Tee 25 MM PPR FITTINGS (Green-Black-White Single Layer),PLUMBING,900,0,0,0,900,no
PG64,Equal Tee 32 MM PPR FITTINGS (Green-Black-White Single Layer),PLUMBING,650,0,0,0,650,no
PG65,Equal Tee 40 MM (PPR FITTINGS GREEN),PLUMBING,250,0,0,0,250,no
PG943,Reducer Coupling 32x25 MM PPR FITTINGS (Green-Black-White Single Layer),PLUMBING,200,0,0,0,200,no
PG954,Reducer Coupling 40x32 MM (PPR FITTINGS GREEN),PLUMBING,200,0,0,0,200,no
PLB162,PLASTIC LIDS BLUE,PL,0,0,0,0,0,no
PP23,Ball Valve 25MM (PPR FITTINGS WHITE),PLUMBING,465,0,0,0,465,no
PP24,Ball Valve 32MM (PPR FITTINGS WHITE),PLUMBING,300,0,0,0,300,no
PP243,Reducer Tee 32x25MM (PPR FITTINGS WHITE),PLUMBING,270,0,0,0,270,no
PP25,Ball Valve 40MM (PPR FITTINGS WHITE),PLUMBING,150,0,0,0,150,no
PP253,Reducer Tee 40x25MM (PPR FITTINGS WHITE),PLUMBING,270,0,0,0,270,no
PP323,Brass Tee 25x15 MM PPR FITTINGS (White Single Layer),PLUMBING,540,0,518,0,22,yes
PP33,Union 25 MM PPR FITTINGS (White Single Layer),PLUMBING,270,0,0,0,270,no
PP34,Union 32 MM PPR FITTINGS (White Single Layer),PLUMBING,180,0,0,0,180,no
PP35,Union 40MM (PPR FITTINGS WHITE),PLUMBING,150,0,0,0,150,no
PP403,Male Brass Coupling 25 MM PPR FITTINGS (White Single Layer),PLUMBING,720,0,435,0,285,yes
PP413,Female Brass Coupling 25 MM PPR FITTINGS (White Single Layer),PLUMBING,450,0,409,0,41,yes
PP43,Coupler 25 MM PPR FITTINGS (White Single Layer),PLUMBING,675,0,1740,0,0,yes
PP44,Coupler 32 MM PPR FITTINGS (White Single Layer),PLUMBING,525,0,2800,0,0,yes
PP45,Coupler 40MM (PPR FITTINGS WHITE),PLUMBING,300,0,0,0,300,no
PP513,Male Brass Elbow 90 25x15 MM PPR FITTINGS (White Single Layer),PLUMBING,180,0,538,0,0,yes
PP523,Brass Elbow 90 25x15 MM PPR FITTINGS (White Single Layer),PLUMBING,1800,0,515,0,1285,yes
PP53,Elbow 90 25 MM PPR FITTINGS (White Single Layer),PLUMBING,2700,0,10145,0,0,yes
PP54,Elbow 90 32 MM PPR FITTINGS (White Single Layer),PLUMBING,1500,0,5515,0,0,yes
PP55,Elbow 90? 40MM (PPR FITTINGS WHITE),PLUMBING,900,0,0,0,900,no
PP63,Equal Tee 25 MM PPR FITTINGS (White Single Layer),PLUMBING,1200,0,6017,0,0,yes
PP64,Equal Tee 32 MM PPR FITTINGS (White Single Layer),PLUMBING,900,0,5715,0,0,yes
PP65,Equal Tee 40MM (PPR FITTINGS WHITE),PLUMBING,300,0,0,0,300,no
PP943,Reducer Coupling 32x25 MM PPR FITTINGS (White Single Layer),PLUMBING,300,0,0,0,300,no
PP954,Reducer Coupling 40x32MM (PPR FITTINGS WHITE),PLUMBING,300,0,0,0,300,no
UH86F,"1""UPVC CANCELLED VALVE FULL TURN MACASA",PLUMBING,32,0,0,0,32,no
