code,mrp_series,mrp_division,mrp_status,mrp_product_name,current_pending,dummy_last_month,stock,draft_production,rate_list_match
"4507","SWR Fittings","Pipes & Fittings","products","Back Flow Valve","0","20","0","20","no"
"4763","SWR Fittings","Pipes & Fittings","products","Nahani Trap & Jali","0","19","0","19","no"
"4763W","SWR Fittings","Pipes & Fittings","products","Nahani Trap without Jali","0","0","528","0","no"
"5106","SWR Fittings","Pipes & Fittings","products","Socket Plug","0","1134","0","1134","no"
"5107","SWR Fittings","Pipes & Fittings","products","Back Flow Valve","0","0","1192","0","no"
"5606","SWR Fittings","Pipes & Fittings","products","Socket Plug","0","841","0","841","no"
"5607","SWR Fittings","Pipes & Fittings","products","Back Flow Valve","0","0","808","0","no"
"5706","SWR Fittings","Pipes & Fittings","products","Socket Plug","0","0","3772","0","no"
"5707","SWR Fittings","Pipes & Fittings","products","Back Flow Valve","0","0","836","0","no"
"5771-W","","","","","0","0","381","0","no"
"5792","SWR Fittings","Pipes & Fittings","products","Multi Floor Trap","0","416","0","416","no"
"5793","SWR Fittings","Pipes & Fittings","products","Multi Floor Trap with Jali","0","500","0","500","no"
"5907","SWR Fittings","Pipes & Fittings","products","Back Flow Valve","0","0","728","0","no"
"A-211","AGRI Fittings","Pipes & Fittings","products","COUPLER","0","0","1250","0","no"
"A-212","AGRI Fittings","Pipes & Fittings","products","COUPLER","0","0","4950","0","no"
"A-213","AGRI Fittings","Pipes & Fittings","products","COUPLER","0","0","2900","0","no"
"A-214","AGRI Fittings","Pipes & Fittings","products","COUPLER","0","0","1200","0","no"
"A-227","AGRI Fittings","Pipes & Fittings","products","COUPLER 75 mm - 2.5 KG","0","0","404","0","no"
"A-228","AGRI Fittings","Pipes & Fittings","products","COUPLER 90 mm - 2.5 KG","0","0","1171","0","no"
"A-229","AGRI Fittings","Pipes & Fittings","products","COUPLER 110 mm - 2.5 KG","0","0","173","0","no"
"A-311","AGRI Fittings","Pipes & Fittings","products","EQUAL TEE","0","0","550","0","no"
"A-312","AGRI Fittings","Pipes & Fittings","products","EQUAL TEE","0","0","800","0","no"
"A-313","AGRI Fittings","Pipes & Fittings","products","EQUAL TEE","0","0","500","0","no"
"A-327","AGRI Fittings","Pipes & Fittings","products","EQUAL TEE 75 mm - 2.5 KG","0","0","231","0","no"
"A-328","AGRI Fittings","Pipes & Fittings","products","EQUAL TEE 90 mm - 2.5 KG","0","0","752","0","no"
"A-329","AGRI Fittings","Pipes & Fittings","products","EQUAL TEE 110 mm - 2.5 KG","54","0","2468","0","no"
"A-411","AGRI Fittings","Pipes & Fittings","products","ELBOW 90⁰","0","0","1600","0","no"
"A-412","AGRI Fittings","Pipes & Fittings","products","ELBOW 90⁰","0","0","2550","0","no"
"A-413","AGRI Fittings","Pipes & Fittings","products","ELBOW 90⁰","0","21","0","21","no"
"A-417","AGRI Fittings","Pipes & Fittings","products","REDUCER ELBOW","0","0","395","0","no"
"A-419","AGRI Fittings","Pipes & Fittings","products","REDUCER ELBOW","0","0","1465","0","no"
"A-427","AGRI Fittings","Pipes & Fittings","products","ELBOW 90⁰ 75 mm - 2.5 KG","0","0","1555","0","no"
"A-428","AGRI Fittings","Pipes & Fittings","products","ELBOW 90⁰ 90 mm - 2.5 KG","0","51","0","51","no"
"A-429","AGRI Fittings","Pipes & Fittings","products","ELBOW 90⁰ 110 mm - 2.5 KG","125","0","1764","0","no"
"A-503","AGRI Fittings","Pipes & Fittings","products","ELBOW 45⁰ 50 mm - 6 KG","0","1919","0","1919","no"
"A-504","AGRI Fittings","Pipes & Fittings","products","ELBOW 45⁰ 63 mm - 6 KG","0","372","0","372","no"
"A-505","AGRI Fittings","Pipes & Fittings","products","ELBOW 45⁰ 75 mm - 6 KG","0","0","531","0","no"
"A-509","AGRI Fittings","Pipes & Fittings","products","ELBOW 45⁰","0","0","574","0","no"
"A-510","AGRI Fittings","Pipes & Fittings","products","ELBOW 45⁰","0","0","530","0","no"
"A-511","AGRI Fittings","Pipes & Fittings","products","ELBOW 45⁰","0","0","700","0","no"
"A-512","AGRI Fittings","Pipes & Fittings","products","ELBOW 45⁰","0","0","1100","0","no"
"A-513","AGRI Fittings","Pipes & Fittings","products","ELBOW 45⁰","0","0","3050","0","no"
"A-514","AGRI Fittings","Pipes & Fittings","products","ELBOW 45⁰","0","0","1332","0","no"
"A-702","AGRI Fittings","Pipes & Fittings","products","BUSH 50 x 40 mm - 4 KG","0","0","4828","0","no"
"A-703","AGRI Fittings","Pipes & Fittings","products","BUSH 75 x 50 mm - 4 KG","0","38","0","38","no"
"A-704","AGRI Fittings","Pipes & Fittings","products","BUSH 75 x 110 mm - 4 KG","0","0","1347","0","no"
"A-711","AGRI Fittings","Pipes & Fittings","products","REDUCER BUSH","0","0","2400","0","no"
"A-712","AGRI Fittings","Pipes & Fittings","products","REDUCER BUSH","0","0","1200","0","no"
"A-713","AGRI Fittings","Pipes & Fittings","products","REDUCER BUSH","0","0","800","0","no"
"A-714","AGRI Fittings","Pipes & Fittings","products","REDUCER BUSH","0","0","480","0","no"
