date,segment,item_code,colour,rejection_quantity,source_file,source_tab,source_row
2025-04-01,PTMT,QA-31,IVORY,30,1AGmksx4gn6w0Wb9EF__yAV5v89IyAfX_f75ouW2c7Yw,Production,749
2025-04-02,PTMT,123-I,WHITE,132,1AGmksx4gn6w0Wb9EF__yAV5v89IyAfX_f75ouW2c7Yw,Production,750
2025-04-02,PTMT,123-Q,WHITE,462,1AGmksx4gn6w0Wb9EF__yAV5v89IyAfX_f75ouW2c7Yw,Production,751
2025-04-02,PTMT,123-Q,IVORY,99,1AGmksx4gn6w0Wb9EF__yAV5v89IyAfX_f75ouW2c7Yw,Production,752
2025-04-02,PTMT,129-QW,NORMAL,24,1AGmksx4gn6w0Wb9EF__yAV5v89IyAfX_f75ouW2c7Yw,Production,753
2025-04-02,PTMT,129-Q,WHITE,24,1AGmksx4gn6w0Wb9EF__yAV5v89IyAfX_f75ouW2c7Yw,Production,754
2025-04-05,PTMT,1816,WHITE,5,1AGmksx4gn6w0Wb9EF__yAV5v89IyAfX_f75ouW2c7Yw,Production,755
2025-04-05,PTMT,132-S,WHITE,3,1AGmksx4gn6w0Wb9EF__yAV5v89IyAfX_f75ouW2c7Yw,Production,756
2025-04-05,PTMT,183,PINK,46,1AGmksx4gn6w0Wb9EF__yAV5v89IyAfX_f75ouW2c7Yw,Production,757
2025-04-05,PTMT,110,WHITE,20,1AGmksx4gn6w0Wb9EF__yAV5v89IyAfX_f75ouW2c7Yw,Production,758
2025-04-05,PTMT,128,PINK,160,1AGmksx4gn6w0Wb9EF__yAV5v89IyAfX_f75ouW2c7Yw,Production,759
2025-04-08,PTMT,129-UG,GOLD,24,1AGmksx4gn6w0Wb9EF__yAV5v89IyAfX_f75ouW2c7Yw,Production,760
2025-04-08,PTMT,1322-S,IVORY,60,1AGmksx4gn6w0Wb9EF__yAV5v89IyAfX_f75ouW2c7Yw,Production,761
2025-04-08,PTMT,145-IR,NORMAL,50,1AGmksx4gn6w0Wb9EF__yAV5v89IyAfX_f75ouW2c7Yw,Production,762
2025-04-08,PTMT,QD-36,IVORY,70,1AGmksx4gn6w0Wb9EF__yAV5v89IyAfX_f75ouW2c7Yw,Production,763
2025-04-08,PTMT,724,WHITE,5,1AGmksx4gn6w0Wb9EF__yAV5v89IyAfX_f75ouW2c7Yw,Production,764
2025-04-09,PTMT,327,WHITE,120,1AGmksx4gn6w0Wb9EF__yAV5v89IyAfX_f75ouW2c7Yw,Production,765
2025-04-09,PTMT,551,IVORY,2,1AGmksx4gn6w0Wb9EF__yAV5v89IyAfX_f75ouW2c7Yw,Production,766
2025-04-09,PTMT,130-UG,GOLD,120,1AGmksx4gn6w0Wb9EF__yAV5v89IyAfX_f75ouW2c7Yw,Production,767
2025-04-09,PTMT,147-V,WHITE,3,1AGmksx4gn6w0Wb9EF__yAV5v89IyAfX_f75ouW2c7Yw,Production,768
2025-04-09,PTMT,327,WHITE,420,1AGmksx4gn6w0Wb9EF__yAV5v89IyAfX_f75ouW2c7Yw,Production,769
2025-04-09,PTMT,724,WHITE,20,1AGmksx4gn6w0Wb9EF__yAV5v89IyAfX_f75ouW2c7Yw,Production,770
2025-04-10,PTMT,184,WHITE,124,1AGmksx4gn6w0Wb9EF__yAV5v89IyAfX_f75ouW2c7Yw,Production,771
2025-04-10,PTMT,121-S,WHITE,108,1AGmksx4gn6w0Wb9EF__yAV5v89IyAfX_f75ouW2c7Yw,Production,772
2025-04-10,PTMT,327,WHITE,400,1AGmksx4gn6w0Wb9EF__yAV5v89IyAfX_f75ouW2c7Yw,Production,773
2025-04-10,PTMT,129-QP,NORMAL,24,1AGmksx4gn6w0Wb9EF__yAV5v89IyAfX_f75ouW2c7Yw,Production,774
2025-04-10,PTMT,145-DP,NORMAL,12,1AGmksx4gn6w0Wb9EF__yAV5v89IyAfX_f75ouW2c7Yw,Production,775
2025-04-10,PTMT,184,WHITE,124,1AGmksx4gn6w0Wb9EF__yAV5v89IyAfX_f75ouW2c7Yw,Production,776
2025-04-11,PTMT,144-SR,NORMAL,15,1AGmksx4gn6w0Wb9EF__yAV5v89IyAfX_f75ouW2c7Yw,Production,777
2025-04-11,PTMT,145-QP,NORMAL,46,1AGmksx4gn6w0Wb9EF__yAV5v89IyAfX_f75ouW2c7Yw,Production,778
2025-04-11,PTMT,129-IR,NORMAL,30,1AGmksx4gn6w0Wb9EF__yAV5v89IyAfX_f75ouW2c7Yw,Production,779
2025-04-11,PTMT,327,WHITE,479,1AGmksx4gn6w0Wb9EF__yAV5v89IyAfX_f75ouW2c7Yw,Production,780
2025-04-21,PTMT,144-D,IVORY,12,1AGmksx4gn6w0Wb9EF__yAV5v89IyAfX_f75ouW2c7Yw,Production,781
2025-04-21,PTMT,123-D,WHITE,20,1AGmksx4gn6w0Wb9EF__yAV5v89IyAfX_f75ouW2c7Yw,Production,782
2025-04-22,PTMT,200,IVORY,80,1AGmksx4gn6w0Wb9EF__yAV5v89IyAfX_f75ouW2c7Yw,Production,783
2025-04-23,PTMT,327,WHITE,2693,1AGmksx4gn6w0Wb9EF__yAV5v89IyAfX_f75ouW2c7Yw,Production,784
2025-04-24,PTMT,327,WHITE,200,1AGmksx4gn6w0Wb9EF__yAV5v89IyAfX_f75ouW2c7Yw,Production,785
2025-04-24,PTMT,129-RP,NORMAL,3,1AGmksx4gn6w0Wb9EF__yAV5v89IyAfX_f75ouW2c7Yw,Production,786
2025-04-24,PTMT,132-RP,NORMAL,3,1AGmksx4gn6w0Wb9EF__yAV5v89IyAfX_f75ouW2c7Yw,Production,787
2025-04-24,PTMT,130-IP,NORMAL,3,1AGmksx4gn6w0Wb9EF__yAV5v89IyAfX_f75ouW2c7Yw,Production,788
2025-04-24,PTMT,124-R,WHITE,50,1AGmksx4gn6w0Wb9EF__yAV5v89IyAfX_f75ouW2c7Yw,Production,789
2025-04-26,PTMT,124-RW,NORMAL,50,1AGmksx4gn6w0Wb9EF__yAV5v89IyAfX_f75ouW2c7Yw,Production,790
2025-04-26,PTMT,551,WHITE,42,1AGmksx4gn6w0Wb9EF__yAV5v89IyAfX_f75ouW2c7Yw,Production,791
2025-04-26,PTMT,124-S,IVORY,20,1AGmksx4gn6w0Wb9EF__yAV5v89IyAfX_f75ouW2c7Yw,Production,792
2025-04-28,PTMT,502,WHITE,70,1AGmksx4gn6w0Wb9EF__yAV5v89IyAfX_f75ouW2c7Yw,Production,793
2025-04-29,PTMT,191,WHITE,46,1AGmksx4gn6w0Wb9EF__yAV5v89IyAfX_f75ouW2c7Yw,Production,794
2025-04-30,PTMT,513,WHITE,50,1AGmksx4gn6w0Wb9EF__yAV5v89IyAfX_f75ouW2c7Yw,Production,795
2025-05-01,PTMT,1491-HR,NORMAL,30,1AGmksx4gn6w0Wb9EF__yAV5v89IyAfX_f75ouW2c7Yw,Production,796
2025-05-02,PTMT,1821,WHITE,40,1AGmksx4gn6w0Wb9EF__yAV5v89IyAfX_f75ouW2c7Yw,Production,797
2025-05-03,PTMT,327,WHITE,520,1AGmksx4gn6w0Wb9EF__yAV5v89IyAfX_f75ouW2c7Yw,Production,798
2025-05-05,PTMT,191,WHITE,12,1AGmksx4gn6w0Wb9EF__yAV5v89IyAfX_f75ouW2c7Yw,Production,799
2025-05-05,PTMT,194,WHITE,43,1AGmksx4gn6w0Wb9EF__yAV5v89IyAfX_f75ouW2c7Yw,Production,800
2025-05-06,PTMT,513,WHITE,10,1AGmksx4gn6w0Wb9EF__yAV5v89IyAfX_f75ouW2c7Yw,Production,801
2025-05-06,PTMT,1817,WHITE,450,1AGmksx4gn6w0Wb9EF__yAV5v89IyAfX_f75ouW2c7Yw,Production,802
2025-05-06,PTMT,1811,WHITE,38,1AGmksx4gn6w0Wb9EF__yAV5v89IyAfX_f75ouW2c7Yw,Production,803
2025-05-06,PTMT,106,WHITE,64,1AGmksx4gn6w0Wb9EF__yAV5v89IyAfX_f75ouW2c7Yw,Production,804
2025-05-06,PTMT,PTA-78,WHITE,2,1AGmksx4gn6w0Wb9EF__yAV5v89IyAfX_f75ouW2c7Yw,Production,805
2025-05-06,PTMT,326,IVORY,600,1AGmksx4gn6w0Wb9EF__yAV5v89IyAfX_f75ouW2c7Yw,Production,806
2025-05-07,PTMT,513,WHITE,75,1AGmksx4gn6w0Wb9EF__yAV5v89IyAfX_f75ouW2c7Yw,Production,807
2025-05-09,PTMT,135-C,WHITE,6,1AGmksx4gn6w0Wb9EF__yAV5v89IyAfX_f75ouW2c7Yw,Production,808
2025-05-09,PTMT,327,WHITE,565,1AGmksx4gn6w0Wb9EF__yAV5v89IyAfX_f75ouW2c7Yw,Production,809
2025-05-10,PTMT,129-P,IVORY,48,1AGmksx4gn6w0Wb9EF__yAV5v89IyAfX_f75ouW2c7Yw,Production,810
2025-05-13,PTMT,327,WHITE,465,1AGmksx4gn6w0Wb9EF__yAV5v89IyAfX_f75ouW2c7Yw,Production,811
2025-05-14,PTMT,120-M,WHITE,120,1AGmksx4gn6w0Wb9EF__yAV5v89IyAfX_f75ouW2c7Yw,Production,812
2025-05-14,PTMT,132,IVORY,97,1AGmksx4gn6w0Wb9EF__yAV5v89IyAfX_f75ouW2c7Yw,Production,813
2025-05-14,PTMT,327,WHITE,1504,1AGmksx4gn6w0Wb9EF__yAV5v89IyAfX_f75ouW2c7Yw,Production,814
2025-05-15,PTMT,327,WHITE,1694,1AGmksx4gn6w0Wb9EF__yAV5v89IyAfX_f75ouW2c7Yw,Production,815
2025-05-16,PTMT,1815,WHITE,76,1AGmksx4gn6w0Wb9EF__yAV5v89IyAfX_f75ouW2c7Yw,Production,816
2025-05-16,PTMT,327,WHITE,845,1AGmksx4gn6w0Wb9EF__yAV5v89IyAfX_f75ouW2c7Yw,Production,817
2025-05-17,PTMT,QA-31,WHITE,200,1AGmksx4gn6w0Wb9EF__yAV5v89IyAfX_f75ouW2c7Yw,Production,818
2025-05-17,PTMT,QA-31,IVORY,60,1AGmksx4gn6w0Wb9EF__yAV5v89IyAfX_f75ouW2c7Yw,Production,819
2025-05-19,PTMT,513,WHITE,10,1AGmksx4gn6w0Wb9EF__yAV5v89IyAfX_f75ouW2c7Yw,Production,820
2025-05-19,PTMT,555,WHITE,3,1AGmksx4gn6w0Wb9EF__yAV5v89IyAfX_f75ouW2c7Yw,Production,821
2025-05-19,PTMT,327,WHITE,295,1AGmksx4gn6w0Wb9EF__yAV5v89IyAfX_f75ouW2c7Yw,Production,822
2025-05-20,PTMT,513,WHITE,20,1AGmksx4gn6w0Wb9EF__yAV5v89IyAfX_f75ouW2c7Yw,Production,823
2025-05-20,PTMT,521,WHITE,22,1AGmksx4gn6w0Wb9EF__yAV5v89IyAfX_f75ouW2c7Yw,Production,824
2025-05-20,PTMT,327,WHITE,653,1AGmksx4gn6w0Wb9EF__yAV5v89IyAfX_f75ouW2c7Yw,Production,825
2025-05-21,PTMT,327,WHITE,654,1AGmksx4gn6w0Wb9EF__yAV5v89IyAfX_f75ouW2c7Yw,Production,826
2025-05-21,PTMT,132-B,WHITE,13,1AGmksx4gn6w0Wb9EF__yAV5v89IyAfX_f75ouW2c7Yw,Production,827
2025-05-21,PTMT,1322-DW,NORMAL,10,1AGmksx4gn6w0Wb9EF__yAV5v89IyAfX_f75ouW2c7Yw,Production,828
2025-05-21,PTMT,132-V,WHITE,52,1AGmksx4gn6w0Wb9EF__yAV5v89IyAfX_f75ouW2c7Yw,Production,829
2025-05-22,PTMT,124-S,WHITE,20,1AGmksx4gn6w0Wb9EF__yAV5v89IyAfX_f75ouW2c7Yw,Production,830
2025-05-23,PTMT,400-QR,NORMAL,6,1AGmksx4gn6w0Wb9EF__yAV5v89IyAfX_f75ouW2c7Yw,Production,831
2025-05-23,PTMT,1375-RR,NORMAL,12,1AGmksx4gn6w0Wb9EF__yAV5v89IyAfX_f75ouW2c7Yw,Production,832
