id,name,multiplier,updated_at,suggested_multiplier,override_multiplier,cv_value,volatility_class,avg_month,peak_month,peak_index,yoy,signal,seasonal_indices,last_computed_at,data_quality,z_score,segment,reliability_flag
2,Cocks Premium,1.2,2026-08-26T04:48:20.677Z,,1.2,,,,,,,,,2026-07-17T13:07:27.575Z,insufficient,1.65,PTMT,
3,Faucets & Jetsprays & Shower,1.5,2026-08-26T04:48:20.769Z,,1.5,,,,,,,,,2026-07-17T13:07:27.580Z,insufficient,1.65,PTMT,
4,Accessorise,1.5,2026-08-26T04:48:20.773Z,1.18,1.5,0.11,Low,32584,Mar,1.38,0.05,Stable,"[0.66,0.99,0.84,0.82,0.84,0.95,0.77,1,1.31,1.11,1.33,1.38]",2026-07-17T13:07:27.585Z,ok,1.65,PTMT,
5,Cistern & Seat Cover,1.2,2026-08-26T04:48:20.779Z,1.35,1.2,0.21,Medium,25988,Feb,1.36,-0.04,Stable,"[0.69,1.04,1.08,0.97,0.76,1.07,0.94,1,1,0.98,1.36,1.1]",2026-07-17T13:07:27.589Z,ok,1.65,PTMT,
6,Cabinet,1.2,2026-08-26T04:48:20.783Z,1.26,1.2,0.16,Medium,1198,Jul,1.33,0.04,Stable,"[1.14,1.14,1.15,1.33,1.05,0.76,0.98,0.93,0.85,1.1,0.74,0.84]",2026-07-17T13:07:27.602Z,ok,1.65,PTMT,
7,Ball Cock,1.5,2026-08-26T04:48:20.790Z,,1.5,,,,,,,,,2026-07-17T13:07:27.605Z,insufficient,1.65,PTMT,
13,UPVC Fitting,1.23,2026-07-17T13:04:49.831Z,1.23,,0.14,Low,276581,Mar,1.75,-0.07,Stable,"[0.63,1.19,1.02,0.76,0.63,0.81,0.8,0.89,1.1,1.31,1.12,1.75]",2026-07-17T13:04:49.831Z,ok,1.65,Plumbing,
19,UPVC Solvent,1.59,2026-07-17T13:04:49.855Z,1.59,,0.36,High,2580,Feb,1.68,-0.13,Declining,"[0.75,1,0.8,0.43,1.03,0.96,0.85,1.12,1.3,0.96,1.68,1.11]",2026-07-17T13:04:49.855Z,thin,1.65,Plumbing,thin data — review
11,AGRI Pipe,1.39,2026-07-17T13:04:49.878Z,1.39,,0.23,Medium,9083,Feb,1.69,0.5,Growing,"[0.73,0.81,0.75,0.84,0.84,0.69,0.78,0.81,1.65,1.14,1.69,1.28]",2026-07-17T13:04:49.878Z,ok,1.65,Plumbing,
15,AGRI Fitting,1.27,2026-07-17T13:04:49.882Z,1.27,,0.17,Medium,50195,Feb,1.32,0.18,Growing,"[0.64,1.09,0.87,1.09,0.76,0.88,1.07,0.84,1.23,1.05,1.32,1.15]",2026-07-17T13:04:49.882Z,ok,1.65,Plumbing,
20,AGRI Solvent,1.6,2026-07-17T13:04:49.887Z,1.6,,0.36,High,776,Jul,1.54,0.24,Growing,"[0.75,0.5,0.99,1.54,1.03,0.9,1.15,0.97,0.9,0.88,0.87,1.51]",2026-07-17T13:04:49.887Z,thin,1.65,Plumbing,thin data — review
8,CPVC Pipe,1.28,2026-07-17T13:04:49.808Z,1.28,,0.17,Medium,152332,Mar,1.52,0.23,Growing,"[0.74,1,0.84,1.04,0.85,0.81,0.76,1.02,1.08,1.3,1.05,1.52]",2026-07-17T13:04:49.808Z,ok,1.65,Plumbing,
12,CPVC Fitting,1.23,2026-07-17T13:04:49.816Z,1.23,,0.14,Low,495680,Mar,1.59,0.17,Growing,"[0.66,1.02,0.82,1.02,0.89,0.93,0.79,0.92,1.08,1.28,1,1.59]",2026-07-17T13:04:49.816Z,ok,1.65,Plumbing,
18,CPVC Solvent,1.3,2026-07-17T13:04:49.820Z,1.3,,0.18,Medium,7426,Jan,1.37,0.06,Stable,"[0.68,0.89,0.85,0.98,0.86,1.11,1.04,1.06,1.04,1.37,1.19,0.92]",2026-07-17T13:04:49.820Z,ok,1.65,Plumbing,
9,UPVC Pipe,1.29,2026-07-17T13:04:49.825Z,1.29,,0.17,Medium,109972,Mar,1.79,-0.07,Stable,"[0.52,1.21,1.01,0.65,0.77,0.64,0.72,0.82,0.96,1.34,1.59,1.79]",2026-07-17T13:04:49.825Z,ok,1.65,Plumbing,
10,SWR Pipe,1,2026-07-17T13:04:49.863Z,1.29,,0.18,Medium,61163,Mar,1.62,0.15,Growing,"[0.47,1.05,0.91,0.8,0.82,0.84,0.87,0.81,1.1,1.21,1.5,1.62]",2026-07-17T13:04:49.863Z,ok,1.65,Plumbing,
14,SWR Fitting,1,2026-07-17T13:04:49.867Z,1.45,,0.27,Medium,102413,Mar,1.55,0.04,Stable,"[0.46,0.99,0.88,0.75,0.81,0.81,0.93,1.03,1.03,1.32,1.43,1.55]",2026-07-17T13:04:49.867Z,ok,1.65,Plumbing,
16,SWR Solvent,1,2026-07-17T13:04:49.874Z,,,,,,,,,,,2026-07-17T13:04:49.873Z,insufficient,1.65,Plumbing,insufficient data — override required
1,Cocks Standard,1.5,2026-08-26T04:48:20.654Z,,1.5,,,,,,,,,2026-07-17T13:07:27.539Z,insufficient,1.65,PTMT,
