id,category,item_code,colour,segment
1,Cocks Standard,120-C,BURGUNDY,PTMT
2,Cocks Standard,120-C,GREEN,PTMT
3,Cocks Standard,120-C,IVORY,PTMT
4,Cocks Standard,120-C,M GREEN,PTMT
5,Cocks Standard,120-C,PINK,PTMT
6,Cocks Standard,120-C,WHITE,PTMT
7,Cocks Standard,120-M,BURGUNDY,PTMT
8,Cocks Standard,120-M,GREEN,PTMT
9,Cocks Standard,120-M,IVORY,PTMT
10,Cocks Standard,120-M,M GREEN,PTMT
11,Cocks Standard,120-M,PINK,PTMT
12,Cocks Standard,120-M,WHITE,PTMT
13,Cocks Standard,120-R,BURGUNDY,PTMT
14,Cocks Standard,120-R,GREEN,PTMT
15,Cocks Standard,120-R,IVORY,PTMT
16,Cocks Standard,120-R,M GREEN,PTMT
17,Cocks Standard,120-R,PINK,PTMT
18,Cocks Standard,120-R,WHITE,PTMT
19,Cocks Standard,120-S,BURGUNDY,PTMT
20,Cocks Standard,120-S,GREEN,PTMT
21,Cocks Standard,120-S,IVORY,PTMT
22,Cocks Standard,120-S,M GREEN,PTMT
23,Cocks Standard,120-S,PINK,PTMT
24,Cocks Standard,120-S,WHITE,PTMT
25,Cocks Standard,120-W,BURGUNDY,PTMT
26,Cocks Standard,120-W,GREEN,PTMT
27,Cocks Standard,120-W,IVORY,PTMT
28,Cocks Standard,120-W,M GREEN,PTMT
29,Cocks Standard,120-W,PINK,PTMT
30,Cocks Standard,120-W,WHITE,PTMT
31,Cocks Standard,120-WS,BURGUNDY,PTMT
32,Cocks Standard,120-WS,GREEN,PTMT
33,Cocks Standard,120-WS,IVORY,PTMT
34,Cocks Standard,120-WS,M GREEN,PTMT
35,Cocks Standard,120-WS,PINK,PTMT
36,Cocks Standard,120-WS,WHITE,PTMT
37,Cocks Standard,120.0,BURGUNDY,PTMT
38,Cocks Standard,120.0,GREEN,PTMT
39,Cocks Standard,120.0,IVORY,PTMT
40,Cocks Standard,120.0,M GREEN,PTMT
41,Cocks Standard,120.0,PINK,PTMT
42,Cocks Standard,120.0,WHITE,PTMT
43,Cocks Standard,121-A,IVORY,PTMT
44,Cocks Standard,121-A,WHITE,PTMT
45,Cocks Standard,121-AB,BLACK,PTMT
46,Cocks Standard,121-ABF,BLACK,PTMT
47,Cocks Standard,121-AF,WHITE,PTMT
48,Cocks Standard,121-AP,IVORY,PTMT
49,Cocks Standard,121-AP,WHITE,PTMT
50,Cocks Standard,121-APF,IVORY,PTMT
51,Cocks Standard,121-AS,IVORY,PTMT
52,Cocks Standard,121-AS,WHITE,PTMT
53,Cocks Standard,121-ASF,IVORY,PTMT
54,Cocks Standard,121-ASF,WHITE,PTMT
55,Cocks Standard,121-B,BURGUNDY,PTMT
56,Cocks Standard,121-B,GREEN,PTMT
57,Cocks Standard,121-B,IVORY,PTMT
58,Cocks Standard,121-B,M GREEN,PTMT
59,Cocks Standard,121-B,PINK,PTMT
60,Cocks Standard,121-B,WHITE,PTMT
61,Cocks Standard,121-BF,WHITE,PTMT
62,Cocks Standard,121-C,.,PTMT
63,Cocks Standard,121-C,BURGUNDY,PTMT
64,Cocks Standard,121-C,GREEN,PTMT
65,Cocks Standard,121-C,IVORY,PTMT
66,Cocks Standard,121-C,M GREEN,PTMT
67,Cocks Standard,121-C,WHITE,PTMT
68,Cocks Standard,121-CF,.,PTMT
69,Cocks Standard,121-E,BURGUNDY,PTMT
70,Cocks Standard,121-E,GREEN,PTMT
71,Cocks Standard,121-E,IVORY,PTMT
72,Cocks Standard,121-E,M GREEN,PTMT
73,Cocks Standard,121-E,PINK,PTMT
74,Cocks Standard,121-E,WHITE,PTMT
75,Cocks Standard,121-EB,IVORY,PTMT
76,Cocks Standard,121-EB,WHITE,PTMT
77,Cocks Standard,121-EBF,.,PTMT
78,Cocks Standard,121-F,IVORY,PTMT
79,Cocks Standard,121-F,WHITE,PTMT
80,Cocks Standard,121-FB,BLUE,PTMT
81,Cocks Standard,121-H,BURGUNDY,PTMT
82,Cocks Standard,121-H,GREEN,PTMT
83,Cocks Standard,121-H,IVORY,PTMT
84,Cocks Standard,121-H,M GREEN,PTMT
85,Cocks Standard,121-H,PINK,PTMT
86,Cocks Standard,121-H,WHITE,PTMT
87,Cocks Standard,121-I,IVORY,PTMT
88,Cocks Standard,121-I,WHITE,PTMT
89,Cocks Standard,121-JJM,IVORY,PTMT
90,Cocks Standard,121-JJM,PINK,PTMT
91,Cocks Standard,121-JJM,WHITE,PTMT
92,Cocks Standard,121-K,WHITE,PTMT
93,Cocks Standard,121-KF,WHITE,PTMT
94,Cocks Standard,121-L,IVORY,PTMT
95,Cocks Standard,121-L,WHITE,PTMT
96,Cocks Standard,121-LSF,.,PTMT
97,Cocks Standard,121-LSFB,BLUE,PTMT
98,Cocks Standard,121-O,.,PTMT
99,Cocks Standard,121-O,BLUE,PTMT
100,Cocks Standard,121-O,BURGUNDY,PTMT
101,Cocks Standard,121-O,GREEN,PTMT
102,Cocks Standard,121-O,IVORY,PTMT
103,Cocks Standard,121-O,M GREEN,PTMT
104,Cocks Standard,121-O,PINK,PTMT
105,Cocks Standard,121-O,WHITE,PTMT
106,Cocks Standard,121-P,BURGUNDY,PTMT
107,Cocks Standard,121-P,GREEN,PTMT
108,Cocks Standard,121-P,IVORY,PTMT
109,Cocks Standard,121-P,M GREEN,PTMT
110,Cocks Standard,121-P,PINK,PTMT
111,Cocks Standard,121-P,WHITE,PTMT
112,Cocks Standard,121-PF,.,PTMT
113,Cocks Standard,121-R,BURGUNDY,PTMT
114,Cocks Standard,121-R,GREEN,PTMT
115,Cocks Standard,121-R,IVORY,PTMT
116,Cocks Standard,121-R,M GREEN,PTMT
117,Cocks Standard,121-R,PINK,PTMT
118,Cocks Standard,121-R,WHITE,PTMT
119,Cocks Standard,121-S,BURGUNDY,PTMT
120,Cocks Standard,121-S,GREEN,PTMT
121,Cocks Standard,121-S,IVORY,PTMT
122,Cocks Standard,121-S,M GREEN,PTMT
123,Cocks Standard,121-S,PINK,PTMT
124,Cocks Standard,121-S,WHITE,PTMT
125,Cocks Standard,121-V,BURGUNDY,PTMT
126,Cocks Standard,121-V,GREEN,PTMT
127,Cocks Standard,121-V,IVORY,PTMT
128,Cocks Standard,121-V,M GREEN,PTMT
129,Cocks Standard,121-V,PINK,PTMT
130,Cocks Standard,121-V,WHITE,PTMT
131,Cocks Standard,121.0,BLUE,PTMT
132,Cocks Standard,121.0,BURGUNDY,PTMT
133,Cocks Standard,121.0,GREEN,PTMT
134,Cocks Standard,121.0,IVORY,PTMT
135,Cocks Standard,121.0,M GREEN,PTMT
136,Cocks Standard,121.0,PINK,PTMT
137,Cocks Standard,121.0,WHITE,PTMT
138,Cocks Standard,122-O,BURGUNDY,PTMT
139,Cocks Standard,122-O,GREEN,PTMT
140,Cocks Standard,122-O,IVORY,PTMT
141,Cocks Standard,122-O,M GREEN,PTMT
142,Cocks Standard,122-O,PINK,PTMT
143,Cocks Standard,122-O,WHITE,PTMT
144,Cocks Standard,123,BLUE,PTMT
145,Cocks Standard,123-A,IVORY,PTMT
146,Cocks Standard,123-A,WHITE,PTMT
147,Cocks Standard,123-AB,BLACK,PTMT
148,Cocks Standard,123-ABF,BLACK,PTMT
149,Cocks Standard,123-ABN,.,PTMT
150,Cocks Standard,123-AF,IVORY,PTMT
151,Cocks Standard,123-AF,WHITE,PTMT
152,Cocks Standard,123-AN,WHITE,PTMT
153,Cocks Standard,123-C,BURGUNDY,PTMT
154,Cocks Standard,123-C,GREEN,PTMT
155,Cocks Standard,123-C,IVORY,PTMT
156,Cocks Standard,123-C,M GREEN,PTMT
157,Cocks Standard,123-C,PINK,PTMT
158,Cocks Standard,123-C,WHITE,PTMT
159,Cocks Standard,123-CF,BURGUNDY,PTMT
160,Cocks Standard,123-CF,GREEN,PTMT
161,Cocks Standard,123-CF,IVORY,PTMT
162,Cocks Standard,123-CF,M GREEN,PTMT
163,Cocks Standard,123-CF,PINK,PTMT
164,Cocks Standard,123-CF,WHITE,PTMT
165,Cocks Standard,123-CN,BURGUNDY,PTMT
166,Cocks Standard,123-CN,GREEN,PTMT
167,Cocks Standard,123-CN,IVORY,PTMT
168,Cocks Standard,123-CN,M GREEN,PTMT
169,Cocks Standard,123-CN,PINK,PTMT
170,Cocks Standard,123-CN,WHITE,PTMT
171,Cocks Standard,123-D,BURGUNDY,PTMT
172,Cocks Standard,123-D,GREEN,PTMT
173,Cocks Standard,123-D,IVORY,PTMT
174,Cocks Standard,123-D,M GREEN,PTMT
175,Cocks Standard,123-D,PINK,PTMT
176,Cocks Standard,123-D,WHITE,PTMT
177,Cocks Standard,123-DB,BLACK,PTMT
178,Cocks Standard,123-E,BURGUNDY,PTMT
179,Cocks Standard,123-E,GREEN,PTMT
180,Cocks Standard,123-E,IVORY,PTMT
181,Cocks Standard,123-E,M GREEN,PTMT
182,Cocks Standard,123-E,PINK,PTMT
183,Cocks Standard,123-E,WHITE,PTMT
184,Cocks Standard,123-EF,BURGUNDY,PTMT
185,Cocks Standard,123-EF,GREEN,PTMT
186,Cocks Standard,123-EF,IVORY,PTMT
187,Cocks Standard,123-EF,M GREEN,PTMT
188,Cocks Standard,123-EF,PINK,PTMT
189,Cocks Standard,123-EF,WHITE,PTMT
190,Cocks Standard,123-EN,BURGUNDY,PTMT
191,Cocks Standard,123-EN,GREEN,PTMT
192,Cocks Standard,123-EN,IVORY,PTMT
193,Cocks Standard,123-EN,M GREEN,PTMT
194,Cocks Standard,123-EN,PINK,PTMT
195,Cocks Standard,123-EN,WHITE,PTMT
196,Cocks Standard,123-F,BURGUNDY,PTMT
197,Cocks Standard,123-F,GREEN,PTMT
198,Cocks Standard,123-F,IVORY,PTMT
199,Cocks Standard,123-F,M GREEN,PTMT
200,Cocks Standard,123-F,PINK,PTMT
201,Cocks Standard,123-F,WHITE,PTMT
202,Cocks Standard,123-FH,IVORY,PTMT
203,Cocks Standard,123-FH,WHITE,PTMT
204,Cocks Standard,123-FP,BURGUNDY,PTMT
205,Cocks Standard,123-FP,GREEN,PTMT
206,Cocks Standard,123-FP,IVORY,PTMT
207,Cocks Standard,123-FP,M GREEN,PTMT
208,Cocks Standard,123-FP,PINK,PTMT
209,Cocks Standard,123-FP,WHITE,PTMT
210,Cocks Standard,123-H,BURGUNDY,PTMT
211,Cocks Standard,123-H,GREEN,PTMT
212,Cocks Standard,123-H,IVORY,PTMT
213,Cocks Standard,123-H,M GREEN,PTMT
214,Cocks Standard,123-H,PINK,PTMT
215,Cocks Standard,123-H,WHITE,PTMT
216,Cocks Standard,123-I,IVORY,PTMT
217,Cocks Standard,123-I,WHITE,PTMT
218,Cocks Standard,123-K,WHITE,PTMT
219,Cocks Standard,123-KF,WHITE,PTMT
220,Cocks Standard,123-KN,WHITE,PTMT
221,Cocks Standard,123-L,IVORY,PTMT
222,Cocks Standard,123-L,WHITE,PTMT
