date,plant,machine,run_hours,ideal_hours,output,rejection,unit,period,segment,actual_hours,compound_type,downtime_min,downtime_reason,grain,has_oee,ideal_hours,ideal_hours_sheet,ideal_month_hours,ideal_output,ideal_rate,ideal_source,is_finishing,labour_cost,location,material,mould,output_basis,planned_output,planned_stops_min,power_cost,product,reject_count,reject_denominator,reject_unit,rejection_tracked,runhours_tracked,runner_lumps,secondary_counts,shift,shift_len_min,solar_cost,source_family,source_file,source_row,source_tab,tonnage_band,total_count,source_endpoint,source_requested_period
2025-04-01,PIPE,PIPE Pipe M/C-1,15.5,3.6666666666666665,2073,570,kg,2025-04,Pipe,15.5,,0,,daily,false,3.6666666666666665,0,41.666666666666664,1860,120,derived,false,0,,,,net,0,0,0,,570,0,,true,true,0,{},,0,0,Pipe,10GHWEV7pY_qcpFLmXqKwwDtmidAjL6FG0MOtAwUJ484,,Report-5,,2073,/records,2025-04
2025-04-02,PIPE,PIPE Pipe M/C-1,2,3.6666666666666665,235,350,kg,2025-04,Pipe,2,,0,,daily,false,3.6666666666666665,0,41.666666666666664,240,120,derived,false,0,,,,net,0,0,0,,350,0,,true,true,0,{},,0,0,Pipe,10GHWEV7pY_qcpFLmXqKwwDtmidAjL6FG0MOtAwUJ484,,Report-5,,235,/records,2025-04
2025-04-01,PIPE,PIPE Pipe M/C-2,20,22,2968,260,kg,2025-04,Pipe,20,,0,,daily,false,22,0,17.24137931034483,5600,280,derived,false,0,,,,net,0,0,0,,260,0,,true,true,0,{},,0,0,Pipe,10GHWEV7pY_qcpFLmXqKwwDtmidAjL6FG0MOtAwUJ484,,Report-5,,2968,/records,2025-04
2025-04-02,PIPE,PIPE Pipe M/C-2,21,22,2968,240,kg,2025-04,Pipe,21,,0,,daily,false,22,0,17.24137931034483,5880,280,derived,false,0,,,,net,0,0,0,,240,0,,true,true,0,{},,0,0,Pipe,10GHWEV7pY_qcpFLmXqKwwDtmidAjL6FG0MOtAwUJ484,,Report-5,,2968,/records,2025-04
2025-04-03,PIPE,PIPE Pipe M/C-2,14,22,1410,350,kg,2025-04,Pipe,14,,0,,daily,false,22,0,17.24137931034483,3920,280,derived,false,0,,,,net,0,0,0,,350,0,,true,true,0,{},,0,0,Pipe,10GHWEV7pY_qcpFLmXqKwwDtmidAjL6FG0MOtAwUJ484,,Report-5,,1410,/records,2025-04
2025-04-04,PIPE,PIPE Pipe M/C-2,24,22,3087,190,kg,2025-04,Pipe,24,,0,,daily,false,22,0,17.24137931034483,6720,280,derived,false,0,,,,net,0,0,0,,190,0,,true,true,0,{},,0,0,Pipe,10GHWEV7pY_qcpFLmXqKwwDtmidAjL6FG0MOtAwUJ484,,Report-5,,3087,/records,2025-04
2025-04-05,PIPE,PIPE Pipe M/C-2,21.5,22,2971,200,kg,2025-04,Pipe,21.5,,0,,daily,false,22,0,17.24137931034483,6020,280,derived,false,0,,,,net,0,0,0,,200,0,,true,true,0,{},,0,0,Pipe,10GHWEV7pY_qcpFLmXqKwwDtmidAjL6FG0MOtAwUJ484,,Report-5,,2971,/records,2025-04
2025-04-06,PIPE,PIPE Pipe M/C-2,19,22,2575,220,kg,2025-04,Pipe,19,,0,,daily,false,22,0,17.24137931034483,5320,280,derived,false,0,,,,net,0,0,0,,220,0,,true,true,0,{},,0,0,Pipe,10GHWEV7pY_qcpFLmXqKwwDtmidAjL6FG0MOtAwUJ484,,Report-5,,2575,/records,2025-04
2025-04-07,PIPE,PIPE Pipe M/C-2,14,22,1345,270,kg,2025-04,Pipe,14,,0,,daily,false,22,0,17.24137931034483,3920,280,derived,false,0,,,,net,0,0,0,,270,0,,true,true,0,{},,0,0,Pipe,10GHWEV7pY_qcpFLmXqKwwDtmidAjL6FG0MOtAwUJ484,,Report-5,,1345,/records,2025-04
2025-04-08,PIPE,PIPE Pipe M/C-2,21,22,1645,240,kg,2025-04,Pipe,21,,0,,daily,false,22,0,17.24137931034483,5880,280,derived,false,0,,,,net,0,0,0,,240,0,,true,true,0,{},,0,0,Pipe,10GHWEV7pY_qcpFLmXqKwwDtmidAjL6FG0MOtAwUJ484,,Report-5,,1645,/records,2025-04
2025-04-09,PIPE,PIPE Pipe M/C-2,24,22,2335,190,kg,2025-04,Pipe,24,,0,,daily,false,22,0,17.24137931034483,6720,280,derived,false,0,,,,net,0,0,0,,190,0,,true,true,0,{},,0,0,Pipe,10GHWEV7pY_qcpFLmXqKwwDtmidAjL6FG0MOtAwUJ484,,Report-5,,2335,/records,2025-04
2025-04-10,PIPE,PIPE Pipe M/C-2,18,22,1228,290,kg,2025-04,Pipe,18,,0,,daily,false,22,0,17.24137931034483,5040,280,derived,false,0,,,,net,0,0,0,,290,0,,true,true,0,{},,0,0,Pipe,10GHWEV7pY_qcpFLmXqKwwDtmidAjL6FG0MOtAwUJ484,,Report-5,,1228,/records,2025-04
