source_tab,source_row,Date,Document No.,Location.Name,Customer.Name,GROUP,Old ERP Code,Item.Color,Unit.Name,Quantity,Rate,Taxable Value,Month,STATION,STATE,STATE HEAD,STATE HEAD B,STATE HEAD A,source_col_18,GROUP_2
Combined,2,6-Mar-2026,108586,BHIWADI,ASRS TRADERS,CP ACCESSORIES,CPHF-2(A),,,100,1280,41344,Mar-26,KOLKATA,GEM,GEM,CP ACCESSORIESGEMGEM,GEM,GEMKOLKATA,CP GROUP
Combined,3,06-Mar-2026,108587,BHIWADI,ASRS TRADERS,PTMT,PTA-26,WHITE,,44,444,6310,Mar-26,KOLKATA,GEM,GEM,PTMTGEMGEM,GEM,GEMKOLKATA,PTMT GROUP
Combined,4,06-Mar-2026,108587,BHIWADI,ASRS TRADERS,C P,PIS-14,,,6,3280,6357,Mar-26,KOLKATA,GEM,GEM,C PGEMGEM,GEM,GEMKOLKATA,CP GROUP
Combined,5,06-Mar-2026,108587,BHIWADI,ASRS TRADERS,C P,PIS-10,,,4,1690,2183,Mar-26,KOLKATA,GEM,GEM,C PGEMGEM,GEM,GEMKOLKATA,CP GROUP
Combined,6,06-Mar-2026,108587,BHIWADI,ASRS TRADERS,CP ACCESSORIES,CPOH-3,,,8,1930,4987,Mar-26,KOLKATA,GEM,GEM,CP ACCESSORIESGEMGEM,GEM,GEMKOLKATA,CP GROUP
Combined,7,06-Mar-2026,108587,BHIWADI,ASRS TRADERS,C P,PIS-80,,,6,9580,18566,Mar-26,KOLKATA,GEM,GEM,C PGEMGEM,GEM,GEMKOLKATA,CP GROUP
Combined,8,06-Mar-2026,108587,BHIWADI,ASRS TRADERS,C P,PIS-26,,,23,1550,11515,Mar-26,KOLKATA,GEM,GEM,C PGEMGEM,GEM,GEMKOLKATA,CP GROUP
Combined,9,06-Mar-2026,108587,BHIWADI,ASRS TRADERS,C P,PIS-02,,,24,2370,18372,Mar-26,KOLKATA,GEM,GEM,C PGEMGEM,GEM,GEMKOLKATA,CP GROUP
Combined,10,06-Mar-2026,108587,BHIWADI,ASRS TRADERS,C P,PIS-06,,,134,2160,93489,Mar-26,KOLKATA,GEM,GEM,C PGEMGEM,GEM,GEMKOLKATA,CP GROUP
Combined,11,06-Mar-2026,108587,BHIWADI,ASRS TRADERS,C P,PIS-08,,,19,2680,16447,Mar-26,KOLKATA,GEM,GEM,C PGEMGEM,GEM,GEMKOLKATA,CP GROUP
Combined,12,06-Mar-2026,108587,BHIWADI,ASRS TRADERS,C P,PIS-12,,,68,3140,68967,Mar-26,KOLKATA,GEM,GEM,C PGEMGEM,GEM,GEMKOLKATA,CP GROUP
Combined,13,06-Mar-2026,108587,BHIWADI,ASRS TRADERS,C P,PIS-18,,,10,2140,6912,Mar-26,KOLKATA,GEM,GEM,C PGEMGEM,GEM,GEMKOLKATA,CP GROUP
Combined,14,06-Mar-2026,108587,BHIWADI,ASRS TRADERS,CP ACCESSORIES,CPHF-2(A),,,16,1280,6615,Mar-26,KOLKATA,GEM,GEM,CP ACCESSORIESGEMGEM,GEM,GEMKOLKATA,CP GROUP
Combined,15,06-Mar-2026,108588,BHIWADI,N.K.MARKETING,FLOOR TRAP,SA-04,,,62,540,10814,Mar-26,KOLKATA,GEM,GEM,FLOOR TRAPGEMGEM,GEM,GEMKOLKATA,SINK GROUP
Combined,16,06-Mar-2026,108588,BHIWADI,N.K.MARKETING,CP ACCESSORIES,CPA-22,,,3,720,698,Mar-26,KOLKATA,GEM,GEM,CP ACCESSORIESGEMGEM,GEM,GEMKOLKATA,CP GROUP
Combined,17,06-Mar-2026,108589,BHIWADI,ASRS TRADERS,CP ACCESSORIES,CPOH-3,,,40,1930,24936,Mar-26,KOLKATA,GEM,GEM,CP ACCESSORIESGEMGEM,GEM,GEMKOLKATA,CP GROUP
Combined,18,06-Mar-2026,108589,BHIWADI,ASRS TRADERS,CP ACCESSORIES,CPHF-2(A),,,102,1280,42171,Mar-26,KOLKATA,GEM,GEM,CP ACCESSORIESGEMGEM,GEM,GEMKOLKATA,CP GROUP
Combined,19,06-Mar-2026,108589,BHIWADI,ASRS TRADERS,C P,PIS-80,,,20,9580,61887,Mar-26,KOLKATA,GEM,GEM,C PGEMGEM,GEM,GEMKOLKATA,CP GROUP
Combined,20,06-Mar-2026,108589,BHIWADI,ASRS TRADERS,C P,PIS-28,,,66,1550,33043,Mar-26,KOLKATA,GEM,GEM,C PGEMGEM,GEM,GEMKOLKATA,CP GROUP
Combined,21,06-Mar-2026,108589,BHIWADI,ASRS TRADERS,C P,PIS-26,,,12,1550,6008,Mar-26,KOLKATA,GEM,GEM,C PGEMGEM,GEM,GEMKOLKATA,CP GROUP
Combined,22,06-Mar-2026,108589,BHIWADI,ASRS TRADERS,C P,PIS-02,,,33,2370,25262,Mar-26,KOLKATA,GEM,GEM,C PGEMGEM,GEM,GEMKOLKATA,CP GROUP
Combined,23,06-Mar-2026,108589,BHIWADI,ASRS TRADERS,C P,PIS-06,,,75,2160,52326,Mar-26,KOLKATA,GEM,GEM,C PGEMGEM,GEM,GEMKOLKATA,CP GROUP
Combined,24,06-Mar-2026,108589,BHIWADI,ASRS TRADERS,C P,PIS-08,,,31,2680,26835,Mar-26,KOLKATA,GEM,GEM,C PGEMGEM,GEM,GEMKOLKATA,CP GROUP
Combined,25,06-Mar-2026,108589,BHIWADI,ASRS TRADERS,C P,PIS-12,,,33,3140,33469,Mar-26,KOLKATA,GEM,GEM,C PGEMGEM,GEM,GEMKOLKATA,CP GROUP
Combined,26,06-Mar-2026,108589,BHIWADI,ASRS TRADERS,C P,PIS-18,,,29,2140,20045,Mar-26,KOLKATA,GEM,GEM,C PGEMGEM,GEM,GEMKOLKATA,CP GROUP
Combined,27,06-Mar-2026,108590,BHIWADI,N.K.MARKETING,FLOOR TRAP,SA-04,,,44,540,7674,Mar-26,KOLKATA,GEM,GEM,FLOOR TRAPGEMGEM,GEM,GEMKOLKATA,SINK GROUP
Combined,28,06-Mar-2026,108591,BHIWADI,CHIRANJI LAL SHIV PARSHAD,CP ACCESSORIES,522-CP,,,100,240,11520,Mar-26,PANCHKULA,Haryana,PAWAN KUMAR,CP ACCESSORIESPAWAN KUMARHaryana,PAWAN KUMAR,PAWAN KUMARPANCHKULA,CP GROUP
Combined,29,06-Mar-2026,108591,BHIWADI,CHIRANJI LAL SHIV PARSHAD,CP ACCESSORIES,523-CP,,,100,240,11520,Mar-26,PANCHKULA,Haryana,PAWAN KUMAR,CP ACCESSORIESPAWAN KUMARHaryana,PAWAN KUMAR,PAWAN KUMARPANCHKULA,CP GROUP
Combined,30,06-Mar-2026,108591,BHIWADI,CHIRANJI LAL SHIV PARSHAD,CONNECTION,326,WHITE,,300,168,21288,Mar-26,PANCHKULA,Haryana,PAWAN KUMAR,CONNECTIONPAWAN KUMARHaryana,PAWAN KUMAR,PAWAN KUMARPANCHKULA,PTMT GROUP
Combined,31,06-Mar-2026,108591,BHIWADI,CHIRANJI LAL SHIV PARSHAD,CONNECTION,324,WHITE,,300,118,14952,Mar-26,PANCHKULA,Haryana,PAWAN KUMAR,CONNECTIONPAWAN KUMARHaryana,PAWAN KUMAR,PAWAN KUMARPANCHKULA,PTMT GROUP
Combined,32,06-Mar-2026,108591,BHIWADI,CHIRANJI LAL SHIV PARSHAD,CONNECTION,323,WHITE,,300,96,12165,Mar-26,PANCHKULA,Haryana,PAWAN KUMAR,CONNECTIONPAWAN KUMARHaryana,PAWAN KUMAR,PAWAN KUMARPANCHKULA,PTMT GROUP
Combined,33,06-Mar-2026,108591,BHIWADI,CHIRANJI LAL SHIV PARSHAD,CP ACCESSORIES,187-CEB,,,30,940,13536,Mar-26,PANCHKULA,Haryana,PAWAN KUMAR,CP ACCESSORIESPAWAN KUMARHaryana,PAWAN KUMAR,PAWAN KUMARPANCHKULA,CP GROUP
Combined,34,06-Mar-2026,108591,BHIWADI,CHIRANJI LAL SHIV PARSHAD,CP ACCESSORIES,187-CBB,,,20,990,9504,Mar-26,PANCHKULA,Haryana,PAWAN KUMAR,CP ACCESSORIESPAWAN KUMARHaryana,PAWAN KUMAR,PAWAN KUMARPANCHKULA,CP GROUP
Combined,35,06-Mar-2026,108591,BHIWADI,CHIRANJI LAL SHIV PARSHAD,PTMT,145-O,WHITE,,60,442,12730,Mar-26,PANCHKULA,Haryana,PAWAN KUMAR,PTMTPAWAN KUMARHaryana,PAWAN KUMAR,PAWAN KUMARPANCHKULA,PTMT GROUP
Combined,36,06-Mar-2026,108591,BHIWADI,CHIRANJI LAL SHIV PARSHAD,PTMT,129-O,WHITE,,48,486,11197,Mar-26,PANCHKULA,Haryana,PAWAN KUMAR,PTMTPAWAN KUMARHaryana,PAWAN KUMAR,PAWAN KUMARPANCHKULA,PTMT GROUP
Combined,37,06-Mar-2026,108591,BHIWADI,CHIRANJI LAL SHIV PARSHAD,PTMT,144-O,WHITE,,264,204,25851,Mar-26,PANCHKULA,Haryana,PAWAN KUMAR,PTMTPAWAN KUMARHaryana,PAWAN KUMAR,PAWAN KUMARPANCHKULA,PTMT GROUP
Combined,38,06-Mar-2026,108591,BHIWADI,CHIRANJI LAL SHIV PARSHAD,PTMT,127-O,WHITE,,132,238,15080,Mar-26,PANCHKULA,Haryana,PAWAN KUMAR,PTMTPAWAN KUMARHaryana,PAWAN KUMAR,PAWAN KUMARPANCHKULA,PTMT GROUP
