source_tab,source_row,SO NO,SO Date,PARTY NAME,State,PO No.,Item Group,Item Code,Item Name,COLOR,COLUOR,Size,Description,So Qty,Rate,So Amount,Inv. Qty,Bal. Qty,Bal. Value,Stock Qty,1,2,3,4,SEGMENT,STATE HEAD,STATE,STATE HEAD B,STATE HEAD  A
report,2,72600002,9-Apr-2026,ASHISH BATH GALAXY,,,GP-364-TT,GARDEN PIPE TRANSPARENT PLAIN 30 MTRS 25MM,,,,,,,,6,,6,4950,,,,,,GARDEN PIPE,SANDEEP JI,W-BENGAL,GARDEN PIPESANDEEP JIW-BENGAL,SANDEEP JI
report,3,72600002,9-Apr-2026,ASHISH BATH GALAXY,,,GP-364-TB,GARDEN PIPE TRANSPARENT BLUE PLAIN 30 MTRS 25MM,,,,,,,,6,,6,4950,,,,,,GARDEN PIPE,SANDEEP JI,W-BENGAL,GARDEN PIPESANDEEP JIW-BENGAL,SANDEEP JI
report,4,72600004,9-Apr-2026,LAXMI STORES (BURDWAN),,,WT-4LC-05,WATER TANK 4 LAYER COLOUR 500 LTR,BLUE,,,,,,,1,,1,3925,,,,,,WATER TANK,SANDEEP JI,W-BENGAL,WATER TANKSANDEEP JIW-BENGAL,SANDEEP JI
report,5,72600004,9-Apr-2026,LAXMI STORES (BURDWAN),,,WT-3LL-10,WATER TANK 3 LAYER LIGHT 1000 LTR,WHITE,,,,,,,2,,2,12501,,,,,,WATER TANK,SANDEEP JI,W-BENGAL,WATER TANKSANDEEP JIW-BENGAL,SANDEEP JI
report,6,72600004,9-Apr-2026,LAXMI STORES (BURDWAN),,,WT-3LC-10,WATER TANK 3 LAYER COLOUR 1000 LTR,BLUE,,,,,,,1,,1,6251,,,,,,WATER TANK,SANDEEP JI,W-BENGAL,WATER TANKSANDEEP JIW-BENGAL,SANDEEP JI
report,7,72600004,9-Apr-2026,LAXMI STORES (BURDWAN),,,WT-3LC-10,WATER TANK 3 LAYER COLOUR 1000 LTR,P.GREEN,,,,,,,1,,1,6251,,,,,,WATER TANK,SANDEEP JI,W-BENGAL,WATER TANKSANDEEP JIW-BENGAL,SANDEEP JI
report,8,72600006,10-Apr-2026,KARMAKAR ENTERPRISE,,,WT-3LC-07,WATER TANK 3 LAYER COLOUR 750 LTR,L.BLUE,,,,,,,1,,1,4762,,,,,,WATER TANK,SANDEEP JI,W-BENGAL,WATER TANKSANDEEP JIW-BENGAL,SANDEEP JI
report,9,72600006,10-Apr-2026,KARMAKAR ENTERPRISE,,,WT-3LC-07,WATER TANK 3 LAYER COLOUR 750 LTR,P.GREEN,,,,,,,3,,3,14286,,,,,,WATER TANK,SANDEEP JI,W-BENGAL,WATER TANKSANDEEP JIW-BENGAL,SANDEEP JI
report,10,72600006,10-Apr-2026,KARMAKAR ENTERPRISE,,,WT-3LL-07,WATER TANK 3 LAYER LIGHT 750 LTR,WHITE,,,,,,,2,,2,9524,,,,,,WATER TANK,SANDEEP JI,W-BENGAL,WATER TANKSANDEEP JIW-BENGAL,SANDEEP JI
report,11,72600007,11-Apr-2026,SAINTHIA PAINTS HOUSE (WB),,,WT-4LC-07,WATER TANK 4 LAYER COLOUR 750 LTR,PINK,,,,,,,4,,4,23548,,,,,,WATER TANK,SANDEEP JI,W-BENGAL,WATER TANKSANDEEP JIW-BENGAL,SANDEEP JI
report,12,72600007,11-Apr-2026,SAINTHIA PAINTS HOUSE (WB),,,WT-4LL-07,WATER TANK 4 LAYER LIGHT 750 LTR,WHITE,,,,,,,6,,6,35322,,,,,,WATER TANK,SANDEEP JI,W-BENGAL,WATER TANKSANDEEP JIW-BENGAL,SANDEEP JI
report,13,72600007,11-Apr-2026,SAINTHIA PAINTS HOUSE (WB),,,WT-3LL-20,WATER TANK 3 LAYER LIGHT 2000 LTR,WHITE,,,,,,,1,,1,12699,,,,,,WATER TANK,SANDEEP JI,W-BENGAL,WATER TANKSANDEEP JIW-BENGAL,SANDEEP JI
report,14,72600007,11-Apr-2026,SAINTHIA PAINTS HOUSE (WB),,,WT-3LL-10,WATER TANK 3 LAYER LIGHT 1000 LTR,WHITE,,,,,,,1,,3,18752,,,,,,WATER TANK,SANDEEP JI,W-BENGAL,WATER TANKSANDEEP JIW-BENGAL,SANDEEP JI
report,15,12600166,16-Apr-2026,PRAYAG POLYMERS LIMITED (DELHI),,,PFV-015,F/V STOPPER BUSH WASHER SET,,,,,,,,100,,100,1920,,,,,,C P,OTHER,OTHER,C POTHEROTHER,OTHER
report,16,12600166,16-Apr-2026,PRAYAG POLYMERS LIMITED (DELHI),,,PFV-016,GLEN WASHER,,,,,,,,50,,50,840,,,,,,C P,OTHER,OTHER,C POTHEROTHER,OTHER
report,17,12600166,16-Apr-2026,PRAYAG POLYMERS LIMITED (DELHI),,,PFV-017,O RING FOR CHAKRI,,,,,,,,50,,50,480,,,,,,C P,OTHER,OTHER,C POTHEROTHER,OTHER
report,18,12600166,16-Apr-2026,PRAYAG POLYMERS LIMITED (DELHI),,,PFV-021,WASHER FOR SPINDLE OF F/V,,,,,,,,100,,100,1440,,,,,,C P,OTHER,OTHER,C POTHEROTHER,OTHER
report,19,72600013,23-Apr-2026,UNIQUE PIPE & SANITATION (BANKUDA),,,WT-3LC-07,WATER TANK 3 LAYER COLOUR 750 LTR,PINK,,,,,,,1,,1,4238,,,,,,WATER TANK,SANDEEP JI,W-BENGAL,WATER TANKSANDEEP JIW-BENGAL,SANDEEP JI
report,20,72600015,23-Apr-2026,SUBHAM ENTERPRISE (W.B),,,GP-346-TB,GARDEN PIPE TRANSPARNT BLUE PLAIN 30 MTRS 20MM,,,,,,,,24,,24,12303,,,,,,GARDEN PIPE,SANDEEP JI,W-BENGAL,GARDEN PIPESANDEEP JIW-BENGAL,SANDEEP JI
report,21,72600015,23-Apr-2026,SUBHAM ENTERPRISE (W.B),,,GP-364-TO,GARDEN PIPE TRANSPARENT ORANGE PLAIN 30 MTRS 25MM,,,,,,,,42,,72,50340,,,,,,GARDEN PIPE,SANDEEP JI,W-BENGAL,GARDEN PIPESANDEEP JIW-BENGAL,SANDEEP JI
report,22,72600015,23-Apr-2026,SUBHAM ENTERPRISE (W.B),,,GP-367-TT,GARDEN PIPE TRANSPARENT PLAIN 30 MTRS 32MM,,,,,,,,50,,60,66083,,,,,,GARDEN PIPE,SANDEEP JI,W-BENGAL,GARDEN PIPESANDEEP JIW-BENGAL,SANDEEP JI
report,23,72600017,23-Apr-2026,LAXMI STORES (BURDWAN),,,GP-367-TG,GARDEN PIPE TRANSPARNT GREEN PLAIN 30 MTRS 32MM,,,,,,,,8,,8,9593,,,,,,GARDEN PIPE,SANDEEP JI,W-BENGAL,GARDEN PIPESANDEEP JIW-BENGAL,SANDEEP JI
report,24,72600017,23-Apr-2026,LAXMI STORES (BURDWAN),,,GP-367-TB,GARDEN PIPE TRANSPARENT BLUE PLAIN 30 MTRS 32MM,,,,,,,,8,,8,9593,,,,,,GARDEN PIPE,SANDEEP JI,W-BENGAL,GARDEN PIPESANDEEP JIW-BENGAL,SANDEEP JI
