id,month,as_of_at,status,factors_json,note,created_at,segment,effective_from,weekly_release_version
2,2026-07,2026-07-19T06:03:21.491Z,draft,"{""SWR Pipe"":1,""AGRI Pipe"":1.39,""CPVC Pipe"":1.28,""UPVC Pipe"":1.29,""SWR Fitting"":1,""SWR Solvent"":1,""AGRI Fitting"":1.27,""AGRI Solvent"":1.6,""CPVC Fitting"":1.23,""CPVC Solvent"":1.3,""UPVC Fitting"":1.23,""UPVC Solvent"":1.59}",debug-test,2026-07-19T06:03:21.491Z,Plumbing,,0
3,2026-07,2026-07-19T06:07:58.753Z,draft,"{""SWR Pipe"":1,""AGRI Pipe"":1.39,""CPVC Pipe"":1.28,""UPVC Pipe"":1.29,""SWR Fitting"":1,""SWR Solvent"":1,""AGRI Fitting"":1.27,""AGRI Solvent"":1.6,""CPVC Fitting"":1.23,""CPVC Solvent"":1.3,""UPVC Fitting"":1.23,""UPVC Solvent"":1.59}",type-fix-test,2026-07-19T06:07:58.753Z,Plumbing,,0
4,2026-07,2026-07-19T06:17:07.386Z,draft,"{""SWR Pipe"":1,""AGRI Pipe"":1.39,""CPVC Pipe"":1.28,""UPVC Pipe"":1.29,""SWR Fitting"":1,""SWR Solvent"":1,""AGRI Fitting"":1.27,""AGRI Solvent"":1.6,""CPVC Fitting"":1.23,""CPVC Solvent"":1.3,""UPVC Fitting"":1.23,""UPVC Solvent"":1.59}",final-verify,2026-07-19T06:17:07.386Z,Plumbing,,0
5,2026-07,2026-07-28T06:24:14.342Z,draft,"{""Cabinet"":1.2,""Ball Cock"":1.5,""Accessorise"":1.5,""Cocks Premium"":1.2,""Cocks Standard"":1.5,""Cistern & Seat Cover"":1.2,""Faucets & Jetsprays & Shower"":1.5}",,2026-07-28T06:24:14.342Z,PTMT,,0
6,2026-07,2026-07-28T06:32:58.197Z,draft,"{""Cabinet"":1.2,""Ball Cock"":1.5,""Accessorise"":1.5,""Cocks Premium"":1.2,""Cocks Standard"":1.5,""Cistern & Seat Cover"":1.2,""Faucets & Jetsprays & Shower"":1.5}",suite-NC9,2026-07-28T06:32:58.197Z,PTMT,,0
7,2026-07,2026-07-28T08:04:30.828Z,draft,"{""Cabinet"":1.2,""Ball Cock"":1.5,""Accessorise"":1.5,""Cocks Premium"":1.2,""Cocks Standard"":1.5,""Cistern & Seat Cover"":1.2,""Faucets & Jetsprays & Shower"":1.5}",suite-NC9,2026-07-28T08:04:30.828Z,PTMT,,0
8,2026-07,2026-07-28T08:13:21.250Z,draft,"{""Cabinet"":1.2,""Ball Cock"":1.5,""Accessorise"":1.5,""Cocks Premium"":1.2,""Cocks Standard"":1.5,""Cistern & Seat Cover"":1.2,""Faucets & Jetsprays & Shower"":1.5}",suite-NC9,2026-07-28T08:13:21.250Z,PTMT,,0
9,2026-07,2026-08-05T10:06:14.542Z,draft,"{""Cabinet"":1.2,""Ball Cock"":1.5,""Accessorise"":1.5,""Cocks Premium"":1.2,""Cocks Standard"":1.5,""Cistern & Seat Cover"":1.2,""Faucets & Jetsprays & Shower"":1.5}",suite-NC9,2026-08-05T10:06:14.542Z,PTMT,,0
10,2026-07,2026-08-05T10:07:43.459Z,draft,"{""Cabinet"":1.2,""Ball Cock"":1.5,""Accessorise"":1.5,""Cocks Premium"":1.2,""Cocks Standard"":1.5,""Cistern & Seat Cover"":1.2,""Faucets & Jetsprays & Shower"":1.5}",suite-NC9,2026-08-05T10:07:43.459Z,PTMT,,0
11,2026-07,2026-08-05T10:11:30.229Z,draft,"{""Cabinet"":1.2,""Ball Cock"":1.5,""Accessorise"":1.5,""Cocks Premium"":1.2,""Cocks Standard"":1.5,""Cistern & Seat Cover"":1.2,""Faucets & Jetsprays & Shower"":1.5}",suite-NC9,2026-08-05T10:11:30.229Z,PTMT,,0
