id,upload_id,item_type,item_code,material,requested_pcs,feasible_pcs,shortfall_pcs,requested_kg,feasible_kg,shortfall_kg,machines,note,machine_hrs
1,1,PIPE,A11A,AGRI,5,5,0,23,23,0,—,,0
2,1,PIPE,A11C,AGRI,20,0,20,183.7,0,183.7,M/C-3,"AGRI — only M/C-3 routed, capacity exhausted",0
3,1,PIPE,A12A,AGRI,127,107,20,760.5,640,120.5,M/C-3,"AGRI — only M/C-3 routed, capacity exhausted",0
4,1,PIPE,A26A,AGRI,2058,2058,0,3194.3,3194.3,0,M/C-5,,0
5,1,PIPE,A26C,AGRI,726,726,0,2254.3,2254.3,0,M/C-5,,0
6,1,PIPE,A27C,AGRI,1752,1752,0,7561.3,7561.3,0,"M/C-3, M/C-4, M/C-5",,0
7,1,PIPE,A28C,AGRI,414,414,0,2526.5,2526.5,0,M/C-4,,0
8,1,PIPE,A29C,AGRI,2071,2068,3,18025.4,18000,25.4,M/C-4,"AGRI — only M/C-4 routed, capacity exhausted",0
9,1,PIPE,A31C,AGRI,341,341,0,4815.4,4815.4,0,M/C-5,,0
10,1,PIPE,A34A,AGRI,39,39,0,556.3,556.3,0,M/C-3,,0
11,1,PIPE,A44C,AGRI,231,231,0,423.8,423.8,0,M/C-5,,0
12,1,PIPE,A45A,AGRI,4025,4025,0,5445.5,5445.5,0,M/C-5,,0
13,1,PIPE,A45C,AGRI,210,185,25,567.7,500.1,67.6,M/C-5,"AGRI — only M/C-5 routed, capacity exhausted",0
14,1,PIPE,A48C,AGRI,487,487,0,4214.8,4214.8,0,M/C-4,,0
15,1,PIPE,A49A,AGRI,118,97,22,734.4,600,134.4,M/C-4,"AGRI — only M/C-4 routed, capacity exhausted",0
16,1,PIPE,A49C,AGRI,1587,1587,0,19701,19701,0,M/C-4,,0
17,1,PIPE,A54C,AGRI,22,22,0,902.9,902.9,0,M/C-3,,0
18,1,PIPE,A81C,AGRI,284,0,284,209.5,0,209.5,M/C-3,"AGRI — only M/C-3 routed, capacity exhausted",0
19,1,PIPE,A82A,AGRI,2104,2104,0,1178.2,1178.2,0,—,,0
20,1,PIPE,A82C,AGRI,123,0,123,137.4,0,137.4,M/C-3,"AGRI — only M/C-3 routed, capacity exhausted",0
21,1,PIPE,A9A,AGRI,1189,1189,0,3450.6,3450.6,0,M/C-4,,0
22,1,PIPE,A9C,AGRI,677,677,0,3932,3932,0,M/C-4,,0
23,1,PIPE,PS12,CPVC,32495,20420,12075,18141.1,11400,6741.1,"M/C-1, M/C-2","CPVC — only M/C-1, M/C-2 routed, capacity exhausted",0
24,1,PIPE,PS13,CPVC,29898,20687,9210,26013.8,18000,8013.8,"M/C-1, M/C-2","CPVC — only M/C-1, M/C-2 routed, capacity exhausted",0
25,1,PIPE,PS14,CPVC,2780,0,2780,3576.7,0,3576.7,M/C-2,"CPVC — only M/C-2 routed, capacity exhausted",0
26,1,PIPE,PS15,CPVC,2340,0,2340,4183.1,0,4183.1,M/C-2,"CPVC — only M/C-2 routed, capacity exhausted",0
27,1,PIPE,PS16,CPVC,1674,0,1674,5024.4,0.1,5024.4,M/C-2,"CPVC — only M/C-2 routed, capacity exhausted",0
28,1,PIPE,PS18,CPVC,729,688,41,4659.7,4400,259.7,M/C-3,"CPVC — only M/C-3 routed, capacity exhausted",0
29,1,PIPE,PS19,CPVC,6,0,6,56.4,0,56.4,M/C-4,"CPVC — only M/C-4 routed, capacity exhausted",0
30,1,PIPE,PS1S,CPVC,37,0,37,28.1,0,28.1,M/C-1,"CPVC — only M/C-1 routed, capacity exhausted",0
31,1,PIPE,PS2,CPVC,47319,34479,12840,29986.6,21850,8136.6,"M/C-1, M/C-2","CPVC — only M/C-1, M/C-2 routed, capacity exhausted",0
32,1,PIPE,PS2S,CPVC,152,0,152,192.7,0,192.7,"M/C-1, M/C-2","CPVC — only M/C-1, M/C-2 routed, capacity exhausted",0
33,1,PIPE,PS3,CPVC,55321,47771,7550,57149.8,49350,7799.8,"M/C-1, M/C-2","CPVC — only M/C-1, M/C-2 routed, capacity exhausted",0
34,1,PIPE,PS4,CPVC,5379,0,5379,8208.7,0,8208.7,M/C-2,"CPVC — only M/C-2 routed, capacity exhausted",0
35,1,PIPE,PS4S,CPVC,5,0,5,15.5,0,15.5,M/C-2,"CPVC — only M/C-2 routed, capacity exhausted",0
36,1,PIPE,PS5,CPVC,1974,0,1974,4184,0,4184,M/C-2,"CPVC — only M/C-2 routed, capacity exhausted",0
37,1,PIPE,PS6,CPVC,650,0,650,2313.1,0.1,2313.1,M/C-2,"CPVC — only M/C-2 routed, capacity exhausted",0
38,1,PIPE,PW11,SWR,39106,39106,0,150810.1,150810.1,0,"M/C-3, M/C-4, M/C-9",,0
39,1,PIPE,PW11S,SWR,450,450,0,1736.6,1736.6,0,"M/C-3, M/C-4, M/C-9",,0
