id,segment,pool,machine_id,label,shifts_per_day,hours_per_shift,working_days,rates,locked_out
1,Plumbing,PIPE,MC1,M/C-1 (CPVC dedicated),2,10,25,"{""CPVC"":145.6}",false
2,Plumbing,PIPE,MC2,M/C-2 (CPVC dedicated),2,10,25,"{""CPVC"":145.6}",false
3,Plumbing,PIPE,MC3,M/C-3 (Flex),2,10,25,"{""SWR"":295,""AGRI"":300,""CPVC"":145.6,""UPVC"":250}",false
4,Plumbing,PIPE,MC4,M/C-4 (Flex),2,10,25,"{""SWR"":295,""AGRI"":300,""CPVC"":145.6,""UPVC"":250}",false
5,Plumbing,PIPE,MC5,M/C-5 (Flex UPVC/AGRI),2,10,25,"{""AGRI"":300,""UPVC"":250}",false
6,Plumbing,PIPE,MC6,M/C-6 (UPVC dedicated),2,10,25,"{""UPVC"":250}",false
7,Plumbing,PIPE,MC7,M/C-7 (Locked out),2,10,25,{},true
8,Plumbing,PIPE,MC8,M/C-8 (Locked out),2,10,25,{},true
9,Plumbing,PIPE,MC9,M/C-9 (SWR dedicated),2,10,25,"{""SWR"":295}",false
10,Plumbing,MOULDING,D01,MOULD-D01,2,10,25,"{""ALL"":22.8}",false
11,Plumbing,MOULDING,B02,MOULD-B02,2,10,25,"{""ALL"":14.5}",false
12,Plumbing,MOULDING,D02,MOULD-D02,2,10,25,"{""ALL"":14.4}",false
13,Plumbing,MOULDING,D06,MOULD-D06,2,10,25,"{""ALL"":14.2}",false
14,Plumbing,MOULDING,C01,MOULD-C01,2,10,25,"{""ALL"":14.1}",false
15,Plumbing,MOULDING,B01,MOULD-B01,2,10,25,"{""ALL"":13.5}",false
16,Plumbing,MOULDING,C07,MOULD-C07,2,10,25,"{""ALL"":13.5}",false
17,Plumbing,MOULDING,D07,MOULD-D07,2,10,25,"{""ALL"":12.6}",false
18,Plumbing,MOULDING,C05,MOULD-C05,2,10,25,"{""ALL"":12.6}",false
19,Plumbing,MOULDING,C06,MOULD-C06,2,10,25,"{""ALL"":11.2}",false
20,Plumbing,MOULDING,C02,MOULD-C02,2,10,25,"{""ALL"":11}",false
21,Plumbing,MOULDING,C04,MOULD-C04,2,10,25,"{""ALL"":10.2}",false
22,Plumbing,MOULDING,B03,MOULD-B03,2,10,25,"{""ALL"":8.1}",false
23,Plumbing,MOULDING,B06,MOULD-B06,2,10,25,"{""ALL"":7.7}",false
24,Plumbing,MOULDING,D03,MOULD-D03,2,10,25,"{""ALL"":7.7}",false
25,Plumbing,MOULDING,A02,MOULD-A02,2,10,25,"{""ALL"":7}",false
26,Plumbing,MOULDING,D05,MOULD-D05,2,10,25,"{""ALL"":6.9}",false
27,Plumbing,MOULDING,A03,MOULD-A03,2,10,25,"{""ALL"":6.4}",false
28,Plumbing,MOULDING,B04,MOULD-B04,2,10,25,"{""ALL"":6.4}",false
29,Plumbing,MOULDING,A05,MOULD-A05,2,10,25,"{""ALL"":4.9}",false
30,Plumbing,MOULDING,B05,MOULD-B05,2,10,25,"{""ALL"":4.8}",false
31,Plumbing,MOULDING,A06,MOULD-A06,2,10,25,"{""ALL"":3.9}",false
32,Plumbing,MOULDING,A01,MOULD-A01,2,10,25,"{""ALL"":1.8}",false
33,Plumbing,MOULDING,A04,MOULD-A04,2,10,25,"{""ALL"":1.7}",false
