id,name,status,message,rows,last_synced_at
sale2627,Sale 26-27,success,12 tab(s) found,"[{""tab"":""INDEX""},{""tab"":""Combined""},{""tab"":""Apr""},{""tab"":""Feb,Mar,Apr'26""},{""tab"":""May""},{""tab"":""Mar,Apr,May'26""},{""tab"":""Jun""},{""tab"":""Apr,May,Jun'26""},{""tab"":""July""},{""tab"":""May,Jun,July'26""},{""tab"":""Aug""},{""tab"":""Jun,July,Aug'26""}]",2026-08-26T04:48:50.665Z
nextWorkbook_PTMT-Machine,Next month workbook — PTMT-Machine (2026-09),error,"No PTMT-Machine workbook found for 2026-09 — searched Drive for title pattern ""N. PTMT Date Sheet & Monthly Report - <Mon> ' <YYYY>"". Refusing to fall back to another month's sheet.",[],2026-08-26T04:49:14.891Z
nextWorkbook_Plumbing,Next month workbook — Plumbing (2026-09),error,"No Plumbing workbook found for 2026-09 — searched Drive for title pattern ""Daily Production PLUMBING <MON> ' <YYYY>"". Refusing to fall back to another month's sheet.",[],2026-08-26T04:49:16.737Z
plumbingSheet3DateCheck_2026-08,Plumbing Sheet3 date-format check (2026-08),success,All production-row dates parsed OK,[],2026-08-26T04:49:18.941Z
liveProduction_2026-07,Daily Production (2026-07),success,"558 item(s) · 795,229 pcs this month","[{""codes"":558,""totalQty"":795229}]",2026-07-29T10:45:23.402Z
liveOrder_2026-07,Order Book (2026-07),success,"2315 item(s) · 5,292,878 open orders","[{""codes"":2315,""totalQty"":5292878}]",2026-07-29T10:45:27.894Z
saleSheet2627,SALE SHEET 26-27,success,8 tab(s) found,"[{""tab"":""WT-LTR""},{""tab"":""Apr""},{""tab"":""May""},{""tab"":""Jun""},{""tab"":""July""},{""tab"":""Aug""},{""tab"":""Sheet12""},{""tab"":""Sheet11""}]",2026-08-26T04:48:52.360Z
codeWiseSale2526,CODE WISE SALE 25-26,success,5 tab(s) found,"[{""tab"":""Sheet1""},{""tab"":""CODE""},{""tab"":""Sheet3""},{""tab"":""PLUMBING TOP ITEMS""},{""tab"":""SINK""}]",2026-08-26T04:48:58.056Z
rateList,rate list,success,11 tab(s) found,"[{""tab"":""Sheet1""},{""tab"":""Sheet9""},{""tab"":""Sheet8""},{""tab"":""Sheet2""},{""tab"":""Sheet5""},{""tab"":""Sheet3""},{""tab"":""Sheet4""},{""tab"":""Sheet6""},{""tab"":""Sheet12""},{""tab"":""PTMT""},{""tab"":""Sheet7""}]",2026-08-26T04:48:59.843Z
pendingOrder,Pending order,success,15 tab(s) found,"[{""tab"":""REPORT 2""},{""tab"":""INDEX""},{""tab"":""report""},{""tab"":""paste""},{""tab"":""Summary""},{""tab"":""REPORT 1""},{""tab"":""Report2""},{""tab"":"" report d""},{""tab"":""REPORT 3""},{""tab"":"" REPORT 2 A""},{""tab"":"" REPORT 3 A""},{""tab"":""Sheet7""},{""tab"":""REPORT 5""},{""tab"":""REPORT 5A""},{""tab"":""PARTY WISE SUMMARY""}]",2026-08-26T04:49:01.706Z
ptmtAnuj,PTMT ANUJ,success,23 tab(s) found,"[{""tab"":""Production""},{""tab"":""NEW BOM""},{""tab"":""MISSING CODE""},{""tab"":""Sheet70""},{""tab"":""SFG MATERIAL CON DB""},{""tab"":""SFG MATERIAL CONSUMPTION""},{""tab"":""Sheet19""},{""tab"":""BOP-RUBBER DB""},{""tab"":""BOP-RUBBER""},{""tab"":""BOP-PACKING""},{""tab"":""PT-FG""},{""tab"":""BOP-PACKING DB""},{""tab"":""PT-FG DB""},{""tab"":""BOP-OTHER""},{""tab"":""FG""},{""tab"":""Temp Data""},{""tab"":""Sheet76""},{""tab"":""BOP-OTHER DB""},{""tab"":""FG DB""},{""tab"":""Price-NEW""},{""tab"":""Sheet10""},{""tab"":""Sheet9""},{""tab"":""Price""}]",2026-08-26T04:48:46.137Z
liveProduction_2026-08,Daily Production (2026-08),success,"456 item(s) · 732,167 pcs this month","[{""codes"":456,""totalQty"":732167}]",2026-08-26T04:49:06.926Z
orderSheet,Order Sheet 26-27,success,12 tab(s) found,"[{""tab"":""INDEX""},{""tab"":""ANUJ SHARMA""},{""tab"":""Combined""},{""tab"":""LAST MONTH ORDER""},{""tab"":""Apr""},{""tab"":""May""},{""tab"":""Jun""},{""tab"":""July""},{""tab"":""Aug""},{""tab"":""Sheet24""},{""tab"":""WT""},{""tab"":""--report""}]",2026-08-26T04:48:49.561Z
liveOrder_2026-08,Order Book (2026-08),success,"2079 item(s) · 2,560,080.41 open orders","[{""codes"":2079,""totalQty"":2560080.4099999997}]",2026-08-26T04:49:11.112Z
nextWorkbook_PTMT,Next month workbook — PTMT (2026-09),error,"No PTMT workbook found for 2026-09 — searched Drive for title pattern ""N. PTMT PLAN & ACTUAL - <Mon>-<YY>"". Refusing to fall back to another month's sheet.",[],2026-08-26T04:49:12.954Z
