id,category_name,w1_upper,w2_upper,w3_upper,w4_upper,updated_at,segment
1,Cocks Standard,0.1,0.3,0.8,5.9,2026-07-11T09:43:21.499Z,PTMT
2,Cocks Premium,0.3,0.5,0.8,3,2026-07-11T09:43:21.504Z,PTMT
3,Faucets & Jetsprays & Shower,0.3,0.5,0.8,5,2026-07-11T09:43:21.507Z,PTMT
4,Accessorise,0.3,0.5,0.8,1.5,2026-07-11T09:43:21.510Z,PTMT
5,Cistern & Seat Cover,0.3,0.5,0.8,1.5,2026-07-11T09:43:21.513Z,PTMT
6,Cabinet,0.1,0.3,0.8,5.9,2026-07-11T09:43:21.515Z,PTMT
7,Ball Cock,0.1,0.3,0.8,5.9,2026-07-11T09:43:21.518Z,PTMT
414,CPVC Pipe,0.3,0.5,0.8,1.5,2026-07-16T09:04:44.783Z,Plumbing
415,UPVC Pipe,0.3,0.5,0.8,1.5,2026-07-16T09:04:44.783Z,Plumbing
416,SWR Pipe,0.3,0.5,0.8,1.5,2026-07-16T09:04:44.783Z,Plumbing
417,AGRI Pipe,0.3,0.5,0.8,1.5,2026-07-16T09:04:44.783Z,Plumbing
418,CPVC Fitting,0.3,0.5,0.8,1.5,2026-07-16T09:04:44.783Z,Plumbing
419,UPVC Fitting,0.3,0.5,0.8,1.5,2026-07-16T09:04:44.783Z,Plumbing
420,SWR Fitting,0.3,0.5,0.8,1.5,2026-07-16T09:04:44.783Z,Plumbing
421,AGRI Fitting,0.3,0.5,0.8,1.5,2026-07-16T09:04:44.783Z,Plumbing
695,SWR Solvent,0.3,0.5,0.8,1.5,2026-07-17T11:03:45.712Z,Plumbing
718,CPVC Solvent,0.3,0.5,0.8,1.5,2026-07-17T11:35:32.593Z,Plumbing
719,UPVC Solvent,0.3,0.5,0.8,1.5,2026-07-17T11:35:32.593Z,Plumbing
720,AGRI Solvent,0.3,0.5,0.8,1.5,2026-07-17T11:35:32.593Z,Plumbing
