Series,Rows,Category count,Planning categories,Unmapped ranges,Range distribution
"Accessories Gold Series","11","1","Unclassified","2 in 1 Faucet | Hand Shower | Liquid Soap Container | Over Head Shower","2 in 1 Faucet: 3; Hand Shower: 1; Liquid Soap Container: 1; Over Head Shower: 6"
"Accessories Peach Series","11","1","Unclassified","2 in 1 Faucet | Hand Shower | Liquid Soap Container | Over Head Shower","2 in 1 Faucet: 3; Hand Shower: 1; Liquid Soap Container: 1; Over Head Shower: 6"
"Accessories Royal Series","11","1","Unclassified","2 in 1 Faucet | Hand Shower | Liquid Soap Container | Over Head Shower","2 in 1 Faucet: 3; Hand Shower: 1; Liquid Soap Container: 1; Over Head Shower: 6"
"Accessories Wine Series","11","1","Unclassified","2 in 1 Faucet | Hand Shower | Liquid Soap Container | Over Head Shower","2 in 1 Faucet: 3; Hand Shower: 1; Liquid Soap Container: 1; Over Head Shower: 6"
"Black Pearl Series","15","3","Cocks Premium | Cocks Standard | Faucets & Jetsprays & Shower","","2 Way Angle Cock (145): 1; 2 Way Bib Cock (129): 1; Angle Cock (144): 1; Bib Cock Long Body (124): 1; Bib Cock Nozzle (127): 1; Bib Cock Standard (121): 1; Pillar Cock (130): 1; Pillar Cock Swan Neck (147): 2; SINK COCK (133): 1; Sink Cock (132): 3; Wall Mixer (1375): 1; Washing Machine Tap: 1"
"Cobra Series","25","3","Cocks Premium | Cocks Standard | Faucets & Jetsprays & Shower","","2 Way Angle Cock (145): 1; 2 Way Bib Cock (129): 1; Angle Cock (144): 1; Bib Cock Fancy (123): 3; Bib Cock Long Body (124): 2; Bib Cock Nozzle (127): 1; Bib Cock Standard (121): 1; Center Hole Basin: 1; Concealed Stop Cock: 1; Pillar Cock (130): 1; Pillar Cock (131): 2; Pillar Cock Swan Neck (147): 2; SINK COCK (133): 1; Sink Cock (132): 1; Sink Mixer (134): 1; Stop Cock: 2; Wall Mixer (135): 1; Wall Mixer (1375): 1; Washing Machine Tap: 1"
"Delta Gold Series","13","3","Cocks Premium | Cocks Standard | Faucets & Jetsprays & Shower","","2 Way Angle Cock (145): 1; 2 Way Bib Cock (129): 1; Angle Cock (144): 1; Bib Cock Fancy (123): 1; Center Hole Basin: 1; Pillar Cock (130): 1; Pillar Cock Swan Neck (147): 1; SINK COCK (133): 1; Sink Cock (132): 2; Sink Mixer (134): 1; Wall Mixer (135): 1; Wall Mixer (1375): 1"
"Delta Peach Series","13","3","Cocks Premium | Cocks Standard | Faucets & Jetsprays & Shower","","2 Way Angle Cock (145): 1; 2 Way Bib Cock (129): 1; Angle Cock (144): 1; Bib Cock Fancy (123): 1; Center Hole Basin: 1; Pillar Cock (130): 1; Pillar Cock Swan Neck (147): 1; SINK COCK (133): 1; Sink Cock (132): 2; Sink Mixer (134): 1; Wall Mixer (135): 1; Wall Mixer (1375): 1"
"Delta Royal Series","13","3","Cocks Premium | Cocks Standard | Faucets & Jetsprays & Shower","","2 Way Angle Cock (145): 1; 2 Way Bib Cock (129): 1; Angle Cock (144): 1; Bib Cock Fancy (123): 1; Center Hole Basin: 1; Pillar Cock (130): 1; Pillar Cock Swan Neck (147): 1; SINK COCK (133): 1; Sink Cock (132): 2; Sink Mixer (134): 1; Wall Mixer (135): 1; Wall Mixer (1375): 1"
"Delta Series","13","3","Cocks Premium | Cocks Standard | Faucets & Jetsprays & Shower","","2 Way Angle Cock (145): 1; 2 Way Bib Cock (129): 1; Angle Cock (144): 1; Bib Cock Fancy (123): 1; Center Hole Basin: 1; Pillar Cock (130): 1; Pillar Cock Swan Neck (147): 1; SINK COCK (133): 1; Sink Cock (132): 2; Sink Mixer (134): 1; Wall Mixer (135): 1; Wall Mixer (1375): 1"
