month,category,multiplier,suggested_multiplier,override_multiplier,cv_value,z_score,source_observations,data_quality,last_computed_at,updated_at
2026-04,Accessorise,1.22,1.22,,0.13,1.65,3,ok,2026-09-05 06:01:57.578+00,2026-09-05 06:02:37.776933+00
2026-04,Ball Cock,1.46,1.46,,0.28,1.65,3,ok,2026-09-05 06:01:57.578+00,2026-09-05 06:02:37.776933+00
2026-04,Cabinet,1.52,1.52,,0.31,1.65,3,ok,2026-09-05 06:01:57.578+00,2026-09-05 06:02:37.776933+00
2026-04,Cistern & Seat Cover,1.44,1.44,,0.27,1.65,3,ok,2026-09-05 06:01:57.578+00,2026-09-05 06:02:37.776933+00
2026-04,Cocks Premium,1.18,1.18,,0.11,1.65,3,ok,2026-09-05 06:01:57.578+00,2026-09-05 06:02:37.776933+00
2026-04,Cocks Standard,1.15,1.15,,0.09,1.65,3,ok,2026-09-05 06:01:57.578+00,2026-09-05 06:02:37.776933+00
2026-04,Faucets & Jetsprays & Shower,1.15,1.15,,0.09,1.65,3,ok,2026-09-05 06:01:57.578+00,2026-09-05 06:02:37.776933+00
2026-04,P.V.C. Connections,,,,,1.65,0,insufficient,2026-09-05 06:01:57.578+00,2026-09-05 06:02:37.776933+00
2026-04,Waste Pipes,,,,,1.65,0,insufficient,2026-09-05 06:01:57.578+00,2026-09-05 06:02:37.776933+00
2026-05,Accessorise,1.02,1.02,,0.01,1.65,3,ok,2026-09-05 06:01:57.578+00,2026-09-05 06:02:37.776933+00
2026-05,Ball Cock,1.23,1.23,,0.14,1.65,3,ok,2026-09-05 06:01:57.578+00,2026-09-05 06:02:37.776933+00
2026-05,Cabinet,1.36,1.36,,0.22,1.65,3,ok,2026-09-05 06:01:57.578+00,2026-09-05 06:02:37.776933+00
2026-05,Cistern & Seat Cover,1.19,1.19,,0.11,1.65,3,ok,2026-09-05 06:01:57.578+00,2026-09-05 06:02:37.776933+00
2026-05,Cocks Premium,1.37,1.37,,0.23,1.65,3,ok,2026-09-05 06:01:57.578+00,2026-09-05 06:02:37.776933+00
2026-05,Cocks Standard,1.32,1.32,,0.19,1.65,3,ok,2026-09-05 06:01:57.578+00,2026-09-05 06:02:37.776933+00
2026-05,Faucets & Jetsprays & Shower,1.28,1.28,,0.17,1.65,3,ok,2026-09-05 06:01:57.578+00,2026-09-05 06:02:37.776933+00
2026-05,P.V.C. Connections,,,,,1.65,0,insufficient,2026-09-05 06:01:57.578+00,2026-09-05 06:02:37.776933+00
