category,prayag_rows,app_rows,prayag_avg3,app_avg3,diff_avg3,prayag_stock,app_stock,diff_stock,prayag_pending_last_month,app_pending_last_month,diff_pending_last_month,prayag_pending_current,app_pending_current,diff_pending_current,prayag_plan,app_plan,diff_plan
Cocks Standard,592,1840,389679.66666666657,336348.9999999998,-53330.666666666744,190351,188829,-1522,79670,72242,-7428,1875,2088,213,475713.5,466624.55000000034,-9088.949999999662
Cocks Premium,602,656,20850.333333333314,9236.289999999999,-11614.043333333315,29756,20235,-9521,5356,2537,-2819,1822,1657,-165,2442.400000000007,10939.4,8496.999999999993
Faucets & Jetsprays & Shower,88,175,49791.333333333336,45769.32999999999,-4022.0033333333486,18720,23084,4364,23967,13891,-10076,140,100,-40,80074,69966.59,-10107.410000000003
Accessorise,126,284,29565.333333333332,28858.65,-706.6833333333307,59513,61018,1505,5479,6680,1201,767,523,-244,-8919,37942.22,46861.22
Cistern & Seat Cover,34,226,24872.666666666668,31997.66000000001,7124.993333333343,8967,11754,2787,270,16202,15932,29847.2,295,-29552.2,36571.19999999999,50740.80000000001,14169.60000000002
Cabinet,19,54,2830,1689.67,-1140.33,2264.600000000001,1252,-1012.6000000000008,526,323,-203,24,41,17,0,1965.6000000000001,1965.6000000000001
Ball Cock,41,78,38449.33333333334,40661.970000000016,2212.6366666666727,26949,28166,1217,206,21014,20808,57596,206,-57390,51694,79126.01000000001,27432.01000000001
P.V.C. Connections,13,33,104254.33333333333,123799.34,19545.006666666668,82979,83489,510,773,1225,452,0,231,231,74175.5,39635,-34540.5
Waste Pipes,30,15,66114.33333333333,15441,-50673.33333333333,63380,16411,-46969,6459,3646,-2813,820,925,105,43070.5,5998,-37072.5
Special Cock,0,60,0,73678.33,,0,8411,,0,29004,,0,0,,0,29004,
Unclassified,0,121,0,10375,,0,3141,,0,11970,,0,174,,0,12144,
Showers Sets,0,33,0,19345.989999999998,,0,3642,,0,11451,,0,90,,0,11541,
Collapsible Waste Pipes,0,9,0,30037.660000000003,,0,27830,,0,182,,0,0,,0,182,
