code,source_categories,classification
123-FH,Cocks Premium | Cocks Standard,AMBIGUOUS_IN_SOURCE
123-HN,Cocks Premium | Cocks Standard,AMBIGUOUS_IN_SOURCE
124-FH,Cocks Premium | Cocks Standard,AMBIGUOUS_IN_SOURCE
126-SQ,Accessorise | Faucets & Jetsprays & Shower,AMBIGUOUS_IN_SOURCE
130-RN,Cocks Premium | Cocks Standard,AMBIGUOUS_IN_SOURCE
1322-HN,Cocks Premium | Cocks Standard,AMBIGUOUS_IN_SOURCE
1375-SP,Cocks Premium | Cocks Standard,AMBIGUOUS_IN_SOURCE
146-B,Accessorise | Cocks Standard,AMBIGUOUS_IN_SOURCE
146-BO,Accessorise | Cocks Standard,AMBIGUOUS_IN_SOURCE
146-HB,Accessorise | Cocks Premium | Cocks Standard,AMBIGUOUS_IN_SOURCE
147-HQ,Cocks Premium | Cocks Standard,AMBIGUOUS_IN_SOURCE
147-RQ,Cocks Premium | Cocks Standard,AMBIGUOUS_IN_SOURCE
148-B,Accessorise | Cocks Standard,AMBIGUOUS_IN_SOURCE
148-BO,Accessorise | Cocks Standard,AMBIGUOUS_IN_SOURCE
148-HB,Accessorise | Cocks Premium | Cocks Standard,AMBIGUOUS_IN_SOURCE
186,Accessorise | Cocks Standard,AMBIGUOUS_IN_SOURCE
1861,Accessorise | Cocks Standard,AMBIGUOUS_IN_SOURCE
202,Accessorise | Cabinet,AMBIGUOUS_IN_SOURCE
