direction,code,manual_category,app_categories,manual_plan,app_plan,difference_app_minus_prayag,manual_avg3,app_avg3,manual_stock,app_stock,manual_pending_last_month,app_pending_last_month,manual_pending_current,app_pending_current,classification,code_level_clamp,colour_level_clamp,colour_clamp_benefit,negative_colour_residual,inputs_identical,clamp_review_basis
SHARED,144,Cocks Standrad,Cocks Standard,77837.5,78181.5,344,53432.333333333336,53432.33,4303,4303,1992,1992,0,0,DIFFERENCE,77837.5,78181.5,344,344,true,INPUT_IDENTICAL_POSITIVE
SHARED,121,Cocks Standrad,Cocks Standard,52861.5,53025.5,164,53253,53253,27148,27148,130,130,0,0,DIFFERENCE,52861.5,53025.5,164,164,true,INPUT_IDENTICAL_POSITIVE
SHARED,120-WS,Cocks Standrad,Special Cock,82403,25232,-57171,49583.333333333336,49583.33,0,0,8028,25232,0,0,DIFFERENCE_AND_CATEGORY_MISMATCH,99607,99607,0,0,false,
SHARED,121-O,Cocks Standrad,Cocks Standard,17639,18253,614,17036,17036,9644,9644,1727,1727,2,2,DIFFERENCE,17639,18253,614,614,true,INPUT_IDENTICAL_POSITIVE
SHARED,123,Cocks Standrad,Cocks Standard,11095.5,15200.51,4105.01,16568.333333333332,16568.34,13757,13757,0,0,0,0,DIFFERENCE,11095.52,15200.51,4104.99,4104.99,true,INPUT_IDENTICAL_POSITIVE
SHARED,124,Cocks Standrad,Cocks Standard,8493,9037,544,14775.333333333334,14775.33,13670,13670,0,0,0,0,DIFFERENCE,8493,9037,544,544,true,INPUT_IDENTICAL_POSITIVE
SHARED,129,Cocks Standrad,Cocks Standard,31148,31173.01,25.0099999999984,13528.666666666666,13528.67,37,37,10892,10892,0,0,DIFFERENCE,31148.01,31173.01,25,25,true,INPUT_IDENTICAL_POSITIVE
SHARED,144-O,Cocks Standrad,Cocks Standard,4850,4849.99,-0.010000000000218279,6995.333333333333,6995.33,5643,5643,0,0,0,0,DIFFERENCE,4849.99,4849.99,0,0,true,
SHARED,130,Cocks Standrad,Cocks Standard,13202,13781.01,579.0100000000002,6398.666666666667,6398.67,678,678,4282,4282,0,0,DIFFERENCE,13202.01,13781.01,579,579,true,INPUT_IDENTICAL_POSITIVE
SHARED,1391,Cocks Standrad,Cocks Standard,11477.5,11477.51,0.010000000000218279,6725,6725,1018,1018,2408,2408,0,0,DIFFERENCE,11477.51,11477.51,0,0,true,
SHARED,124-O,Cocks Standrad,Cocks Standard,2645.5,2645.5,0,5120.333333333333,5120.33,5035,5035,0,0,0,0,EXACT,2645.5,2645.5,0,0,true,
SHARED,147,Cocks Standrad,Cocks Standard,13487.5,13487.51,0.010000000000218279,6013.666666666667,6013.67,0,0,4467,4467,0,0,DIFFERENCE,13487.51,13487.51,0,0,true,
SHARED,143,Cocks Standrad,Cocks Standard,10915,11704,789,6232,6231.99,850,850,2417,2417,0,0,DIFFERENCE,10915,11704,789,789,true,INPUT_IDENTICAL_POSITIVE
SHARED,127,Cocks Standrad,Cocks Standard,7819,7819.01,0.010000000000218279,3912,3912,0,0,1951,1951,0,0,DIFFERENCE,7819.01,7819.01,0,0,true,
SHARED,145,Cocks Standrad,Cocks Standard,7183,7240.01,57.01000000000022,3940,3940,57,57,1330,1330,0,0,DIFFERENCE,7183.01,7240.01,57,57,true,INPUT_IDENTICAL_POSITIVE
SHARED,144-H,Cocks Standrad,Cocks Standard,732.5,2583.5,1851,3450.3333333333335,3450.33,4443,4443,0,0,0,0,DIFFERENCE,732.5,2583.5,1851,1851,true,INPUT_IDENTICAL_POSITIVE
SHARED,144-C,Cocks Standrad,Cocks Standard,6334.5,6409.5,75,4260.333333333333,4260.33,120,120,64,64,0,0,DIFFERENCE,6334.5,6409.5,75,75,true,INPUT_IDENTICAL_POSITIVE
SHARED,132-T,Cocks Standrad,Cocks Standard,8035.5,8035.51,0.010000000000218279,3871.6666666666665,3871.67,0,0,2228,2228,0,0,DIFFERENCE,8035.51,8035.51,0,0,true,
SHARED,132,Cocks Standrad,Cocks Standard,5131.5,5779.51,648.0100000000002,2923.6666666666665,2923.67,648,648,1394,1394,0,0,DIFFERENCE,5131.51,5779.51,648,648,true,INPUT_IDENTICAL_POSITIVE
