code,prayag_september_dummy,july_pending,august_pending,match_july,match_august
101,0.0,0,0,True,True
102,0.0,0,0,True,True
103,0.0,1163.0,0,False,True
104,0.0,0,0,True,True
105,317.0,317.0,428.0,True,False
106,0.0,0,0,True,True
107,137.0,137.0,49.0,True,False
110,0.0,0,0,True,True
111,0.0,0,0,True,True
1111,0.0,0,0,True,True
112,355.0,355.0,0,True,False
113,0.0,0,0,True,True
114,0.0,0,0,True,True
115,0.0,0,0,True,True
1151,0.0,0,0,True,True
116,0.0,0,77.0,True,False
117,0.0,0,0,True,True
118,0.0,0,0,True,True
119,0.0,0,0,True,True
119-W,0.0,0,0,True,True
1191,0.0,0,0,True,True
120,239.0,239.0,507.0,True,False
120-C,0.0,0,1252.0,True,False
120-M,36.0,36.0,0,True,False
120-R,0.0,0,0,True,True
120-S,0.0,0,1291.0,True,False
120-W,0.0,0,0,True,True
120-WS,3072.0,3072.0,25232.0,True,False
121,13004.0,13004.0,130.0,True,False
121-A,0.0,0,96.0,True,False
121-AB,0.0,0,0,True,True
121-AP,0.0,0,0,True,True
121-AS,0.0,0,957.0,True,False
121-ASF,0.0,0,0,True,True
121-B,0.0,0,0,True,True
121-BF,0.0,0,46.0,True,False
121-C,0.0,0,0,True,True
121-E,0.0,0,0,True,True
121-EB,0.0,0,266.0,True,False
121-F,0.0,0,0,True,True
121-H,0.0,0,0,True,True
121-HG,0.0,0,0,True,True
121-HP,0.0,0,0,True,True
121-HR,0.0,0,0,True,True
121-HW,0.0,0,2.0,True,False
121-I,0.0,0,0,True,True
121-IG,0.0,0,0,True,True
121-IP,0.0,0,0,True,True
121-IR,0.0,0,0,True,True
121-IW,0.0,0,0,True,True
121-K,0.0,0,0,True,True
121-L,0.0,0,0,True,True
121-LR,0.0,0,0,True,True
121-LSFB,108.0,108.0,0,True,False
121-LW,0.0,0,0,True,True
121-O,290.0,290.0,1727.0,True,False
121-P,0.0,0,110.0,True,False
121-PF,0.0,0,0,True,True
121-R,0.0,0,350.0,True,False
121-RG,0.0,0,0,True,True
121-RP,0.0,0,0,True,True
121-RW,0.0,0,0,True,True
121-S,0.0,0,0,True,True
121-SG,0.0,0,0,True,True
121-SP,0.0,0,460.0,True,False
121-SR,0.0,0,0,True,True
121-SW,0.0,0,0,True,True
121-V,0.0,0,0,True,True
121-VG,0.0,0,0,True,True
121-VP,0.0,0,252.0,True,False
121-VW,0.0,0,0,True,True
122-O,0.0,0,0,True,True
123,0.0,0,0,True,True
123-A,0.0,0,0,True,True
123-AB,0.0,0,0,True,True
123-ABF,0.0,0,0,True,True
123-AF,0.0,0,0,True,True
123-C,0.0,0,0,True,True
123-CF,254.0,254.0,0,True,False
123-CN,0.0,0,0,True,True
123-D,0.0,0,0,True,True
123-DB,0.0,0,256.0,True,False
123-DG,0.0,0,0,True,True
123-DP,0.0,0,0,True,True
123-DR,88.0,88.0,0,True,False
123-DW,0.0,0,0,True,True
123-E,0.0,0,0,True,True
123-EF,0.0,0,0,True,True
123-EN,0.0,0,0,True,True
123-F,89.0,89.0,29.0,True,False
123-FH,0.0,0,0,True,True
123-FHG,0.0,0,0,True,True
123-FHP,0.0,0,0,True,True
123-FHR,0.0,0,0,True,True
123-FHW,0.0,0,0,True,True
123-FP,0.0,0,0,True,True
123-H,0.0,0,0,True,True
123-HG,0.0,0,0,True,True
123-HP,0.0,0,0,True,True
123-HR,0.0,0,0,True,True
123-HW,0.0,0,0,True,True
123-I,0.0,0,0,True,True
123-IG,0.0,0,11.0,True,False
123-IR,0.0,0,0,True,True
123-K,0.0,0,166.0,True,False
123-KF,0.0,0,0,True,True
123-L,0.0,0,0,True,True
123-LR,0.0,0,0,True,True
123-LS,0.0,0,0,True,True
123-LSB,0.0,0,0,True,True
123-LSFB,7.0,7.0,0,True,False
123-LW,0.0,0,0,True,True
123-N,54.0,54.0,0,True,False
123-NN,0.0,0,0,True,True
123-NNB,0.0,0,157.0,True,False
123-NNG,0.0,0,0,True,True
123-NNP,0.0,0,0,True,True
123-NNR,0.0,0,0,True,True
123-NNW,0.0,0,0,True,True
123-O,0.0,0,0,True,True
123-ON,0.0,0,0,True,True
123-P,0.0,0,176.0,True,False
123-PN,0.0,0,0,True,True
123-Q,0.0,0,0,True,True
123-QG,0.0,0,0,True,True
123-QP,0.0,0,0,True,True
123-QR,385.0,385.0,0,True,False
123-QW,0.0,0,0,True,True
123-R,0.0,0,0,True,True
123-RG,0.0,0,0,True,True
123-RP,0.0,0,0,True,True
123-RR,0.0,0,28.0,True,False
123-RW,0.0,0,0,True,True
123-S,0.0,0,4.0,True,False
123-U,0.0,0,91.0,True,False
123-UG,0.0,0,0,True,True
123-UP,0.0,0,0,True,True
123-UR,0.0,0,0,True,True
123-UW,0.0,0,0,True,True
123-WS,508.0,508.0,0,True,False
1231,0.0,0,0,True,True
1231-F,0.0,0,0,True,True
1231-N,0.0,0,0,True,True
124,2511.0,2511.0,0,True,False
124-A,0.0,0,0,True,True
124-AB,0.0,0,0,True,True
124-ABF,0.0,0,0,True,True
124-AF,0.0,0,0,True,True
124-AP,0.0,0,0,True,True
124-AS,0.0,0,0,True,True
124-B,0.0,0,0,True,True
124-BF,0.0,0,0,True,True
124-C,0.0,0,0,True,True
124-CF,461.0,461.0,0,True,False
124-D,0.0,0,0,True,True
124-DB,0.0,0,157.0,True,False
124-DG,0.0,0,0,True,True
124-DR,0.0,0,0,True,True
124-E,0.0,0,0,True,True
124-EB,0.0,0,393.0,True,False
124-EF,0.0,0,0,True,True
124-F,0.0,0,47.0,True,False
124-FH,0.0,0,0,True,True
124-FHG,0.0,0,0,True,True
124-FHP,0.0,0,0,True,True
124-FHR,0.0,0,0,True,True
124-FHW,0.0,0,0,True,True
124-FP,0.0,0,0,True,True
124-H,0.0,0,0,True,True
124-HG,0.0,0,0,True,True
124-HP,0.0,0,0,True,True
124-HR,0.0,0,0,True,True
124-HW,0.0,0,0,True,True
124-I,0.0,0,0,True,True
124-K,0.0,0,1253.0,True,False
124-KF,0.0,0,0,True,True
124-L,0.0,0,0,True,True
124-LR,0.0,0,0,True,True
124-LS,0.0,0,0,True,True
124-LSB,0.0,0,0,True,True
124-LSFB,0.0,0,0,True,True
124-N,0.0,0,0,True,True
124-NB,0.0,0,97.0,True,False
124-NG,0.0,0,0,True,True
124-NP,97.0,97.0,0,True,False
124-NR,0.0,0,0,True,True
124-NW,0.0,0,0,True,True
124-O,0.0,0,0,True,True
124-P,155.0,155.0,67.0,True,False
124-R,0.0,0,160.0,True,False
124-RG,0.0,0,0,True,True
124-RW,0.0,0,0,True,True
124-S,0.0,0,0,True,True
124-SG,0.0,0,71.0,True,False
124-SP,0.0,0,161.0,True,False
124-SR,215.0,215.0,340.0,True,False
124-SW,0.0,0,0,True,True
124-U,0.0,0,226.0,True,False
124-UG,0.0,0,0,True,True
124-UP,0.0,0,0,True,True
124-UR,0.0,0,0,True,True
124-UW,0.0,0,0,True,True
124-V,0.0,0,0,True,True
124-VG,0.0,0,0,True,True
124-VP,0.0,0,0,True,True
124-VR,0.0,0,0,True,True
124-VW,0.0,0,0,True,True
124-W,0.0,0,672.0,True,False
124-WS,0.0,0,46.0,True,False
1241,0.0,0,92.0,True,False
1241-F,0.0,0,0,True,True
125-O,1821.0,1821.0,1283.0,True,False
125-S,0.0,0,0,True,True
125-WS,0.0,0,0,True,True
127,1076.0,1076.0,1951.0,True,False
127-A,0.0,0,0,True,True
127-AP,0.0,0,0,True,True
127-AS,0.0,0,0,True,True
127-B,0.0,0,0,True,True
127-C,573.0,573.0,569.0,True,False
127-DB,22.0,22.0,209.0,True,False
127-DP,0.0,0,0,True,True
127-DR,0.0,0,0,True,True
127-E,0.0,0,0,True,True
127-EB,0.0,0,230.0,True,False
127-H,0.0,0,0,True,True
127-HG,0.0,0,61.0,True,False
127-HP,0.0,0,0,True,True
127-HR,0.0,0,0,True,True
127-HW,0.0,0,50.0,True,False
127-K,0.0,0,872.0,True,False
127-LS,0.0,0,0,True,True
127-LSB,0.0,0,0,True,True
127-O,41.0,41.0,171.0,True,False
127-P,35.0,35.0,388.0,True,False
127-S,0.0,0,0,True,True
127-SG,0.0,0,0,True,True
127-SP,0.0,0,0,True,True
127-SR,0.0,0,0,True,True
127-SW,0.0,0,0,True,True
127-V,0.0,0,0,True,True
127-VR,0.0,0,0,True,True
128,83.0,83.0,1651.0,True,False
129,1753.0,1753.0,10892.0,True,False
129-A,0.0,0,63.0,True,False
129-AP,0.0,0,0,True,True
129-AS,180.0,180.0,467.0,True,False
129-B,0.0,0,0,True,True
129-C,206.0,206.0,877.0,True,False
129-D,0.0,0,18.0,True,False
129-DB,0.0,0,61.0,True,False
129-DG,0.0,0,0,True,True
129-DP,0.0,0,0,True,True
129-DR,1.0,1.0,55.0,True,False
129-E,0.0,0,0,True,True
129-EB,0.0,0,112.0,True,False
129-H,0.0,0,0,True,True
129-HG,0.0,0,0,True,True
129-HP,0.0,0,0,True,True
129-HR,0.0,0,0,True,True
129-HW,0.0,0,0,True,True
129-I,0.0,0,0,True,True
129-IG,0.0,0,0,True,True
129-IR,0.0,0,0,True,True
129-K,11.0,11.0,52.0,True,False
129-LS,0.0,0,0,True,True
129-LSB,0.0,0,0,True,True
129-N,0.0,0,43.0,True,False
129-NR,0.0,0,0,True,True
129-NW,0.0,0,0,True,True
129-O,0.0,0,0,True,True
129-P,0.0,0,139.0,True,False
129-Q,0.0,0,0,True,True
129-QG,0.0,0,0,True,True
129-QP,0.0,0,0,True,True
129-QR,71.0,71.0,0,True,False
129-QW,0.0,0,0,True,True
129-RP,0.0,0,0,True,True
129-RW,0.0,0,0,True,True
129-S,2.0,2.0,213.0,True,False
129-SG,3.0,3.0,0,True,False
129-SP,0.0,0,0,True,True
129-SR,0.0,0,159.0,True,False
129-SW,0.0,0,0,True,True
129-UG,0.0,0,0,True,True
129-UP,0.0,0,0,True,True
129-UR,0.0,0,0,True,True
129-UW,0.0,0,0,True,True
129-V,0.0,0,0,True,True
129-VG,0.0,0,0,True,True
129-VW,0.0,0,0,True,True
1291,0.0,0,0,True,True
130,1254.0,1254.0,4282.0,True,False
130-AP,0.0,0,0,True,True
130-AS,8.0,8.0,173.0,True,False
130-B,0.0,0,51.0,True,False
130-C,0.0,0,0,True,True
130-D,37.0,37.0,39.0,True,False
130-DB,0.0,0,0,True,True
130-DP,0.0,0,0,True,True
130-DR,19.0,19.0,89.0,True,False
130-E,0.0,0,237.0,True,False
130-EB,0.0,0,369.0,True,False
130-H,0.0,0,0,True,True
130-HG,0.0,0,0,True,True
130-HP,0.0,0,0,True,True
130-HR,0.0,0,0,True,True
130-HW,0.0,0,0,True,True
130-I,0.0,0,0,True,True
130-IG,0.0,0,0,True,True
130-IP,0.0,0,0,True,True
130-IR,0.0,0,0,True,True
130-K,0.0,0,0,True,True
130-LR,0.0,0,0,True,True
130-LS,0.0,0,0,True,True
130-LSB,0.0,0,30.0,True,False
130-LW,0.0,0,0,True,True
130-N,0.0,0,118.0,True,False
130-NB,0.0,0,29.0,True,False
130-NG,0.0,0,0,True,True
130-NP,0.0,0,0,True,True
130-NR,0.0,0,0,True,True
130-O,0.0,0,418.0,True,False
130-P,0.0,0,18.0,True,False
130-Q,96.0,96.0,119.0,True,False
130-QP,0.0,0,0,True,True
130-QR,253.0,253.0,25.0,True,False
130-QW,0.0,0,0,True,True
130-R,0.0,0,0,True,True
130-RG,46.0,46.0,0,True,False
130-RN,0.0,0,0,True,True
130-RNG,0.0,0,0,True,True
130-RNP,0.0,0,0,True,True
130-RNR,0.0,0,0,True,True
130-RP,0.0,0,0,True,True
130-RW,0.0,0,0,True,True
130-S,0.0,0,0,True,True
130-SG,0.0,0,0,True,True
130-SP,0.0,0,117.0,True,False
130-SR,4.0,4.0,310.0,True,False
130-SW,0.0,0,0,True,True
130-U,0.0,0,174.0,True,False
130-UG,0.0,0,0,True,True
130-UP,0.0,0,0,True,True
130-UR,0.0,0,0,True,True
130-UW,0.0,0,0,True,True
130-V,0.0,0,0,True,True
130-VG,0.0,0,0,True,True
130-VR,0.0,0,0,True,True
130-VW,0.0,0,0,True,True
131,1155.0,1155.0,462.0,True,False
131-A,0.0,0,0,True,True
131-C,0.0,0,263.0,True,False
131-D,0.0,0,0,True,True
131-DB,0.0,0,0,True,True
131-DP,0.0,0,0,True,True
131-H,0.0,0,0,True,True
131-HG,0.0,0,0,True,True
131-HP,0.0,0,0,True,True
131-HR,0.0,0,0,True,True
131-HW,0.0,0,0,True,True
131-I,0.0,0,0,True,True
131-IP,0.0,0,0,True,True
131-IR,0.0,0,0,True,True
131-K,0.0,0,0,True,True
131-L,0.0,0,0,True,True
131-LR,0.0,0,0,True,True
131-LSB,0.0,0,0,True,True
131-N,99.0,99.0,67.0,True,False
131-NP,0.0,0,0,True,True
131-O,0.0,0,0,True,True
131-P,0.0,0,118.0,True,False
1311,0.0,0,72.0,True,False
1311-C,0.0,0,562.0,True,False
1311-H,57.0,57.0,0,True,False
1311-HG,0.0,0,0,True,True
1311-HP,0.0,0,0,True,True
1311-HR,0.0,0,5.0,True,False
1311-HW,0.0,0,0,True,True
1311-K,56.0,56.0,26.0,True,False
1311-N,0.0,0,0,True,True
132,342.0,342.0,1394.0,True,False
132-A,0.0,0,0,True,True
132-AP,0.0,0,0,True,True
132-AS,93.0,93.0,0,True,False
132-B,0.0,0,22.0,True,False
132-C,451.0,451.0,427.0,True,False
132-D,0.0,0,0,True,True
132-DB,9.0,9.0,0,True,False
132-DG,0.0,0,0,True,True
132-DP,6.0,6.0,0,True,False
132-DR,0.0,0,37.0,True,False
132-E,0.0,0,0,True,True
132-EB,0.0,0,106.0,True,False
132-H,1235.0,1235.0,535.0,True,False
132-HG,0.0,0,0,True,True
132-HP,0.0,0,0,True,True
132-HR,0.0,0,0,True,True
132-HW,0.0,0,0,True,True
132-I,0.0,0,0,True,True
132-IG,0.0,0,0,True,True
132-IR,0.0,0,0,True,True
132-K,253.0,253.0,382.0,True,False
132-L,0.0,0,0,True,True
132-LR,0.0,0,0,True,True
132-LSB,0.0,0,18.0,True,False
132-LSTB,0.0,0,0,True,True
132-LW,0.0,0,0,True,True
132-N,0.0,0,50.0,True,False
132-NB,0.0,0,5.0,True,False
132-NP,0.0,0,0,True,True
132-NR,0.0,0,0,True,True
132-NW,0.0,0,0,True,True
132-O,10.0,10.0,120.0,True,False
132-OT,0.0,0,29.0,True,False
132-P,7.0,7.0,13.0,True,False
132-Q,0.0,0,0,True,True
132-QG,0.0,0,0,True,True
132-QP,0.0,0,0,True,True
132-QR,169.0,169.0,38.0,True,False
132-R,0.0,0,20.0,True,False
132-RG,0.0,0,0,True,True
132-RP,0.0,0,0,True,True
132-RR,0.0,0,0,True,True
132-RW,0.0,0,31.0,True,False
132-S,0.0,0,155.0,True,False
132-SG,15.0,15.0,5.0,True,False
132-SP,0.0,0,0,True,True
132-SR,50.0,50.0,0,True,False
132-SW,0.0,0,0,True,True
132-T,663.0,663.0,2228.0,True,False
132-U,0.0,0,52.0,True,False
132-UG,0.0,0,0,True,True
132-UR,0.0,0,0,True,True
132-UW,0.0,0,0,True,True
132-V,0.0,0,0,True,True
132-VG,0.0,0,0,True,True
132-VP,0.0,0,0,True,True
132-VR,0.0,0,0,True,True
132-VW,0.0,0,0,True,True
1321,0.0,0,101.0,True,False
1322-AP,0.0,0,0,True,True
1322-AS,0.0,0,333.0,True,False
1322-B,0.0,0,0,True,True
