category,manual_item_rows,app_rows,manual_avg3,app_avg3,manual_stock,app_stock,manual_pending_current,app_pending_current,manual_pending_last_month,app_pending_last_month,manual_raw_production,manual_clamped_production,manual_clamp_effect,app_max_production
Accessorise,126,284,29565.333333333332,28858.65,53463,61018,1494,523,5483,6680,-2138,36325,38463,37942.22
Ball Cock,41,78,38449.33333333334,40661.970000000016,31232,28166,1015,206,11698,21014,39077,66915,27838,79126.01000000001
Cabinet,18,54,1306.666666666667,1689.67,1061,1252,38,41,1103,323,1648.0000000000002,2396,747.9999999999998,1965.6000000000001
Cistern & Seat Cover,34,226,24872.666666666668,31997.66000000001,7757,11754,2750,295,10901,16202,35741.19999999999,39550.59999999999,3809.4000000000015,50740.80000000001
Cocks Premium,602,656,20850.333333333314,9236.289999999999,27375,20235,2359,1657,2407,2537,2411.4000000000033,21433.800000000014,19022.40000000001,10939.4
Cocks Standard,592,1840,389679.66666666657,336348.9999999998,223202,188829,10014,2088,49228,72242,420559.5,468607,48047.5,466624.55000000034
Collapsible Waste Pipes,0,9,0,30037.660000000003,0,27830,0,0,0,182,0,0,0,182
Faucets & Jetsprays & Shower,88,175,49791.333333333336,45769.32999999999,18638,23084,1330,100,11303,13891,68682,79009,10327,69966.59
P.V.C. Connections,13,33,104254.33333333333,123799.34,67864,83489,7132,231,46814,1225,142463.5,176563,34099.5,39635
Showers Sets,0,33,0,19345.989999999998,0,3642,0,90,0,11451,0,0,0,11541
Special Cock,0,60,0,73678.33,0,8411,0,0,0,29004,0,0,0,29004
Unclassified,0,121,0,10375,0,3141,0,174,0,11970,0,0,0,12144
Waste Pipes,30,15,66114.33333333333,15441,44475,16411,5093,925,3576,3646,63365.5,71455,8089.5,5998
