code,status,manual_category,app_category,category_match,manual_avg3,app_avg3,diff_avg3,manual_stock,app_stock,diff_stock,manual_pending_current,app_pending_current,diff_pending_current,manual_pending_last_month,app_pending_last_month,diff_pending_last_month,prayag_production_required,app_max_production,diff_production,app_rows,app_colours
101,NEGATIVE_CLAMPED,Accessorise,Accessorise,true,398,398,0,2987,2415,-572,0,110,110,0,0,0,-2390,0,2390,2,IVORY | WHITE
102,NEGATIVE_CLAMPED,Accessorise,Accessorise,true,120.66666666666669,120.66,-0.006666666666689025,745,1116,371,0,0,0,0,0,0,-564,0,564,2,IVORY | WHITE
103,DIFFERENCE,Accessorise,Accessorise,true,5020,5020,0,2200,3461,1261,0,0,0,0,0,0,5330,6070.5,740.5,3,IVORY | PINK | WHITE
104,DIFFERENCE,Accessorise,Accessorise,true,221.33333333333337,221.33999999999997,0.00666666666660376,127,162,35,0,60,60,0,0,0,205,290.01,85.00999999999999,2,IVORY | WHITE
105,DIFFERENCE,Accessorise,Accessorise,true,1085.3333333333333,1085.33,-0.0033333333333303017,40,0,-40,40,0,-40,317,428,111,1945,2056,111,2,IVORY | WHITE
106,NEGATIVE_CLAMPED,Accessorise,Accessorise,true,0,0,0,68,68,0,0,0,0,0,0,0,-68,0,68,2,IVORY | WHITE
107,DIFFERENCE,Accessorise,Accessorise,true,164,164,0,0,0,0,0,0,0,137,49,-88,383,295,-88,1,WHITE
110,NEGATIVE_CLAMPED,Accessorise,Accessorise,true,62,62,0,718,718,0,0,0,0,0,0,0,-625,0,625,2,IVORY | WHITE
111,NEGATIVE_CLAMPED,Accessorise,Accessorise,true,560.6666666666666,560.6700000000001,0.0033333333334439885,4216,3736,-480,150,0,-150,0,0,0,-3225,0,3225,2,IVORY | WHITE
111-H,APP_ONLY,,Accessorise,,,0,,,210,,,0,,,0,,,0,,1,
111-WH,APP_ONLY,,Accessorise,,,0,,,0,,,0,,,0,,,0,,1,
