item_code,series,division,is_loadable,discontinued,discontinued_from
101,Waste Coupling,PTMT & Plastic Fittings,t,f,
102,Waste Coupling,PTMT & Plastic Fittings,t,f,
103,Waste Coupling,PTMT & Plastic Fittings,t,f,
104,Waste Coupling,PTMT & Plastic Fittings,t,f,
105,Waste Coupling,PTMT & Plastic Fittings,t,f,
106,Waste Coupling,PTMT & Plastic Fittings,t,f,
107,Waste Coupling,PTMT & Plastic Fittings,t,f,
110,Waste Coupling,PTMT & Plastic Fittings,t,f,
111,Waste Coupling,PTMT & Plastic Fittings,t,f,
1111,Waste Coupling,PTMT & Plastic Fittings,t,f,
112,Waste Coupling,PTMT & Plastic Fittings,t,f,
113,Waste Coupling,PTMT & Plastic Fittings,t,f,
114,Waste Coupling,PTMT & Plastic Fittings,t,f,
115,Waste Coupling,PTMT & Plastic Fittings,t,f,
116,Waste Coupling,PTMT & Plastic Fittings,t,f,
117,Waste Coupling,PTMT & Plastic Fittings,t,f,
1178,Showers & Accessories,PTMT & Plastic Fittings,t,f,
1178-C,Showers Sets,PTMT & Plastic Fittings,t,f,
1179,Showers Sets,PTMT & Plastic Fittings,t,f,
118,Waste Coupling,PTMT & Plastic Fittings,t,f,
1180,Showers & Accessories,PTMT & Plastic Fittings,t,f,
1180-C,Showers Sets,PTMT & Plastic Fittings,t,f,
1181,Showers Sets,PTMT & Plastic Fittings,t,f,
119,Waste Coupling,PTMT & Plastic Fittings,t,f,
119-W,Waste Coupling,PTMT & Plastic Fittings,t,f,
1191,Waste Coupling,PTMT & Plastic Fittings,t,f,
120,Special Cock,PTMT & Plastic Fittings,t,f,
120-C,Special Cock,PTMT & Plastic Fittings,t,f,
120-M,Special Cock,PTMT & Plastic Fittings,t,f,
120-R,Special Cock,PTMT & Plastic Fittings,t,f,
120-S,Special Cock,PTMT & Plastic Fittings,t,f,
120-W,Special Cock,PTMT & Plastic Fittings,t,f,
120-WS,Special Cock,PTMT & Plastic Fittings,t,f,
121,Standard (New Handle),PTMT & Plastic Fittings,t,f,
121-A,Sapphire,PTMT & Plastic Fittings,t,f,
121-AB,Black Sapphire,PTMT & Plastic Fittings,t,f,
121-ABF,Black Sapphire,PTMT & Plastic Fittings,t,f,
121-AF,Sapphire,PTMT & Plastic Fittings,t,f,
121-AP,Apex,PTMT & Plastic Fittings,t,f,
121-APF,Apex,PTMT & Plastic Fittings,t,f,
121-AS,Astra,PTMT & Plastic Fittings,t,f,
121-ASF,Astra,PTMT & Plastic Fittings,t,f,
121-B,Black Pearl,PTMT & Plastic Fittings,t,f,
121-BF,Black Pearl,PTMT & Plastic Fittings,t,f,
121-C,Cobra,PTMT & Plastic Fittings,t,f,
121-CF,Cobra,PTMT & Plastic Fittings,t,f,
121-E,Grand,PTMT & Plastic Fittings,t,f,
121-EB,Ebon,PTMT & Plastic Fittings,t,f,
121-EBF,Ebon,PTMT & Plastic Fittings,t,f,
121-EF,Grand,PTMT & Plastic Fittings,t,f,
121-F,Erosa,PTMT & Plastic Fittings,t,f,
121-FB,Erosa (Blue),PTMT & Plastic Fittings,t,f,
121-FBB,Erosa (Black),PTMT & Plastic Fittings,t,f,
121-FG,Erosa (Gold),PTMT & Plastic Fittings,t,f,
121-FHG,Helix (Gold),PTMT & Plastic Fittings,t,f,
