category,item_code,normalized_code,issued_demand,mrp_series,on_prayag_tab
Cocks Standard,P-121,P-121,8587.67,Luxor,False
Cocks Standard,P-124,P-124,6275.0,Luxor,False
Cocks Standard,PS-121,PS-121,5493.33,Glory,False
Cocks Standard,PS-124,PS-124,4286.33,Glory,False
Cocks Standard,P-144,P-144,4215.67,Luxor,False
Cocks Standard,PS-144,PS-144,3518.67,Glory,False
Cocks Standard,123-QAB,123-QAB,138.0,Quadra (Dark Blue),False
Cocks Standard,144-QAB,144-QAB,48.0,Quadra (Dark Blue),False
Cocks Standard,134-QAB,134-QAB,41.33,Quadra (Dark Blue),False
Cocks Standard,123-QB,123-QB,41.0,Quadra (Black),False
Cocks Standard,PTA-22,PTA-22,20.67,(not in current MRP product rows),False
Cocks Standard,121-FHW,121-FHW,13.33,Helix (Wine),False
Cocks Standard,133-QAB,133-QAB,4.33,Quadra (Dark Blue),False
Cocks Standard,121-1E,121-1E,0.0,(not in current MRP product rows),False
Cocks Standard,121-D,121-D,0.0,(not in current MRP product rows),False
Cocks Standard,121-FHG,121-FHG,0.0,Helix (Gold),False
Cocks Standard,121-FHP,121-FHP,0.0,Helix (Peach),False
Cocks Standard,121-FHR,121-FHR,0.0,Helix (Royal),False
Cocks Standard,121-FP,121-FP,0.0,(not in current MRP product rows),False
Cocks Standard,121-N,121-N,0.0,(not in current MRP product rows),False
Cocks Standard,121-PR,121-PR,0.0,(not in current MRP product rows),False
Cocks Standard,121-W,121-W,0.0,(not in current MRP product rows),False
Cocks Standard,122,122,0.0,(not in current MRP product rows),False
Cocks Standard,123-3E,123-3E,0.0,(not in current MRP product rows),False
Cocks Standard,123-3U,123-3U,0.0,(not in current MRP product rows),False
Cocks Standard,123-B,123-B,0.0,(not in current MRP product rows),False
Cocks Standard,1231F,1231F,0.0,(not in current MRP product rows),False
Cocks Standard,124-4E,124-4E,0.0,(not in current MRP product rows),False
Cocks Standard,124-4U,124-4U,0.0,(not in current MRP product rows),False
Cocks Standard,124-PR,124-PR,0.0,(not in current MRP product rows),False
Cocks Standard,127-7E,127-7E,0.0,(not in current MRP product rows),False
Cocks Standard,129-9E,129-9E,0.0,(not in current MRP product rows),False
Cocks Standard,129-9U,129-9U,0.0,(not in current MRP product rows),False
Cocks Standard,129-PR,129-PR,0.0,(not in current MRP product rows),False
Cocks Standard,129-QAB,129-QAB,0.0,Quadra (Dark Blue),False
Cocks Standard,129-RH,129-RH,0.0,(not in current MRP product rows),False
Cocks Standard,129I,129I,0.0,(not in current MRP product rows),False
Cocks Standard,129QW,129QW,0.0,(not in current MRP product rows),False
Cocks Standard,130-0E,130-0E,0.0,(not in current MRP product rows),False
Cocks Standard,130-0U,130-0U,0.0,(not in current MRP product rows),False
Cocks Standard,130-I N,130-I N,0.0,(not in current MRP product rows),False
Cocks Standard,130-QAB,130-QAB,0.0,Quadra (Dark Blue),False
Cocks Standard,130C,130C,0.0,(not in current MRP product rows),False
Cocks Standard,131-B,131-B,0.0,(not in current MRP product rows),False
Cocks Standard,131-F,131-F,0.0,(not in current MRP product rows),False
Cocks Standard,131-G,131-G,0.0,(not in current MRP product rows),False
Cocks Standard,131-PR,131-PR,0.0,(not in current MRP product rows),False
Cocks Standard,131-S,131-S,0.0,(not in current MRP product rows),False
Cocks Standard,131-W,131-W,0.0,(not in current MRP product rows),False
Cocks Standard,1311-W,1311-W,0.0,(not in current MRP product rows),False
Cocks Standard,132-2E,132-2E,0.0,(not in current MRP product rows),False
Cocks Standard,132-2U,132-2U,0.0,(not in current MRP product rows),False
Cocks Standard,132-PR,132-PR,0.0,(not in current MRP product rows),False
Cocks Standard,132-QAB,132-QAB,0.0,Quadra (Dark Blue),False
Cocks Standard,1322,1322,0.0,(not in current MRP product rows),False
Cocks Standard,1322-A,1322-A,0.0,(not in current MRP product rows),False
Cocks Standard,132I,132I,0.0,(not in current MRP product rows),False
Cocks Standard,132T,132T,0.0,(not in current MRP product rows),False
Cocks Standard,133,133,0.0,(not in current MRP product rows),False
Cocks Standard,133-3E,133-3E,0.0,(not in current MRP product rows),False
Cocks Standard,133-3U,133-3U,0.0,(not in current MRP product rows),False
Cocks Standard,1331,1331,0.0,(not in current MRP product rows),False
Cocks Standard,133C-NEW,133C-NEW,0.0,(not in current MRP product rows),False
Cocks Standard,133NEW,133NEW,0.0,(not in current MRP product rows),False
Cocks Standard,144-4E,144-4E,0.0,(not in current MRP product rows),False
Cocks Standard,144-4U,144-4U,0.0,(not in current MRP product rows),False
Cocks Standard,144-PR,144-PR,0.0,(not in current MRP product rows),False
Cocks Standard,145-5E,145-5E,0.0,(not in current MRP product rows),False
Cocks Standard,145-5U,145-5U,0.0,(not in current MRP product rows),False
Cocks Standard,145-PR,145-PR,0.0,(not in current MRP product rows),False
Cocks Standard,145-QAB,145-QAB,0.0,Quadra (Dark Blue),False
Cocks Standard,PTA-21,PTA-21,0.0,(not in current MRP product rows),False
Cocks Premium,PTA-76,PTA-76,208.67,(not in current MRP product rows),False
Cocks Premium,135-QAB,135-QAB,31.33,Quadra (Dark Blue),False
Cocks Premium,1375-QAB,1375-QAB,20.0,Quadra (Dark Blue),False
Cocks Premium,135-O,135-O,0.0,(not in current MRP product rows),False
Cocks Premium,1431-E,1431-E,0.0,(not in current MRP product rows),False
Cocks Premium,147-7E,147-7E,0.0,(not in current MRP product rows),False
Cocks Premium,147-PR,147-PR,0.0,(not in current MRP product rows),False
Cocks Premium,148-C,148-C,0.0,(not in current MRP product rows),False
Cocks Premium,PTA-77,PTA-77,0.0,(not in current MRP product rows),False
Faucets & Jetsprays & Shower,PTA-26,PTA-26,32.0,(not in current MRP product rows),False
Faucets & Jetsprays & Shower,PTA-33,PTA-33,16.33,(not in current MRP product rows),False
Faucets & Jetsprays & Shower,PTA-36,PTA-36,9.67,(not in current MRP product rows),False
Faucets & Jetsprays & Shower,1812,1812,0.0,(not in current MRP product rows),False
Faucets & Jetsprays & Shower,182,182,0.0,(not in current MRP product rows),False
Faucets & Jetsprays & Shower,400-S,400-S,0.0,(not in current MRP product rows),False
Faucets & Jetsprays & Shower,520,520,0.0,(not in current MRP product rows),False
Faucets & Jetsprays & Shower,520N,520N,0.0,(not in current MRP product rows),False
Faucets & Jetsprays & Shower,5211N,5211N,0.0,(not in current MRP product rows),False
Faucets & Jetsprays & Shower,5221N,5221N,0.0,(not in current MRP product rows),False
