item_code,colour,category,issued_demand
101,IVORY,Accessorise,0
101,WHITE,Accessorise,0
102,IVORY,Accessorise,0
102,WHITE,Accessorise,0
103,IVORY,Accessorise,0
103,PINK,Accessorise,0
103,WHITE,Accessorise,3869
104,IVORY,Accessorise,0
104,WHITE,Accessorise,187.67
105,IVORY,Accessorise,279.33
105,WHITE,Accessorise,1234
106,IVORY,Accessorise,0
106,WHITE,Accessorise,0
107,WHITE,Accessorise,213
110,IVORY,Accessorise,0
110,WHITE,Accessorise,0
111,IVORY,Accessorise,0
111,WHITE,Accessorise,0
111-H,,Accessorise,0
111-WH,,Accessorise,0
1111,IVORY,Accessorise,0
1111,WHITE,Accessorise,0
112,IVORY,Accessorise,0
112,WHITE,Accessorise,868.33
113,IVORY,Accessorise,0
113,WHITE,Accessorise,385.33
114,IVORY,Accessorise,0
114,WHITE,Accessorise,0
115,BLACK,Accessorise,0
115,BROWN,Accessorise,0
115,GREY,Accessorise,0
115,IVORY,Accessorise,0
115,O BLUE,Accessorise,0
115,SAPPHIRE,Accessorise,0
115,WHITE,Accessorise,0
1151,IVORY,Accessorise,0
1151,WHITE,Accessorise,0
116,IVORY,Accessorise,46
116,WHITE,Accessorise,194.33
117,IVORY,Accessorise,0
117,WHITE,Accessorise,0
118,IVORY,Accessorise,0
118,WHITE,Accessorise,0
118-W,,Accessorise,0
119,IVORY,Accessorise,0
119,WHITE,Accessorise,15.33
119-W,IVORY,Accessorise,0
119-W,WHITE,Accessorise,14
1191,IVORY,Accessorise,0
1191,WHITE,Accessorise,0
126,,Accessorise,0
126,IVORY,Accessorise,43.33
126,WHITE,Accessorise,83.33
126-I,,Accessorise,0
128,IVORY,Accessorise,1298
128,PINK,Accessorise,264.67
128,WHITE,Accessorise,3869
128 X,,Accessorise,0
1281,,Accessorise,0
146-Q,IVORY,Accessorise,0
148-Q,IVORY,Accessorise,0
190,IVORY,Accessorise,0
190,WHITE,Accessorise,0
190-C,,Accessorise,0
191,IVORY,Accessorise,0
191,WHITE,Accessorise,0
191-A,,Accessorise,0
191-C,,Accessorise,0
192,IVORY,Accessorise,0
192,WHITE,Accessorise,0
193,,Accessorise,0
194,IVORY,Accessorise,0
194,WHITE,Accessorise,35.33
194-A,,Accessorise,0
194-G,,Accessorise,0
194-P,,Accessorise,0
194-R,,Accessorise,0
194-W,,Accessorise,0
195,IVORY,Accessorise,0
195,WHITE,Accessorise,1214.33
195-A,,Accessorise,0
195-C,,Accessorise,0
1951,IVORY,Accessorise,0
1951,WHITE,Accessorise,217.67
1951-A,,Accessorise,0
196,IVORY,Accessorise,0
196,WHITE,Accessorise,440.67
196-A,,Accessorise,0
196-IV,,Accessorise,0
1961,IVORY,Accessorise,0
