run_id,category,item_count,issued_demand
2419,Accessorise,223,24345.66
2419,Ball Cock,77,59598.297
2419,Cabinet,54,1647.67
2419,Cistern & Seat Cover,201,40406.656
2419,Cocks Premium,601,21052.31
2419,Cocks Standard,2093,419521.66
2419,Faucets & Jetsprays & Shower,203,70691.02
2419,P.V.C. Connections,31,123841.51
2419,Unclassified,70,767
2419,Waste Pipes,31,51052.03
2420,Accessorise,223,27695.447
2420,Ball Cock,77,59988.844
2420,Cabinet,54,2251.74
2420,Cistern & Seat Cover,201,61811.848
2420,Cocks Premium,601,22794.012
2420,Cocks Standard,2093,495495.6
2420,Faucets & Jetsprays & Shower,203,80449.61
2420,P.V.C. Connections,31,123841.51
2420,Unclassified,70,767
2420,Waste Pipes,31,51052.03

