item_code,category,planning_category,is_active,segment
101,Black Pearl,,t,PTMT
102,Black Pearl,,t,PTMT
103,Black Pearl,,t,PTMT
104,PTMT Taps,,t,PTMT
105,Black Pearl,,t,PTMT
106,Black Pearl,,t,PTMT
107,PTMT Taps,,t,PTMT
110,Black Pearl,,t,PTMT
111,PTMT Taps,,t,PTMT
1111,PTMT Taps,,t,PTMT
112,PTMT Taps,,t,PTMT
113,PTMT Taps,,t,PTMT
114,PTMT Taps,,t,PTMT
115,PTMT Taps,,t,PTMT
116,PTMT Taps,,t,PTMT
117,PTMT Taps,,t,PTMT
1178,PTMT Taps,,t,PTMT
1178-C,,,t,PTMT
1179,PTMT Taps,,t,PTMT
118,PTMT Taps,,t,PTMT
1180,PTMT Taps,,t,PTMT
1180-C,,,t,PTMT
1181,PTMT Taps,,t,PTMT
119,PTMT Taps,,t,PTMT
119-W,PTMT Taps,,t,PTMT
1191,PTMT Taps,,t,PTMT
120,PTMT Taps,,t,PTMT
120-C,PTMT Taps,,t,PTMT
120-M,PTMT Taps,,t,PTMT
120-R,PTMT Taps,,t,PTMT
120-S,PTMT Taps,,t,PTMT
120-W,PTMT Taps,,t,PTMT
120-WS,PTMT Taps,,t,PTMT
121,Standard,,t,PTMT
121-A,PTMT Taps,,t,PTMT
121-AB,PTMT Taps,,t,PTMT
121-ABF,PTMT Taps,,t,PTMT
121-AF,PTMT Taps,,t,PTMT
121-AP,PTMT Taps,,t,PTMT
121-APF,PTMT Taps,,t,PTMT
121-AS,PTMT Taps,,t,PTMT
121-ASF,PTMT Taps,,t,PTMT
121-B,Black Pearl,,t,PTMT
121-BF,PTMT Taps,,t,PTMT
121-C,Cobra,,t,PTMT
121-CF,PTMT Taps,,t,PTMT
121-E,PTMT Taps,,t,PTMT
121-EB,PTMT Taps,,t,PTMT
121-EBF,PTMT Taps,,t,PTMT
121-EF,PTMT Taps,,t,PTMT
121-F,PTMT Taps,,t,PTMT
121-FB,PTMT Colour Variant,,t,PTMT
121-FBB,,,t,PTMT
121-FG,PTMT Colour Variant,,t,PTMT
121-FHG,PTMT Colour Variant,,t,PTMT
121-FHP,PTMT Colour Variant,,t,PTMT
121-FHR,PTMT Colour Variant,,t,PTMT
121-FHW,PTMT Colour Variant,,t,PTMT
121-H,PTMT Taps,,t,PTMT
121-HF,PTMT Taps,,t,PTMT
121-HG,PTMT Colour Variant,,t,PTMT
121-HP,PTMT Colour Variant,,t,PTMT
121-HR,PTMT Colour Variant,,t,PTMT
121-HW,PTMT Colour Variant,,t,PTMT
121-I,PTMT Taps,,t,PTMT
121-IG,PTMT Colour Variant,,t,PTMT
121-IP,PTMT Colour Variant,,t,PTMT
121-IR,PTMT Colour Variant,,t,PTMT
121-IW,PTMT Colour Variant,,t,PTMT
121-K,PTMT Taps,,t,PTMT
121-KF,PTMT Taps,,t,PTMT
121-L,PTMT Taps,,t,PTMT
121-LG,PTMT Colour Variant,,t,PTMT
