difference,category,code,code_unclamped_sum,colour_level_total,colour,colour_value
6053.33,Cocks Standard,123,2811.34,8864.67,BLUE,0.0
6053.33,Cocks Standard,123,2811.34,8864.67,BURGUNDY,0.0
6053.33,Cocks Standard,123,2811.34,8864.67,GREEN,0.0
6053.33,Cocks Standard,123,2811.34,8864.67,IVORY,8839.67
6053.33,Cocks Standard,123,2811.34,8864.67,M GREEN,0.0
6053.33,Cocks Standard,123,2811.34,8864.67,PINK,25.0
6053.33,Cocks Standard,123,2811.34,8864.67,WHITE,0.0
2877.0,Cocks Standard,124,1105.33,3982.33,BLUE,0.0
2877.0,Cocks Standard,124,1105.33,3982.33,BURGUNDY,0.0
2877.0,Cocks Standard,124,1105.33,3982.33,GREEN,0.0
2877.0,Cocks Standard,124,1105.33,3982.33,IVORY,0.0
2877.0,Cocks Standard,124,1105.33,3982.33,M GREEN,0.0
2877.0,Cocks Standard,124,1105.33,3982.33,PINK,0.0
2877.0,Cocks Standard,124,1105.33,3982.33,WHITE,3982.33
2310.0,Accessorise,103,1559.0,3869.0,IVORY,0.0
2310.0,Accessorise,103,1559.0,3869.0,PINK,0.0
2310.0,Accessorise,103,1559.0,3869.0,WHITE,3869.0
1571.67,Faucets & Jetsprays & Shower,HF-190,265.3299999999999,1837.0,IVORY,0.0
1571.67,Faucets & Jetsprays & Shower,HF-190,265.3299999999999,1837.0,WHITE,1837.0
1351.33,Cocks Standard,139,2665.34,4016.67,BURGUNDY,0.0
1351.33,Cocks Standard,139,2665.34,4016.67,GREEN,0.0
1351.33,Cocks Standard,139,2665.34,4016.67,IVORY,0.0
1351.33,Cocks Standard,139,2665.34,4016.67,M GREEN,0.0
1351.33,Cocks Standard,139,2665.34,4016.67,PINK,0.0
1351.33,Cocks Standard,139,2665.34,4016.67,WHITE,4016.67
1302.0,Cocks Standard,142,2125.0,3427.0,BLUE,0.0
1302.0,Cocks Standard,142,2125.0,3427.0,BURGUNDY,0.0
1302.0,Cocks Standard,142,2125.0,3427.0,GREEN,0.0
1302.0,Cocks Standard,142,2125.0,3427.0,IVORY,1848.0
1302.0,Cocks Standard,142,2125.0,3427.0,M GREEN,0.0
1302.0,Cocks Standard,142,2125.0,3427.0,PINK,0.0
1302.0,Cocks Standard,142,2125.0,3427.0,WHITE,1579.0
1270.3400000000001,Cistern & Seat Cover,513,4521.99,5792.33,BLUE,0.0
1270.3400000000001,Cistern & Seat Cover,513,4521.99,5792.33,BURGUNDAY,0.0
1270.3400000000001,Cistern & Seat Cover,513,4521.99,5792.33,GREEN,0.0
1270.3400000000001,Cistern & Seat Cover,513,4521.99,5792.33,IVORY,0.0
1270.3400000000001,Cistern & Seat Cover,513,4521.99,5792.33,PINK,0.0
1270.3400000000001,Cistern & Seat Cover,513,4521.99,5792.33,WHITE,5792.33
1150.0,Cocks Standard,120-M,-203.0,1150.0,BURGUNDY,0.0
1150.0,Cocks Standard,120-M,-203.0,1150.0,GREEN,0.0
1150.0,Cocks Standard,120-M,-203.0,1150.0,IVORY,0.0
1150.0,Cocks Standard,120-M,-203.0,1150.0,M GREEN,0.0
1150.0,Cocks Standard,120-M,-203.0,1150.0,PINK,0.0
1150.0,Cocks Standard,120-M,-203.0,1150.0,WHITE,1150.0
1090.67,Accessorise,195,123.65999999999985,1214.33,IVORY,0.0
1090.67,Accessorise,195,123.65999999999985,1214.33,WHITE,1214.33
1038.33,Cocks Standard,144-H,-992.6700000000001,1038.33,BURGUNDY,0.0
1038.33,Cocks Standard,144-H,-992.6700000000001,1038.33,GREEN,0.0
1038.33,Cocks Standard,144-H,-992.6700000000001,1038.33,IVORY,0.0
1038.33,Cocks Standard,144-H,-992.6700000000001,1038.33,M GREEN,0.0
1038.33,Cocks Standard,144-H,-992.6700000000001,1038.33,PINK,0.0
1038.33,Cocks Standard,144-H,-992.6700000000001,1038.33,WHITE,1038.33
