item_code,category,colour,segment
101,Accessorise,IVORY,PTMT
101,Accessorise,WHITE,PTMT
102,Accessorise,IVORY,PTMT
102,Accessorise,WHITE,PTMT
103,Accessorise,IVORY,PTMT
103,Accessorise,PINK,PTMT
103,Accessorise,WHITE,PTMT
104,Accessorise,IVORY,PTMT
104,Accessorise,WHITE,PTMT
105,Accessorise,IVORY,PTMT
105,Accessorise,WHITE,PTMT
106,Accessorise,IVORY,PTMT
106,Accessorise,WHITE,PTMT
107,Accessorise,WHITE,PTMT
110,Accessorise,IVORY,PTMT
110,Accessorise,WHITE,PTMT
111,Accessorise,IVORY,PTMT
111,Accessorise,WHITE,PTMT
1111,Accessorise,IVORY,PTMT
1111,Accessorise,WHITE,PTMT
112,Accessorise,IVORY,PTMT
112,Accessorise,WHITE,PTMT
113,Accessorise,IVORY,PTMT
113,Accessorise,WHITE,PTMT
114,Accessorise,IVORY,PTMT
114,Accessorise,WHITE,PTMT
115,Accessorise,BLACK,PTMT
115,Accessorise,BROWN,PTMT
115,Accessorise,GREY,PTMT
115,Accessorise,IVORY,PTMT
115,Accessorise,O BLUE,PTMT
115,Accessorise,SAPPHIRE,PTMT
115,Accessorise,WHITE,PTMT
1151,Accessorise,IVORY,PTMT
1151,Accessorise,WHITE,PTMT
116,Accessorise,IVORY,PTMT
116,Accessorise,WHITE,PTMT
117,Accessorise,IVORY,PTMT
117,Accessorise,WHITE,PTMT
118,Accessorise,IVORY,PTMT
118,Accessorise,WHITE,PTMT
119,Accessorise,IVORY,PTMT
119,Accessorise,WHITE,PTMT
119-W,Accessorise,IVORY,PTMT
119-W,Accessorise,WHITE,PTMT
1191,Accessorise,IVORY,PTMT
1191,Accessorise,WHITE,PTMT
120,Cocks Standard,BURGUNDY,PTMT
120,Cocks Standard,GREEN,PTMT
120,Cocks Standard,IVORY,PTMT
120,Cocks Standard,M GREEN,PTMT
120,Cocks Standard,PINK,PTMT
120,Cocks Standard,WHITE,PTMT
120-C,Cocks Standard,BURGUNDY,PTMT
120-C,Cocks Standard,GREEN,PTMT
120-C,Cocks Standard,IVORY,PTMT
120-C,Cocks Standard,M GREEN,PTMT
120-C,Cocks Standard,PINK,PTMT
120-C,Cocks Standard,WHITE,PTMT
120-M,Cocks Standard,BURGUNDY,PTMT
120-M,Cocks Standard,GREEN,PTMT
120-M,Cocks Standard,IVORY,PTMT
120-M,Cocks Standard,M GREEN,PTMT
120-M,Cocks Standard,PINK,PTMT
120-M,Cocks Standard,WHITE,PTMT
120-R,Cocks Standard,BURGUNDY,PTMT
120-R,Cocks Standard,GREEN,PTMT
120-R,Cocks Standard,IVORY,PTMT
120-R,Cocks Standard,M GREEN,PTMT
120-R,Cocks Standard,PINK,PTMT
120-R,Cocks Standard,WHITE,PTMT
120-S,Cocks Standard,BURGUNDY,PTMT
120-S,Cocks Standard,GREEN,PTMT
120-S,Cocks Standard,IVORY,PTMT
120-S,Cocks Standard,M GREEN,PTMT
120-S,Cocks Standard,PINK,PTMT
120-S,Cocks Standard,WHITE,PTMT
120-W,Cocks Standard,BURGUNDY,PTMT
120-W,Cocks Standard,GREEN,PTMT
120-W,Cocks Standard,IVORY,PTMT
120-W,Cocks Standard,M GREEN,PTMT
120-W,Cocks Standard,PINK,PTMT
120-W,Cocks Standard,WHITE,PTMT
120-WS,Cocks Standard,BURGUNDY,PTMT
120-WS,Cocks Standard,GREEN,PTMT
120-WS,Cocks Standard,IVORY,PTMT
120-WS,Cocks Standard,M GREEN,PTMT
120-WS,Cocks Standard,PINK,PTMT
120-WS,Cocks Standard,WHITE,PTMT
121,Cocks Standard,BLUE,PTMT
121,Cocks Standard,BURGUNDY,PTMT
121,Cocks Standard,GREEN,PTMT
121,Cocks Standard,IVORY,PTMT
121,Cocks Standard,M GREEN,PTMT
121,Cocks Standard,PINK,PTMT
121,Cocks Standard,WHITE,PTMT
121-A,Cocks Standard,IVORY,PTMT
121-A,Cocks Standard,WHITE,PTMT
121-AB,Cocks Standard,BLACK,PTMT
121-ABF,Cocks Standard,BLACK,PTMT
121-AF,Cocks Standard,WHITE,PTMT
121-AP,Cocks Standard,IVORY,PTMT
121-AP,Cocks Standard,WHITE,PTMT
