code,series,avg3_monthly,in_rate_list,in_effective_run_roster
1178,Showers & Accessories,0,False,False
1178-C,Showers Sets,0,False,False
1179,Showers Sets,0,False,False
1180,Showers & Accessories,0,False,False
1180-C,Showers Sets,0,False,False
1181,Showers Sets,0,False,False
121-EF,Grand,0,False,False
121-FBB,Erosa (Black),0,False,False
121-FG,Erosa (Gold),0,False,False
121-HF,Helix,0,False,False
121-LSFBB,Erosa (Black),0,False,False
121-LSFG,Erosa (Gold),0,False,False
121-OF,Standard (Old Handle),0,False,False
121-OSF,Standard (New Handle),0,False,False
121-SF,Flora,0,False,False
121-SFG,Flora (Gold),0,False,False
121-SFP,Flora (Peach),0,False,False
121-SFR,Flora (Royal),0,False,False
121-SFW,Flora (Wine),0,False,False
121-VF,Vitro,0,False,False
121-VFG,Vitro (Gold),0,False,False
121-VFP,Vitro (Peach),0,False,False
121-VFR,Vitro (Royal),0,False,False
121-VFW,Vitro (Wine),0,False,False
1216,1200 Series 304 Super Steel (1.00 Mm),0,False,False
1216-D,1200 Series 304 Super Steel (1.00 Mm),0,False,False
1216-DM,1200 Series 304 Super Steel (1.00 Mm),0,False,False
1218-D,1200 Series 304 Super Steel (1.00 Mm),0,False,False
1218-DM,1200 Series 304 Super Steel (1.00 Mm),0,False,False
122-I,Ibix,0,False,False
122-IG,Ibix (Gold),0,False,False
122-IP,Ibix (Peach),0,False,False
122-IR,Ibix Royal),0,False,False
122-IW,Ibix (Wine),0,False,False
122-L,Lagoona,0,False,False
122-LG,Lagoona (Gold),0,False,False
122-LP,Lagoona (Peach),0,False,False
122-LR,Lagoona (Royal),0,False,False
122-LW,Lagoona (Wine),0,False,False
122-R,Ovian,0,False,False
122-RG,Ovian (Gold),0,False,False
122-RP,Ovian (Peach),0,False,False
122-RR,Ovian (Royal),0,False,False
122-RW,Ovian (Wine),0,False,False
1220-D,1200 Series 304 Super Steel (1.00 Mm),0,False,False
1220-DM,1200 Series 304 Super Steel (1.00 Mm),0,False,False
1222-D,1200 Series 304 Super Steel (1.00 Mm),0,False,False
1222-DM,1200 Series 304 Super Steel (1.00 Mm),0,False,False
1223-D,1200 Series 304 Super Steel (1.00 Mm),0,False,False
1223-DM,1200 Series 304 Super Steel (1.00 Mm),0,False,False
1224-D,1200 Series 304 Super Steel (1.00 Mm),0,False,False
1224-DM,1200 Series 304 Super Steel (1.00 Mm),0,False,False
1224-SD,1200 Series 304 Super Steel (1.00 Mm),0,False,False
1224-SDM,1200 Series 304 Super Steel (1.00 Mm),0,False,False
1224-XD,1200 Series 304 Super Steel (1.00 Mm),0,False,False
1224-XDM,1200 Series 304 Super Steel (1.00 Mm),0,False,False
1225-D,1200 Series 304 Super Steel (1.00 Mm),0,False,False
1225-DM,1200 Series 304 Super Steel (1.00 Mm),0,False,False
1226-D,1200 Series 304 Super Steel (1.00 Mm),0,False,False
1226-DM,1200 Series 304 Super Steel (1.00 Mm),0,False,False
123-LSBB,Erosa (Black),0,False,False
123-LSFBB,Erosa (Black),0,False,False
123-LSFG,Erosa (Gold),0,False,False
123-LSG,Erosa (Gold),0,False,False
123-LSNBB,Erosa (Black),0,False,False
123-LSNG,Erosa (Gold),0,False,False
123-NNBB,Novo (Black),0,False,False
123-OF,Standard (Old Handle),0,False,False
123-UB,Ultra (Black),0,False,False
1230-D,1200 Series 304 Super Steel (1.00 Mm),0,False,False
1230-DM,1200 Series 304 Super Steel (1.00 Mm),0,False,False
1232-D,1200 Series 304 Super Steel (1.00 Mm),0,False,False
1232-DM,1200 Series 304 Super Steel (1.00 Mm),0,False,False
1239-D,1200 Series 304 Super Steel (1.00 Mm),0,False,False
1239-DM,1200 Series 304 Super Steel (1.00 Mm),0,False,False
124-LSBB,Erosa (Black),0,False,False
124-LSFBB,Erosa (Black),0,False,False
124-LSFG,Erosa (Gold),0,False,False
124-LSG,Erosa (Gold),0,False,False
124-NBB,Novo (Black),0,False,False
124-OF,Standard (Old Handle),0,False,False
124-Q,Quadra,0,False,False
124-QAB,Quadra (Dark Blue),0,False,False
124-QB,Quadra (Black),0,False,False
124-QG,Quadra (Gold),0,False,False
124-QP,Quadra (Peach),0,False,False
124-QR,Quadra (Royal),0,False,False
124-QW,Quadra (Wine),0,False,False
124-SF,Flora,0,False,False
124-SFG,Flora (Gold),0,False,False
124-SFP,Flora (Peach),0,False,False
124-SFR,Flora (Royal),0,False,False
124-SFW,Flora (Wine),0,False,False
124-T,Special Cock,0.0,False,False
124-UB,Ultra (Black),0,False,False
1240-D,1200 Series 304 Super Steel (1.00 Mm),0,False,False
1240-DM,1200 Series 304 Super Steel (1.00 Mm),0,False,False
1242-D,1200 Series 304 Super Steel (1.00 Mm),0,False,False
1242-DM,1200 Series 304 Super Steel (1.00 Mm),0,False,False
1244-D,1200 Series 304 Super Steel (1.00 Mm),0,False,False
1244-DM,1200 Series 304 Super Steel (1.00 Mm),0,False,False
1250-D,1200 Series 304 Super Steel (1.00 Mm),0,False,False
1250-DM,1200 Series 304 Super Steel (1.00 Mm),0,False,False
1250-SD,1200 Series 304 Super Steel (1.00 Mm),0,False,False
1250-SDM,1200 Series 304 Super Steel (1.00 Mm),0,False,False
1250-XD,1200 Series 304 Super Steel (1.00 Mm),0,False,False
1250-XDM,1200 Series 304 Super Steel (1.00 Mm),0,False,False
1252-D,1200 Series 304 Super Steel (1.00 Mm),0,False,False
1252-DM,1200 Series 304 Super Steel (1.00 Mm),0,False,False
127-LSBB,Erosa (Black),0,False,False
127-LSG,Erosa (Gold),0,False,False
127-N,Novo,0,False,False
127-NB,Novo (Dark Blue),0,False,False
127-NBB,Novo (Black),0,False,False
127-NG,Novo (Gold),0,False,False
127-NP,Novo (Peach),0,False,False
127-NR,Novo (Royal),0,False,False
127-NW,Novo (Wine),0,False,False
127-Q,Quadra,0,False,False
127-QAB,Quadra (Dark Blue),0,False,False
127-QB,Quadra (Black),0,False,False
127-QG,Quadra (Gold),0,False,False
127-QP,Quadra (Peach),0,False,False
127-QR,Quadra (Royal),0,False,False
127-QW,Quadra (Wine),0,False,False
127-U,Ultra,0,False,False
127-UB,Ultra (Black),0,False,False
127-UG,Ultra (Gold),0,False,False
127-UP,Ultra (Peach),0,False,False
127-UR,Ultra (Royal),0,False,False
127-UW,Ultra (Wine),0,False,False
129-LSBB,Erosa (Black),0,False,False
129-LSG,Erosa (Gold),0,False,False
129-NBB,Novo (Black),0,False,False
129-QB,Quadra (Black),0,False,False
129-UB,Ultra (Black),0,False,False
130-LSBB,Erosa (Black),0,False,False
130-LSG,Erosa (Gold),0,False,False
130-NBB,Novo (Black),0,False,False
130-QB,Quadra (Black),0,False,False
130-UB,Ultra (Black),0,False,False
131-LSBB,Erosa (Black),0,False,False
131-LSG,Erosa (Gold),0,False,False
131-Q,Quadra,0,False,False
131-QAB,Quadra (Dark Blue),0,False,False
131-QB,Quadra (Black),0,False,False
131-QG,Quadra (Gold),0,False,False
131-QP,Quadra (Peach),0,False,False
131-QR,Quadra (Royal),0,False,False
131-QW,Quadra (Wine),0,False,False
132-LSBB,Erosa (Black),0,False,False
132-LSG,Erosa (Gold),0,False,False
132-LSTBB,Erosa (Black),0,False,False
132-LSTG,Erosa (Gold),0,False,False
132-NBB,Novo (Black),0,False,False
132-QB,Quadra (Black),0,False,False
132-UB,Ultra (Black),0,False,False
1322-I,Ibix,0,False,False
1322-IG,Ibix (Gold),0,False,False
1322-IP,Ibix (Peach),0,False,False
1322-IR,Ibix Royal),0,False,False
1322-IW,Ibix (Wine),0,False,False
1322-L,Lagoona,0,False,False
1322-LG,Lagoona (Gold),0,False,False
1322-LP,Lagoona (Peach),0,False,False
1322-LR,Lagoona (Royal),0,False,False
1322-LW,Lagoona (Wine),0,False,False
1322-N,Novo,0,False,False
1322-NB,Novo (Dark Blue),0,False,False
1322-NBB,Novo (Black),0,False,False
1322-NG,Novo (Gold),0,False,False
1322-NP,Novo (Peach),0,False,False
1322-NR,Novo (Royal),0,False,False
1322-NW,Novo (Wine),0,False,False
1322-Q,Quadra,0,False,False
1322-QB,Quadra (Black),0,False,False
1322-QG,Quadra (Gold),0,False,False
1322-QP,Quadra (Peach),0,False,False
1322-QR,Quadra (Royal),0,False,False
1322-QW,Quadra (Wine),0,False,False
1322-R,Ovian,0,False,False
1322-RG,Ovian (Gold),0,False,False
1322-RP,Ovian (Peach),0,False,False
1322-RR,Ovian (Royal),0,False,False
1322-RW,Ovian (Wine),0,False,False
1322-U,Ultra,0,False,False
1322-UB,Ultra (Black),0,False,False
1322-UG,Ultra (Gold),0,False,False
1322-UP,Ultra (Peach),0,False,False
1322-UR,Ultra (Royal),0,False,False
1322-UW,Ultra (Wine),0,False,False
1323-C,Cobra,0,False,False
133-LSBB,Erosa (Black),0,False,False
133-LSG,Erosa (Gold),0,False,False
133-NBB,Novo (Black),0,False,False
133-QB,Quadra (Black),0,False,False
133-UB,Ultra (Black),0,False,False
134-L,Lagoona,0,False,False
134-LG,Lagoona (Gold),0,False,False
134-LP,Lagoona (Peach),0,False,False
134-LR,Lagoona (Royal),0,False,False
134-LSBB,Erosa (Black),0,False,False
134-LSG,Erosa (Gold),0,False,False
134-LW,Lagoona (Wine),0,False,False
134-N,Novo,0,False,False
134-NB,Novo (Dark Blue),0,False,False
134-NBB,Novo (Black),0,False,False
134-NG,Novo (Gold),0,False,False
134-NP,Novo (Peach),0,False,False
134-NR,Novo (Royal),0,False,False
