id,item_code,colour,avg_3mo_sale,stock,pending_current,pending_last_month
418932,101,IVORY,54,1190,0,0
418933,101,WHITE,344,1225,110,0
418934,102,IVORY,23.33,437,0,0
418935,102,WHITE,97.33,679,0,0
418936,103,IVORY,617,1092,0,0
418937,103,PINK,0,1835,0,0
418938,103,WHITE,4403,534,0,0
418939,104,IVORY,16.67,85,0,0
418940,104,WHITE,204.67,77,60,0
418941,105,IVORY,245.33,0,0,34
418942,105,WHITE,840,0,0,394
418943,106,IVORY,0,32,0,0
418944,106,WHITE,0,36,0,0
418945,107,WHITE,164,0,0,49
418946,110,IVORY,0,444,0,0
418947,110,WHITE,62,274,0,0
418948,111,IVORY,150,1342,0,0
418949,111,WHITE,410.67,2394,0,0
418950,111-H,,0,210,0,0
418951,111-WH,,0,0,0,0
418952,1111,IVORY,16.67,964,0,0
418953,1111,WHITE,106.67,187,0,0
418954,112,IVORY,338.33,616,0,0
418955,112,WHITE,1177.33,369,60,0
418956,113,IVORY,55,359,0,0
418957,113,WHITE,693.33,308,0,0
418958,114,IVORY,0,1107,0,0
418959,114,WHITE,51,167,0,0
418960,115,BLACK,0,0,0,0
418961,115,BROWN,0,0,0,0
418962,115,GREY,0,0,0,0
418963,115,IVORY,127.67,928,0,0
418964,115,O BLUE,0,0,0,0
418965,115,SAPPHIRE,0,0,0,0
418966,115,WHITE,685.33,825,0,0
418967,1151,IVORY,0,223,0,0
418968,1151,WHITE,0,5,0,0
418969,116,IVORY,34,0,0,12
418970,116,WHITE,129.33,0,0,65
418971,117,IVORY,0,35,0,0
418972,117,WHITE,92.67,135,0,0
418973,118,IVORY,0,1212,0,0
418974,118,WHITE,41.33,178,0,0
418975,118-W,,0,0,0,0
418976,119,IVORY,0,17,0,0
418977,119,WHITE,23.33,8,0,0
418978,119-W,IVORY,0,0,0,0
418979,119-W,WHITE,23,9,0,0
418980,1191,IVORY,0,301,0,0
418981,1191,WHITE,29.33,89,0,0
418982,120,BURGUNDY,0,0,0,0
418983,120,GREEN,0,0,0,0
418984,120,IVORY,363.33,0,0,14
418985,120,M GREEN,0,0,0,0
418986,120,PINK,0,0,0,0
418987,120,WHITE,1230.33,0,0,493
418988,120-C,BURGUNDY,0,0,0,0
418989,120-C,GREEN,0,0,0,0
418990,120-C,IVORY,0,53,0,0
418991,120-C,M GREEN,0,0,0,0
418992,120-C,PINK,0,0,0,0
418993,120-C,WHITE,2160,0,0,1252
418994,120-M,BURGUNDY,0,0,0,0
418995,120-M,GREEN,0,0,0,0
418996,120-M,IVORY,720,2073,0,0
