id,item_code,colour,category,buffer_req,production_plan
420346,101,IVORY,Accessorise,54,0
420347,101,WHITE,Accessorise,344,0
420348,102,IVORY,Accessorise,23.33,0
420349,102,WHITE,Accessorise,97.33,0
420350,103,IVORY,Accessorise,617,0
420351,103,PINK,Accessorise,0,0
420352,103,WHITE,Accessorise,4403,3869
420353,104,IVORY,Accessorise,16.67,0
420354,104,WHITE,Accessorise,204.67,187.67
420355,105,IVORY,Accessorise,245.33,279.33
420356,105,WHITE,Accessorise,840,1234
420357,106,IVORY,Accessorise,0,0
420358,106,WHITE,Accessorise,0,0
420359,107,WHITE,Accessorise,164,213
420360,110,IVORY,Accessorise,0,0
420361,110,WHITE,Accessorise,62,0
420362,111,IVORY,Accessorise,150,0
420363,111,WHITE,Accessorise,410.67,0
420364,111-H,,Accessorise,0,0
420365,111-WH,,Accessorise,0,0
420366,1111,IVORY,Accessorise,16.67,0
420367,1111,WHITE,Accessorise,106.67,0
420368,112,IVORY,Accessorise,338.33,0
420369,112,WHITE,Accessorise,1177.33,868.33
420370,113,IVORY,Accessorise,55,0
420371,113,WHITE,Accessorise,693.33,385.33
420372,114,IVORY,Accessorise,0,0
420373,114,WHITE,Accessorise,51,0
420374,115,BLACK,Accessorise,0,0
420375,115,BROWN,Accessorise,0,0
420376,115,GREY,Accessorise,0,0
420377,115,IVORY,Accessorise,127.67,0
420378,115,O BLUE,Accessorise,0,0
420379,115,SAPPHIRE,Accessorise,0,0
420380,115,WHITE,Accessorise,685.33,0
420381,1151,IVORY,Accessorise,0,0
420382,1151,WHITE,Accessorise,0,0
420383,116,IVORY,Accessorise,34,46
420384,116,WHITE,Accessorise,129.33,194.33
420385,117,IVORY,Accessorise,0,0
420386,117,WHITE,Accessorise,92.67,0
420387,118,IVORY,Accessorise,0,0
420388,118,WHITE,Accessorise,41.33,0
420389,118-W,,Accessorise,0,0
420390,119,IVORY,Accessorise,0,0
420391,119,WHITE,Accessorise,23.33,15.33
420392,119-W,IVORY,Accessorise,0,0
420393,119-W,WHITE,Accessorise,23,14
420394,1191,IVORY,Accessorise,0,0
420395,1191,WHITE,Accessorise,29.33,0
420396,120,BURGUNDY,Cocks Standard,0,0
420397,120,GREEN,Cocks Standard,0,0
420398,120,IVORY,Cocks Standard,363.33,377.33
420399,120,M GREEN,Cocks Standard,0,0
420400,120,PINK,Cocks Standard,0,0
420401,120,WHITE,Cocks Standard,1230.33,1723.33
420402,120-C,BURGUNDY,Cocks Standard,0,0
420403,120-C,GREEN,Cocks Standard,0,0
420404,120-C,IVORY,Cocks Standard,0,0
420405,120-C,M GREEN,Cocks Standard,0,0
420406,120-C,PINK,Cocks Standard,0,0
420407,120-C,WHITE,Cocks Standard,2160,3412
420408,120-M,BURGUNDY,Cocks Standard,0,0
420409,120-M,GREEN,Cocks Standard,0,0
420410,120-M,IVORY,Cocks Standard,720,0
420411,120-M,M GREEN,Cocks Standard,0,0
420412,120-M,PINK,Cocks Standard,0,0
420413,120-M,WHITE,Cocks Standard,1980,1150
420414,120-R,BURGUNDY,Cocks Standard,0,0
420415,120-R,GREEN,Cocks Standard,0,0
420416,120-R,IVORY,Cocks Standard,840,214
420417,120-R,M GREEN,Cocks Standard,0,0
420418,120-R,PINK,Cocks Standard,0,0
420419,120-R,WHITE,Cocks Standard,440,340
420420,120-S,BURGUNDY,Cocks Standard,0,0
420421,120-S,GREEN,Cocks Standard,0,0
420422,120-S,IVORY,Cocks Standard,150,8
420423,120-S,M GREEN,Cocks Standard,0,0
420424,120-S,PINK,Cocks Standard,0,0
420425,120-S,WHITE,Cocks Standard,9550.67,10841.67
420426,120-W,BURGUNDY,Cocks Standard,0,0
420427,120-W,GREEN,Cocks Standard,0,0
420428,120-W,IVORY,Cocks Standard,420,0
420429,120-W,M GREEN,Cocks Standard,0,0
420430,120-W,PINK,Cocks Standard,0,0
420431,120-W,WHITE,Cocks Standard,570,0
420432,120-WS,BURGUNDY,Cocks Standard,0,0
420433,120-WS,GREEN,Cocks Standard,0,0
420434,120-WS,IVORY,Cocks Standard,13650,21678
420435,120-WS,M GREEN,Cocks Standard,0,0
420436,120-WS,PINK,Cocks Standard,0,0
420437,120-WS,WHITE,Cocks Standard,35933.33,53137.33
420438,121,BLUE,Cocks Standard,0,0
420439,121,BURGUNDY,Cocks Standard,0,0
420440,121,GREEN,Cocks Standard,0,0
420441,121,IVORY,Cocks Standard,27974.33,14147.33
420442,121,M GREEN,Cocks Standard,0,0
420443,121,PINK,Cocks Standard,72,202
420444,121,WHITE,Cocks Standard,25206.67,12049.67
420445,121-1E,,Cocks Standard,0,0
420446,121-A,IVORY,Cocks Standard,0,0
420447,121-A,WHITE,Cocks Standard,198,294
420448,121-AB,BLACK,Cocks Standard,0,0
420449,121-ABF,BLACK,Cocks Standard,0,0
420450,121-AF,WHITE,Cocks Standard,0,0
420451,121-AP,IVORY,Cocks Standard,418,266
420452,121-AP,WHITE,Cocks Standard,132,21
420453,121-APF,IVORY,Cocks Standard,0,0
420454,121-AS,IVORY,Cocks Standard,1100,2057
420455,121-AS,WHITE,Cocks Standard,116,0
420456,121-ASF,IVORY,Cocks Standard,0,0
420457,121-ASF,WHITE,Cocks Standard,0,0
420458,121-B,BURGUNDY,Cocks Standard,0,0
420459,121-B,GREEN,Cocks Standard,0,0
420460,121-B,IVORY,Cocks Standard,0,0
420461,121-B,M GREEN,Cocks Standard,0,0
420462,121-B,PINK,Cocks Standard,0,0
420463,121-B,WHITE,Cocks Standard,137,0
420464,121-BF,WHITE,Cocks Standard,180,226
420465,121-C,,Cocks Standard,132,132
420466,121-C,BURGUNDY,Cocks Standard,0,0
420467,121-C,GREEN,Cocks Standard,0,0
420468,121-C,IVORY,Cocks Standard,0,0
420469,121-C,M GREEN,Cocks Standard,0,0
420470,121-C,WHITE,Cocks Standard,992.67,3.67
420471,121-CF,,Cocks Standard,44,110
420472,121-D,,Cocks Standard,0,0
420473,121-E,BURGUNDY,Cocks Standard,0,0
420474,121-E,GREEN,Cocks Standard,0,0
420475,121-E,IVORY,Cocks Standard,0,0
420476,121-E,M GREEN,Cocks Standard,0,0
420477,121-E,PINK,Cocks Standard,0,0
420478,121-E,WHITE,Cocks Standard,798.33,644.33
420479,121-EB,IVORY,Cocks Standard,396,0
420480,121-EB,WHITE,Cocks Standard,550,816
420481,121-EBF,,Cocks Standard,0,0
420482,121-F,IVORY,Cocks Standard,0,0
420483,121-F,WHITE,Cocks Standard,36,32
420484,121-FB,BLUE,Cocks Standard,0,0
420485,121-FHG,,Cocks Standard,0,0
420486,121-FHP,,Cocks Standard,0,0
420487,121-FHR,,Cocks Standard,0,0
420488,121-FHW,,Cocks Standard,3.33,13.33
420489,121-FP,,Cocks Standard,0,0
420490,121-H,BURGUNDY,Cocks Standard,0,0
420491,121-H,GREEN,Cocks Standard,0,0
420492,121-H,IVORY,Cocks Standard,330,0
420493,121-H,M GREEN,Cocks Standard,0,0
420494,121-H,PINK,Cocks Standard,0,0
420495,121-H,WHITE,Cocks Standard,1166,0
420496,121-HG,,Cocks Premium,0,0
420497,121-HP,,Cocks Premium,0,0
420498,121-HR,223,Cocks Premium,220,94
420499,121-HW,,Cocks Premium,66,68
420500,121-I,IVORY,Cocks Standard,0,0
420501,121-I,WHITE,Cocks Standard,0,0
420502,121-IG,,Cocks Premium,16,0
420503,121-IP,,Cocks Premium,16,0
420504,121-IR,,Cocks Premium,64,41
420505,121-IW,,Cocks Premium,0,0
420506,121-JJM,IVORY,Cocks Standard,0,0
420507,121-JJM,PINK,Cocks Standard,0,0
420508,121-JJM,WHITE,Cocks Standard,0,0
420509,121-K,WHITE,Cocks Standard,66,0
420510,121-KF,WHITE,Cocks Standard,0,0
420511,121-L,IVORY,Cocks Standard,0,0
420512,121-L,WHITE,Cocks Standard,0,0
420513,121-LG,,Cocks Premium,0,0
420514,121-LP,,Cocks Premium,0,0
420515,121-LR,,Cocks Premium,0,0
420516,121-LSF,,Cocks Standard,0,0
420517,121-LSFB,BLUE,Cocks Standard,36,8
420518,121-LW,,Cocks Premium,0,0
420519,121-N,,Cocks Standard,0,0
420520,121-O,,Cocks Standard,0,2
420521,121-O,BLUE,Cocks Standard,0,0
420522,121-O,BURGUNDY,Cocks Standard,0,0
420523,121-O,GREEN,Cocks Standard,0,0
420524,121-O,IVORY,Cocks Standard,3276,4675
420525,121-O,M GREEN,Cocks Standard,0,0
420526,121-O,PINK,Cocks Standard,756,1084
420527,121-O,WHITE,Cocks Standard,13004,3974
420528,121-P,BURGUNDY,Cocks Standard,0,0
420529,121-P,GREEN,Cocks Standard,0,0
420530,121-P,IVORY,Cocks Standard,180,0
420531,121-P,M GREEN,Cocks Standard,0,0
420532,121-P,PINK,Cocks Standard,0,0
420533,121-P,WHITE,Cocks Standard,156,266
420534,121-PF,,Cocks Standard,0,0
420535,121-PR,,Cocks Standard,0,0
420536,121-R,BURGUNDY,Cocks Standard,0,0
420537,121-R,GREEN,Cocks Standard,0,0
420538,121-R,IVORY,Cocks Standard,256,606
420539,121-R,M GREEN,Cocks Standard,0,0
420540,121-R,PINK,Cocks Standard,0,0
420541,121-R,WHITE,Cocks Standard,133,128
420542,121-RG,,Cocks Premium,40,231
420543,121-RP,,Cocks Premium,0,0
420544,121-RR,,Cocks Premium,37,12
420545,121-RW,,Cocks Premium,32,30
420546,121-S,BURGUNDY,Cocks Standard,0,0
420547,121-S,GREEN,Cocks Standard,0,0
420548,121-S,IVORY,Cocks Standard,612,528
420549,121-S,M GREEN,Cocks Standard,0,0
420550,121-S,PINK,Cocks Standard,0,0
420551,121-S,WHITE,Cocks Standard,648,0
420552,121-SG,,Cocks Premium,6.67,0
420553,121-SP,,Cocks Premium,396,856
420554,121-SR,,Cocks Premium,2225.67,800.67
420555,121-SW,,Cocks Premium,0,0
420556,121-V,BURGUNDY,Cocks Standard,0,0
420557,121-V,GREEN,Cocks Standard,0,0
420558,121-V,IVORY,Cocks Standard,216,30
420559,121-V,M GREEN,Cocks Standard,0,0
420560,121-V,PINK,Cocks Standard,0,0
420561,121-V,WHITE,Cocks Standard,0,0
420562,121-VG,,Cocks Premium,0,0
420563,121-VP,,Cocks Premium,396,648
420564,121-VR,,Cocks Premium,108,8
420565,121-VW,,Cocks Premium,0,0
420566,121-W,,Cocks Standard,0,0
420567,122,,Cocks Standard,0,0
420568,122-O,BURGUNDY,Cocks Standard,0,0
420569,122-O,GREEN,Cocks Standard,0,0
420570,122-O,IVORY,Cocks Standard,0,0
420571,122-O,M GREEN,Cocks Standard,0,0
420572,122-O,PINK,Cocks Standard,0,0
420573,122-O,WHITE,Cocks Standard,0,0
420574,123,BLUE,Cocks Standard,20,0
420575,123,BURGUNDY,Cocks Standard,0,0
420576,123,GREEN,Cocks Standard,0,0
420577,123,IVORY,Cocks Standard,12491.67,8839.67
420578,123,M GREEN,Cocks Standard,0,0
420579,123,PINK,Cocks Standard,180,25
420580,123,WHITE,Cocks Standard,3876.67,0
420581,123-3E,,Cocks Standard,0,0
420582,123-3U,,Cocks Standard,0,0
420583,123-A,IVORY,Cocks Standard,0,0
420584,123-A,WHITE,Cocks Standard,20,0
420585,123-AB,BLACK,Cocks Standard,0,0
420586,123-ABF,BLACK,Cocks Standard,0,0
420587,123-ABN,,Cocks Standard,0,0
420588,123-AF,IVORY,Cocks Standard,0,0
420589,123-AF,WHITE,Cocks Standard,61.33,40.33
420590,123-AN,WHITE,Cocks Standard,0,0
420591,123-B,,Cocks Standard,0,0
420592,123-C,BURGUNDY,Cocks Standard,0,0
420593,123-C,GREEN,Cocks Standard,0,0
420594,123-C,IVORY,Cocks Standard,0,0
420595,123-C,M GREEN,Cocks Standard,0,0
420596,123-C,PINK,Cocks Standard,0,0
420597,123-C,WHITE,Cocks Standard,1361.67,718.67
420598,123-CF,BURGUNDY,Cocks Standard,0,0
420599,123-CF,GREEN,Cocks Standard,0,0
420600,123-CF,IVORY,Cocks Standard,0,0
420601,123-CF,M GREEN,Cocks Standard,0,0
420602,123-CF,PINK,Cocks Standard,0,0
420603,123-CF,WHITE,Cocks Standard,546,531
420604,123-CN,BURGUNDY,Cocks Standard,0,0
420605,123-CN,GREEN,Cocks Standard,0,0
420606,123-CN,IVORY,Cocks Standard,0,0
420607,123-CN,M GREEN,Cocks Standard,0,0
420608,123-CN,PINK,Cocks Standard,0,0
420609,123-CN,WHITE,Cocks Standard,0,0
420610,123-D,BURGUNDY,Cocks Standard,0,0
420611,123-D,GREEN,Cocks Standard,0,0
420612,123-D,IVORY,Cocks Standard,44,0
420613,123-D,M GREEN,Cocks Standard,0,0
420614,123-D,PINK,Cocks Standard,0,0
420615,123-D,WHITE,Cocks Standard,44,64
420616,123-DB,BLACK,Cocks Standard,308,564
420617,123-DG,33,Cocks Premium,11,0
420618,123-DP,,Cocks Premium,36.33,0
420619,123-DR,61,Cocks Premium,429,293
420620,123-DW,,Cocks Premium,11,0
420621,123-E,BURGUNDY,Cocks Standard,0,0
420622,123-E,GREEN,Cocks Standard,0,0
420623,123-E,IVORY,Cocks Standard,0,0
