code,issued_demand,would_join_if_hyphens_stripped
111-H,0.0,False
111-WH,0.0,False
1151,0.0,False
118-W,0.0,False
121-1E,0.0,False
121-D,0.0,False
121-FP,0.0,False
121-JJM,0.0,False
121-N,0.0,False
121-PR,0.0,False
121-W,0.0,False
122,0.0,False
123-3E,0.0,False
123-3U,0.0,False
123-B,0.0,False
1231F,0.0,True
124-4E,0.0,False
124-4U,0.0,False
124-PR,0.0,False
126-I,0.0,False
127-7E,0.0,False
128 X,0.0,False
1281,0.0,False
129-9E,0.0,False
129-9U,0.0,False
129-PR,0.0,False
129-RH,0.0,False
129I,0.0,True
129QW,0.0,True
130-0E,0.0,False
130-0U,0.0,False
130-I N,0.0,False
130C,0.0,True
131-B,0.0,False
131-F,0.0,False
131-G,0.0,False
131-NP,0.0,False
131-PR,0.0,False
131-S,0.0,False
131-W,0.0,False
1311-W,0.0,False
132-2E,0.0,False
132-2U,0.0,True
132-PR,0.0,False
1322,0.0,False
1322-A,0.0,False
132I,0.0,True
132T,0.0,True
133,0.0,False
133-3E,0.0,False
133-3U,0.0,False
1331,0.0,False
133C-NEW,0.0,False
133NEW,0.0,True
135-O,0.0,False
1375-P,0.0,False
1375-SG,0.0,False
1375-SR,0.0,False
1375-SW,0.0,False
1431-E,0.0,False
144-4E,0.0,False
144-4U,0.0,False
144-PR,0.0,False
145-5E,0.0,False
145-5U,0.0,False
145-PR,0.0,False
146-BP,0.0,False
147-7E,0.0,False
147-BB,0.0,False
147-BP,0.0,False
147-PR,0.0,False
148-BP,0.0,False
148-C,0.0,False
151L,0.0,False
1812,0.0,False
182,0.0,False
1872,0.0,False
1882,0.0,False
1892,0.0,False
190-C,0.0,False
191-A,0.0,False
191-C,0.0,False
193,0.0,False
194-A,0.0,False
195-A,0.0,False
195-C,0.0,False
1951-A,0.0,False
196-A,0.0,False
196-IV,0.0,False
198-A,0.0,False
200-A,0.0,False
321-K,0.0,False
322-K,0.0,True
323-HK,0.0,False
323-K,16407.0,True
323-ZK,0.0,False
324-HK,0.0,False
324-K,15286.0,True
324-ZK,0.0,False
325-HK,0.0,False
325-K,1082.0,True
325-ZK,0.0,False
326-HK,0.0,False
326-K,3052.0,True
326-ZK,0.0,False
328 K,0.0,False
328-ZK,0.0,False
330-ZK,0.0,False
332-ZK,0.0,False
348-K,0.0,True
350-K,0.0,False
363,0.0,False
400-S,0.0,False
411,3.33,False
501-N,0.0,True
501-S,0.0,True
503-N,0.0,True
505,0.0,False
513-EWC,846.67,False
520,0.0,False
520N,0.0,False
5211N,0.0,False
5221N,0.0,False
554-F,0.0,False
701-N,82.67,True
B-151,0.0,False
B-152,0.0,False
B-153,0.0,False
B-161,0.0,False
B-162,0.0,False
B-163,0.0,False
B-167,0.0,False
B-168,0.0,False
B-169,0.0,False
B-173,0.0,False
B-174,0.0,False
B-175,0.0,False
BEA-44A,0.0,False
BEA-47A,0.0,False
BEA-47AB,0.0,False
BEA-84,0.0,False
BEA-84B,0.0,False
BEA-84T,0.0,False
CNS-15,70.0,False
CNS-20,6.67,False
DB-02 L,0.0,True
H-86,0.0,False
H-87,0.0,False
H-88,0.0,False
N-151,0.0,False
N-152,0.0,False
N-153,0.0,False
PP-01,0.0,False
PP-02,0.0,False
PTA-1,19.33,False
PTA-12,53.0,False
PTA-13,22.67,False
PTA-14,247.67,False
PTA-15,140.0,False
PTA-17,0.0,False
PTA-18,172.0,False
PTA-2,0.0,False
PTA-21,0.0,False
PTA-22,20.67,False
PTA-25,0.0,False
PTA-26,32.0,False
PTA-27,0.0,False
PTA-3,31.33,False
PTA-32,0.0,False
PTA-33,16.33,False
PTA-34,0.0,False
PTA-36,9.67,False
PTA-4,0.0,False
PTA-44,0.0,False
PTA-48,42.0,False
PTA-49,264.33,False
PTA-5,0.0,False
PTA-50,16.67,False
PTA-53,230.67,False
PTA-54,1358.0,False
PTA-55,75.33,False
PTA-56,0.0,False
PTA-57,0.0,False
PTA-58,0.0,False
PTA-59,92.5,False
PTA-6,0.0,False
PTA-60,0.0,False
PTA-61,1002.5,False
PTA-62,572.0,False
PTA-63,0.0,False
PTA-64,0.0,False
PTA-65,0.0,False
PTA-66,8.0,False
PTA-67,1568.5,False
PTA-68,1344.5,False
PTA-69,0.0,False
PTA-7,0.0,False
PTA-70,0.0,False
PTA-71,155.0,False
PTA-72,49.67,False
PTA-73,89.33,False
PTA-74,22.33,False
PTA-76,208.67,False
PTA-77,0.0,False
PTA-78,242.0,False
PTA-79,60.33,False
PTA-80,44.33,False
PTA-81,0.0,False
PTA-82,0.0,False
PTA-83,0.0,False
PTA-84,61.67,False
PTA-85,20.0,False
PTA-9,0.0,False
