code,run2419_demand,source_path
PTA-67,1568.5,rate-list-only
PTA-54,1358.0,rate-list-only
PTA-68,1344.5,rate-list-only
PTA-61,1002.5,rate-list-only
513-EWC,846.67,rate-list-only
PTA-62,572.0,rate-list-only
PTA-49,264.33,rate-list-only
PTA-14,247.67,rate-list-only
PTA-78,242.0,rate-list-only
PTA-53,230.67,rate-list-only
PTA-76,208.67,rate-list-only
PTA-18,172.0,rate-list-only
PTA-71,155.0,rate-list-only
PTA-15,140.0,rate-list-only
PTA-59,92.5,rate-list-only
PTA-73,89.33,rate-list-only
PTA-55,75.33,rate-list-only
CNS-15,70.0,item-master/workbook
PTA-84,61.67,rate-list-only
PTA-79,60.33,rate-list-only
PTA-12,53.0,rate-list-only
PTA-72,49.67,rate-list-only
PTA-80,44.33,rate-list-only
PTA-48,42.0,rate-list-only
PTA-26,32.0,rate-list-only
PTA-3,31.33,rate-list-only
PTA-13,22.67,rate-list-only
PTA-74,22.33,rate-list-only
PTA-22,20.67,rate-list-only
PTA-85,20.0,rate-list-only
PTA-1,19.33,rate-list-only
PTA-50,16.67,rate-list-only
PTA-33,16.33,rate-list-only
PTA-36,9.67,rate-list-only
PTA-66,8.0,rate-list-only
CNS-20,6.67,item-master/workbook
411,3.33,rate-list-only
111-H,0.0,rate-list-only
111-WH,0.0,rate-list-only
1151,0.0,item-master/workbook
118-W,0.0,rate-list-only
121-1E,0.0,rate-list-only
121-D,0.0,rate-list-only
121-FP,0.0,rate-list-only
121-JJM,0.0,item-master/workbook
121-N,0.0,rate-list-only
121-PR,0.0,rate-list-only
121-W,0.0,rate-list-only
122,0.0,rate-list-only
123-3E,0.0,rate-list-only
123-3U,0.0,rate-list-only
123-B,0.0,rate-list-only
124-4E,0.0,rate-list-only
124-4U,0.0,rate-list-only
124-PR,0.0,rate-list-only
126-I,0.0,rate-list-only
127-7E,0.0,rate-list-only
128 X,0.0,rate-list-only
1281,0.0,rate-list-only
129-9E,0.0,rate-list-only
129-9U,0.0,rate-list-only
129-PR,0.0,rate-list-only
129-RH,0.0,rate-list-only
130-0E,0.0,rate-list-only
130-0U,0.0,rate-list-only
130-I N,0.0,rate-list-only
131-B,0.0,rate-list-only
131-F,0.0,rate-list-only
131-G,0.0,rate-list-only
131-NP,0.0,item-master/workbook
131-PR,0.0,rate-list-only
131-S,0.0,rate-list-only
131-W,0.0,rate-list-only
1311-W,0.0,rate-list-only
132-2E,0.0,rate-list-only
132-PR,0.0,rate-list-only
1322,0.0,rate-list-only
1322-A,0.0,rate-list-only
133,0.0,rate-list-only
133-3E,0.0,rate-list-only
133-3U,0.0,rate-list-only
1331,0.0,rate-list-only
133C-NEW,0.0,rate-list-only
135-O,0.0,rate-list-only
1375-P,0.0,item-master/workbook
1375-SG,0.0,item-master/workbook
1375-SR,0.0,item-master/workbook
1375-SW,0.0,item-master/workbook
1431-E,0.0,rate-list-only
144-4E,0.0,rate-list-only
144-4U,0.0,rate-list-only
144-PR,0.0,rate-list-only
145-5E,0.0,rate-list-only
145-5U,0.0,rate-list-only
145-PR,0.0,rate-list-only
146-BP,0.0,item-master/workbook
147-7E,0.0,rate-list-only
147-BB,0.0,rate-list-only
147-BP,0.0,item-master/workbook
