code,mrp_series,prayag_category,avg3_monthly,stock,pending_current,dummy_pending_last_month,prayag_sheet_demand,prayag_sheet_raw_production_required,source_rows
124-T,Special Cock,Cocks Standard,0.0,0.0,0.0,0.0,0.0,0.0,1
146-D,Delta,Accessorise,0.0,0.0,0.0,0.0,0.0,0.0,1
146-I,Ibix,Accessorise,0.0,0.0,0.0,0.0,0.0,0.0,1
146-R,Ovian,Accessorise,0.0,0.0,0.0,0.0,0.0,0.0,1
148-D,Delta,Accessorise,0.0,0.0,0.0,0.0,0.0,0.0,1
148-I,Ibix,Accessorise,0.0,0.0,0.0,0.0,0.0,0.0,1
148-R,Ovian,Accessorise,0.0,0.0,0.0,0.0,0.0,0.0,1
322,P.V.C. Connections,P.V.C. Connections,100.0,691.0,0.0,0.0,0,-541.0,1
323-H,P.V.C. Connections,P.V.C. Connections,1766.666667,2866.0,0.0,0.0,0,-216.0,1
324-H,P.V.C. Connections,P.V.C. Connections,3060.333333,610.0,0.0,347.0,4327.5,4327.5,1
325-H,P.V.C. Connections,P.V.C. Connections,200.0,2095.0,0.0,0.0,0,-1795.0,1
326-H,P.V.C. Connections,P.V.C. Connections,533.3333333,650.0,100.0,0.0,250.0,250.0,1
3272-BC,Collapsible Waste Pipe,Waste Pipes,5000.0,588.0,0.0,0.0,6912.0,6912.0,1
3274-B,Collapsible Waste Pipe,Waste Pipes,33.33333333,421.0,0.0,0.0,0,-371.0,1
3274-BC,Collapsible Waste Pipe,Waste Pipes,0.0,385.0,0.0,0.0,0,-385.0,1
328-C,P.V.C. Connections,P.V.C. Connections,333.3333333,9.0,0.0,0.0,491.0,491.0,1
3461,Waste Pipes,Waste Pipes,10.0,260.0,0.0,0.0,0,-245.0,1
348,P.V.C. Connections,P.V.C. Connections,1563.333333,501.0,300.0,678.0,2822.0,2822.0,1
350,P.V.C. Connections,P.V.C. Connections,210.0,105.0,0.0,0.0,210.0,210.0,1
3727,Collapsible Waste Pipe,Waste Pipes,228.0,1339.0,0.0,0.0,0,-997.0,1
SF-02,Cistern's & Seat Cover's Accessories,Accessorise,4.0,0.0,20.0,0.0,26.0,26.0,1
