strict_key,source_count,raw_code_count,sources,raw_codes,current_admitted_variant_count,rate_list_variant_count,run2419_demand
1231F,4,2,item_master|mrp|prayag|rate_list,1231-F|1231F,2,2,0
129I,4,2,item_master|mrp|prayag|rate_list,129-I|129I,2,2,0
129QW,4,2,item_master|mrp|prayag|rate_list,129-QW|129QW,2,2,0
130C,4,2,item_master|mrp|prayag|rate_list,130-C|130C,2,2,115
1322U,2,2,mrp|rate_list,132-2U|1322-U,2,1,0
132I,4,2,item_master|mrp|prayag|rate_list,132-I|132I,2,2,0
132T,4,2,item_master|mrp|prayag|rate_list,132-T|132T,2,2,6099.67
133NEW,4,2,item_master|mrp|prayag|rate_list,133-NEW|133NEW,2,2,136
322K,2,2,mrp|rate_list,322-K|322K,2,1,0
323K,2,2,mrp|rate_list,323-K|323K,2,1,16407
324K,2,2,mrp|rate_list,324-K|324K,2,1,15286
325K,2,2,mrp|rate_list,325-K|325K,2,1,1082
326K,2,2,mrp|rate_list,326-K|326K,2,1,3052
348K,2,2,mrp|rate_list,348-K|348K,2,1,0
492B,1,2,rate_list,492-B|492B,2,2,0
493B,1,2,rate_list,493-B|493B,2,2,0
501N,4,2,item_master|mrp|prayag|rate_list,501-N|501N,2,1,0
501S,4,2,item_master|mrp|prayag|rate_list,501-S|501S,2,1,0
503N,4,2,item_master|mrp|prayag|rate_list,503-N|503N,2,1,0
5254S,1,2,rate_list,5254-S|5254S,2,2,0
701N,4,2,item_master|mrp|prayag|rate_list,701-N|701N,2,1,82.67
7305F,1,2,rate_list,7305 F|7305-F,2,2,0
7892NONOFFN,1,2,rate_list,7892 N-ON-OFF-N|7892N-ON-OFF-N,2,2,0
7903F,1,2,rate_list,7903 F|7903-F,2,2,0
7916F,1,2,rate_list,7916 F|7916-F,2,2,0
7918F,1,2,rate_list,7918 F|7918-F,2,2,0
7950F,1,2,rate_list,7950 F|7950-F,2,2,0
7952F,1,2,rate_list,7952-F|7952F,2,2,0
7965F,1,2,rate_list,7965 F|7965-F,2,2,0
7970F,1,2,rate_list,7970 F|7970-F,2,2,0
7992F,1,2,rate_list,7992 F|7992F,2,2,0
7992FN,1,2,rate_list,7992 F-N|7992F-N,2,2,0
7992FONOFFN,1,2,rate_list,7992 F-ON-OFF-N|7992F-ON-OFF-N,2,2,0
7995F,1,2,rate_list,7995 F|7995-F,2,2,0
7998F,1,2,rate_list,7998-F|7998F,2,2,0
9392NN,1,2,rate_list,9392 N-N|9392N-N,2,2,0
BB79F,1,2,rate_list,BB-79 F|BB-79F,2,2,0
