strict_key,source,raw_code,run2419_demand,source_count,current_admission_path,current_admitted_variant_count,rate_list_variant_count
1231F,item_master,1231-F,0,4,item_master,2,2
1231F,mrp,1231-F,0,4,item_master,2,2
1231F,prayag,1231-F,0,4,item_master,2,2
1231F,rate_list,1231-F,0,4,item_master,2,2
1231F,rate_list,1231F,0,4,rate_list,2,2
129I,item_master,129-I,0,4,item_master,2,2
129I,mrp,129-I,0,4,item_master,2,2
129I,prayag,129-I,0,4,item_master,2,2
129I,rate_list,129-I,0,4,item_master,2,2
129I,rate_list,129I,0,4,rate_list,2,2
129QW,item_master,129-QW,0,4,item_master,2,2
129QW,mrp,129-QW,0,4,item_master,2,2
129QW,prayag,129-QW,0,4,item_master,2,2
129QW,rate_list,129-QW,0,4,item_master,2,2
129QW,rate_list,129QW,0,4,rate_list,2,2
130C,item_master,130-C,115,4,item_master,2,2
130C,mrp,130-C,115,4,item_master,2,2
130C,prayag,130-C,115,4,item_master,2,2
130C,rate_list,130-C,115,4,item_master,2,2
130C,rate_list,130C,0,4,rate_list,2,2
1322U,mrp,1322-U,0,2,reviewed_catalogue,2,1
1322U,rate_list,132-2U,0,2,rate_list,2,1
132I,item_master,132-I,0,4,item_master,2,2
132I,mrp,132-I,0,4,item_master,2,2
132I,prayag,132-I,0,4,item_master,2,2
132I,rate_list,132-I,0,4,item_master,2,2
132I,rate_list,132I,0,4,rate_list,2,2
132T,item_master,132-T,6099.67,4,item_master,2,2
132T,mrp,132-T,6099.67,4,item_master,2,2
132T,prayag,132-T,6099.67,4,item_master,2,2
132T,rate_list,132-T,6099.67,4,item_master,2,2
132T,rate_list,132T,0,4,rate_list,2,2
133NEW,item_master,133-NEW,136,4,item_master,2,2
133NEW,mrp,133-NEW,136,4,item_master,2,2
133NEW,prayag,133-NEW,136,4,item_master,2,2
133NEW,rate_list,133-NEW,136,4,item_master,2,2
133NEW,rate_list,133NEW,0,4,rate_list,2,2
322K,mrp,322K,0,2,reviewed_catalogue,2,1
322K,rate_list,322-K,0,2,rate_list,2,1
323K,mrp,323K,0,2,reviewed_catalogue,2,1
