Item Code,Colour,Qty
101,WHITE,2041
101,IVORY,1095
102,WHITE,761
102,IVORY,36
103,WHITE,703
103,PINK,1835
103,IVORY,455
104,WHITE,13
104,IVORY,135
105,WHITE,234
105,IVORY,0
106,WHITE,32
106,IVORY,32
107,WHITE,0
107,IVORY,0
110,WHITE,0
110,IVORY,444
111,WHITE,2423
111,IVORY,1702
112,WHITE,473
112,IVORY,272
113,WHITE,1081
113,IVORY,524
114,WHITE,167
114,IVORY,1107
115,WHITE,343
115,IVORY,176
116,WHITE,60
116,IVORY,90
117,WHITE,0
117,IVORY,35
118,WHITE,206
118,IVORY,1212
119,WHITE,0
119,IVORY,17
120,WHITE,0
120,IVORY,0
121,WHITE,22725
121,PINK,144
121,GREEN,0
121,BLUE,164
121,IVORY,0
123,WHITE,10311
123,PINK,0
123,GREEN,0
123,BLUE,74
123,IVORY,0
124,WHITE,0
124,PINK,390
124,GREEN,0
124,BLUE,154
124,IVORY,0
127,WHITE,0
127,IVORY,0
128,WHITE,667
128,PINK,162
128,IVORY,0
129,WHITE,1092
129,PINK,0
129,GREEN,22
129,BLUE,15
129,IVORY,0
130,WHITE,0
130,PINK,61
130,GREEN,204
130,BLUE,333
130,IVORY,0
131,WHITE,0
131,IVORY,22
132,WHITE,0
132,PINK,0
132,BURGUNDY,648
132,IVORY,0
134,WHITE,0
134,IVORY,0
135,WHITE,3
135,IVORY,7
136,WHITE,791
136,IVORY,246
138,WHITE,70
138,IVORY,11
139,WHITE,1052
139,PINK,114
139,GREEN,0
139,BLUE,0
139,IVORY,1050
140,WHITE,0
140,IVORY,274
141,WHITE,0
141,IVORY,606
142,WHITE,0
142,PINK,418
142,GREEN,250
142,BLUE,634
142,IVORY,163
143,WHITE,0
143,PINK,320
143,GREEN,190
143,BLUE,604
143,IVORY,81
144,WHITE,0
144,PINK,982
144,GREEN,359
144,BLUE,0
144,IVORY,0
145,WHITE,0
145,PINK,0
145,GREEN,0
145,BLUE,57
145,IVORY,927
146,WHITE,433
146,IVORY,0
147,WHITE,0
147,PINK,0
147,IVORY,0
148,WHITE,0
148,IVORY,231
149,WHITE,0
149,IVORY,341
150,WHITE,16
150,IVORY,0
1501,WHITE,0
161,GOLD,0
162,GOLD,44
163,GOLD,0
164,GOLD,281
165,GOLD,428
166,GOLD,0
180,WHITE,61
180,IVORY,99
181,WHITE,369
181,PINK,0
181,GREEN,0
181,IVORY,792
183,WHITE,1624
183,PINK,0
183,GREEN,211
183,BLUE,43
183,IVORY,0
184,WHITE,41
184,IVORY,425
184,PINK,3
184,BLUE,0
186,WHITE,611
186,IVORY,0
187,WHITE,0
187,PINK,0
187,GREEN,44
187,BLUE,56
187,IVORY,0
188,WHITE,44
188,PINK,0
188,GREEN,128
188,BLUE,57
188,IVORY,456
189,WHITE,133
189,PINK,0
189,IVORY,0
190,WHITE,200
190,IVORY,107
191,WHITE,674
191,IVORY,106
192,WHITE,108
192,IVORY,140
194,WHITE,265
194,IVORY,0
195,WHITE,0
195,IVORY,1556
196,WHITE,24
196,IVORY,110
197,WHITE,133
197,IVORY,190
198,WHITE,39
198,IVORY,127
199,WHITE,0
199,IVORY,41
200,WHITE,467
200,IVORY,415
201,WHITE,519
201,IVORY,1497
202,WHITE,240
202,IVORY,520
221,WHITE,2947
221,IVORY,932
222,WHITE,654
222,IVORY,104
225,IVORY,31
231,WHITE,439
231,IVORY,1108
232,WHITE,0
232,IVORY,80
233,WHITE,24
233,IVORY,54
331,WHITE,513
331,IVORY,237
332,WHITE,0
332,IVORY,7437
333,WHITE,62
333,IVORY,300
334,IVORY,0
335,IVORY,0
336,IVORY,155
337,WHITE,1527
337,IVORY,4825
521,WHITE,12
521,IVORY,33
522,WHITE,19
522,IVORY,0
551,WHITE,0
551,IVORY,0
552,WHITE,57
552,IVORY,85
553,WHITE,27
553,IVORY,54
554,WHITE,118
554,IVORY,97
555,WHITE,62
555,IVORY,5
556,WHITE,1
556,IVORY,0
557,WHITE,14
557,IVORY,76
571,WHITE,0
571,IVORY,21
572,WHITE,0
572,IVORY,10
575,WHITE,1024
575,IVORY,506
661,WHITE,30
661,IVORY,26
662,WHITE,0
662,IVORY,0
663,WHITE,17
663,IVORY,22
665,WHITE,5
665,IVORY,6
666,WHITE,13
666,IVORY,8
667,WHITE,19
667,IVORY,10
1111,WHITE,387
1111,IVORY,1014
1151,WHITE,5
1151,IVORY,223
1191,WHITE,147
1191,IVORY,301
1231,WHITE,151
1231,IVORY,99
1241,WHITE,60
1241,IVORY,187
1291,WHITE,0
1291,IVORY,0
1311,WHITE,89
1311,IVORY,50
1321,WHITE,23
1321,BURGUNDY,26
1321,IVORY,0
1322,WHITE,24
1322,IVORY,153
1323,WHITE,141
1323,IVORY,41
1331,WHITE,134
1331,IVORY,59
1332,WHITE,23
1332,IVORY,39
1341,WHITE,0
1341,IVORY,0
1351,WHITE,0
1351,IVORY,6
1375,WHITE,0
1375,IVORY,0
1391,WHITE,709
1391,IVORY,0
1411,WHITE,158
1411,IVORY,4
1421,WHITE,136
1421,IVORY,172
1431,WHITE,12
1431,IVORY,212
1441,WHITE,0
1441,IVORY,222
1451,WHITE,77
1451,IVORY,0
1461,WHITE,100
1461,IVORY,368
1471,WHITE,26
1471,IVORY,80
1481,WHITE,306
1481,IVORY,162
1491,WHITE,216
1491,IVORY,35
1811,WHITE,11
1811,IVORY,241
1813,WHITE,215
1813,IVORY,174
1813,PINK,30
1814,WHITE,29
1814,IVORY,100
1815,WHITE,66
1815,IVORY,222
1816,WHITE,61
1816,IVORY,89
1817,WHITE,74
1817,IVORY,982
1821,WHITE,491
1821,IVORY,43
1831,WHITE,0
1831,IVORY,4
1841,WHITE,50
1841,IVORY,318
1842,WHITE,8
1842,IVORY,48
1861,WHITE,0
1861,IVORY,482
1871,WHITE,0
1871,IVORY,2
1881,WHITE,24
1881,IVORY,11
1891,WHITE,27
1891,IVORY,302
1951,WHITE,51
1951,IVORY,1058
1961,WHITE,81
1961,IVORY,87
5211,WHITE,197
5211,IVORY,0
5221,WHITE,37
5221,IVORY,37
121-A,WHITE,0
121-A,IVORY,117
123-A,WHITE,44
123-A,IVORY,111
124-A,WHITE,192
124-A,IVORY,86
127-A,WHITE,56
127-A,IVORY,0
129-A,WHITE,33
129-A,IVORY,0
130-A,WHITE,136
130-A,IVORY,0
131-A,WHITE,0
131-A,IVORY,79
132-A,WHITE,52
132-A,IVORY,1
133-A,WHITE,27
133-A,IVORY,0
135-A,WHITE,0
134-A,WHITE,9
144-A,WHITE,0
144-A,IVORY,102
145-A,WHITE,12
145-A,IVORY,0
146-A,WHITE,39
147-A,WHITE,50
147-A,IVORY,0
149-A,WHITE,19
149-A,IVORY,120
150-A,WHITE,8
180-A,WHITE,478
180-A,IVORY,3399
194-A,.,32
200-A,.,133
1322-A,WHITE,0
1322-A,IVORY,0
1375-A,WHITE,6
121-AB,BLACK,97
123-AB,BLACK,64
124-AB,BLACK,184
145-AB,WHITE,15
124-ABF,BLACK,147
121-AP,WHITE,507
121-AP,IVORY,0
124-AP,WHITE,61
124-AP,IVORY,0
127-AP,WHITE,37
127-AP,IVORY,153
129-AP,WHITE,78
129-AP,IVORY,0
130-AP,WHITE,22
130-AP,IVORY,87
132-AP,WHITE,16
132-AP,IVORY,52
133-AP,WHITE,87
133-AP,IVORY,56
144-AP,WHITE,53
144-AP,IVORY,0
145-AP,WHITE,22
145-AP,IVORY,0
147-AP,WHITE,0
147-AP,IVORY,0
149-AP,IVORY,59
1322-AP,WHITE,17
1322-AP,IVORY,0
124-APF,IVORY,0
121-AS,WHITE,661
121-AS,IVORY,21
124-AS,WHITE,599
124-AS,IVORY,36
127-AS,WHITE,234
127-AS,IVORY,101
129-AS,WHITE,60
129-AS,IVORY,55
130-AS,WHITE,212
130-AS,IVORY,60
132-AS,WHITE,50
132-AS,IVORY,54
133-AS,WHITE,71
133-AS,IVORY,34
144-AS,WHITE,491
144-AS,IVORY,12
145-AS,WHITE,51
145-AS,IVORY,26
147-AS,WHITE,14
147-AS,IVORY,40
149-AS,WHITE,49
149-AS,IVORY,63
1322-AS,WHITE,199
1322-AS,IVORY,11
121-ASF,WHITE,13
124-ASF,IVORY,17
1375-ASF,,12
123-AF,WHITE,0
123-AF,IVORY,135
124-AF,WHITE,46
124-AF,IVORY,270
124-BF,WHITE,148
124-BF,IVORY,28
123-ABF,BLACK,64
147-AQ,WHITE,9
121-B,WHITE,161
121-B,IVORY,392
124-B,WHITE,276
124-B,IVORY,26
127-B,WHITE,91
127-B,IVORY,0
129-B,WHITE,0
129-B,IVORY,83
130-B,WHITE,18
130-B,IVORY,58
132-B,WHITE,0
132-B,IVORY,23
133-B,WHITE,80
133-B,IVORY,99
134-B,WHITE,54
134-B,IVORY,13
135-B,WHITE,0
135-B,IVORY,5
144-B,WHITE,23
144-B,IVORY,508
145-B,WHITE,126
145-B,IVORY,51
146-B,WHITE,145
146-B,IVORY,21
147-B,WHITE,0
147-B,IVORY,0
148-B,WHITE,123
148-B,IVORY,25
149-B,WHITE,52
149-B,IVORY,55
180-B,WHITE,87
180-B,IVORY,133
1322-B,WHITE,10
1322-B,IVORY,290
1375-B,WHITE,6
1375-B,IVORY,0
1813-B,WHITE,0
1813-B,PINK,0
1813-B,BLUE,0
1813-B,IVORY,200
147-BB,WHITE,0
1813-BG,GOLD,4
1813-BR,R BLUE,41
1813-BW,WINE,0
1813-BP,PEACH,16
123-DB,BLACK,11
124-DB,BLACK,40
127-DB,BLACK,44
129-DB,BLACK,16
130-DB,BLACK,54
132-DB,BLACK,30
133-DB,BLACK,75
134-DB,BLACK,7
135-DB,BLACK,39
144-DB,BLACK,86
145-DB,BLACK,114
147-DB,BLACK,23
150-DB,BLACK,6
1322-DB,BLACK,60
1375-DB,BLACK,9
146-BO,WHITE,63
148-BO,WHITE,7
120-C,WHITE,0
120-C,IVORY,53
121-C,WHITE,212
121-C,IVORY,103
123-C,WHITE,382
123-C,IVORY,69
124-C,WHITE,559
124-C,IVORY,171
127-C,WHITE,351
127-C,IVORY,0
129-C,WHITE,83
129-C,IVORY,144
130-C,WHITE,341
130-C,IVORY,437
131-C,WHITE,67
131-C,IVORY,44
132-C,WHITE,0
132-C,IVORY,99
133-C,WHITE,87
133-C,IVORY,175
134-C,WHITE,0
134-C,IVORY,23
135-C,WHITE,35
135-C,IVORY,4
141-C,WHITE,18
141-C,IVORY,0
142-C,WHITE,145
142-C,IVORY,0
143-C,WHITE,48
144-C,WHITE,271
144-C,IVORY,210
145-C,WHITE,41
145-C,IVORY,27
146-C,WHITE,74
146-C,IVORY,0
147-C,WHITE,217
147-C,IVORY,30
150-C,WHITE,17
150-C,IVORY,0
181-C,WHITE,0
181-C,PINK,112
181-C,GREEN,709
181-C,BLUE,99
181-C,IVORY,0
1311-C,WHITE,0
1311-C,IVORY,107
1375-C,WHITE,0
1375-C,IVORY,0
1491-C,WHITE,0
1491-C,IVORY,109
1811-C,WHITE,3
1811-C,IVORY,119
1813-C,WHITE,0
1813-C,PINK,0
1813-C,GREEN,0
1813-C,BLUE,278
1813-C,IVORY,0
1814-C,WHITE,27
1814-C,IVORY,70
1815-C,WHITE,699
1815-C,IVORY,313
1817-C,WHITE,0
1817-C,IVORY,0
1821-C,WHITE,0
1821-C,PINK,16
1821-C,IVORY,470
123-CF,WHITE,298
123-CF,IVORY,57
124-CF,WHITE,275
123-CN,WHITE,75
123-CN,IVORY,0
147-CQ,WHITE,20
147-CQ,IVORY,50
1811N-C,WHITE,11
1811N-C,IVORY,5
1814N-C,WHITE,289
1814N-C,IVORY,18
1814N-CP,WHITE,29
1813-CG,GOLD,98
1813-CP,PEACH,7
1813-CR,R BLUE,0
1813-CW,WINE,3
181-CG,GOLD,12
1814-CG,GOLD,59
1821-CG,GOLD,7
181-CP,PEACH,0
1814-CP,PEACH,46
1821-CP,PEACH,63
181-CR,R BLUE,0
1814-CR,R BLUE,28
1821-CR,R BLUE,11
1814N-CR,R BLUE,0
181-CW,WINE,0
1814-CW,WINE,26
1821-CW,WINE,48
123-D,WHITE,0
123-D,IVORY,144
124-D,WHITE,38
124-D,IVORY,8
127-D,WHITE,15
129-D,WHITE,0
129-D,IVORY,0
130-D,WHITE,0
130-D,IVORY,0
132-D,WHITE,0
132-D,IVORY,74
133-D,WHITE,2
133-D,IVORY,65
134-D,WHITE,9
134-D,IVORY,4
135-D,WHITE,0
135-D,IVORY,3
144-D,WHITE,221
144-D,IVORY,295
145-D,WHITE,3
145-D,IVORY,182
147-D,WHITE,13
147-D,IVORY,0
150-D,WHITE,13
150-D,IVORY,0
1322-D,WHITE,0
1322-D,IVORY,26
1375-D,WHITE,32
1375-D,IVORY,4
123-DG,GOLD,0
124-DG,GOLD,5
129-DG,GOLD,7
130-DG,GOLD,3
132-DG,GOLD,0
133-DG,GOLD,0
134-DG,GOLD,0
144-DG,GOLD,84
145-DG,GOLD,0
147-DG,GOLD,0
1322-DG,GOLD,0
1375-DG,GOLD,0
123-DP,PEACH,111
