item_code,division,series,product_name,discontinued_from,checked_by,status_note
6103-S,CP Fittings / Faucets,EMERALD 61,Pillar Cock Tall Body (Small),2026-08-01,Preeti,Removed from 01st Aug
6107,CP Fittings / Faucets,EMERALD 61,Concealed Wall Mount Pillar Cock,2026-08-01,Preeti,Removed from 01st Aug
6150,CP Fittings / Faucets,EMERALD 61,Center Hole Basin Mixer without Popup,2026-08-01,Preeti,Removed from 01st Aug
6152,CP Fittings / Faucets,EMERALD 61,Single Lever Basin Mixer Tall Body without Popup Waste System,2026-08-01,Preeti,Removed from 01st Aug
6154-S,CP Fittings / Faucets,EMERALD 61,Single Lever Basin Mixer Wall Mount (Concealed),2026-08-01,Preeti,Removed from 01st Aug
616-D,PTMT & Plastic Fittings,600 SERIES 204 SUPER STEEL (0.85 MM),SOLO REGULAR SINGLE BOWL,2026-09-01,Preeti,Removed from 01st Aug
616-DM,PTMT & Plastic Fittings,600 SERIES 204 SUPER STEEL (0.85 MM),SOLO REGULAR SINGLE BOWL,2026-09-01,Preeti,Removed from 01st Aug
6170,CP Fittings / Faucets,EMERALD 61,Wall Mixer Telephonic with Crutch & Wall Flange (Provision For Hand Sh,2026-08-01,Preeti,Removed from 01st Aug
618-D,PTMT & Plastic Fittings,600 SERIES 204 SUPER STEEL (0.85 MM),SOLO REGULAR SINGLE BOWL,2026-09-01,Preeti,Removed from 01st Aug
618-DM,PTMT & Plastic Fittings,600 SERIES 204 SUPER STEEL (0.85 MM),SOLO REGULAR SINGLE BOWL,2026-09-01,Preeti,Removed from 01st Aug
6180,CP Fittings / Faucets,EMERALD 61,Wall Mixer 3 In 1 with Wall Flange (Provision For Over Head Shower & H,2026-08-01,Preeti,Removed from 01st Aug
6194,CP Fittings / Faucets,EMERALD 61,Concealed 4 Way Diverter Set Hot & Cold with Built-In Non Return Valve,2026-08-01,Preeti,Removed from 01st Aug
6198,CP Fittings / Faucets,EMERALD 61,Flush Cock 25mm Half Turn with Adjustable Flange,2026-08-01,Preeti,Removed from 01st Aug
620-D,PTMT & Plastic Fittings,600 SERIES 204 SUPER STEEL (0.85 MM),SOLO REGULAR SINGLE BOWL,2026-09-01,Preeti,Removed from 01st Aug
620-DM,PTMT & Plastic Fittings,600 SERIES 204 SUPER STEEL (0.85 MM),SOLO REGULAR SINGLE BOWL,2026-09-01,Preeti,Removed from 01st Aug
622-D,PTMT & Plastic Fittings,600 SERIES 204 SUPER STEEL (0.85 MM),SOLO REGULAR SINGLE BOWL,2026-09-01,Preeti,Removed from 01st Aug
622-DM,PTMT & Plastic Fittings,600 SERIES 204 SUPER STEEL (0.85 MM),SOLO REGULAR SINGLE BOWL,2026-09-01,Preeti,Removed from 01st Aug
623-D,PTMT & Plastic Fittings,600 SERIES 204 SUPER STEEL (0.85 MM),SOLO REGULAR SINGLE BOWL,2026-09-01,Preeti,Removed from 01st Aug
623-DM,PTMT & Plastic Fittings,600 SERIES 204 SUPER STEEL (0.85 MM),SOLO REGULAR SINGLE BOWL,2026-09-01,Preeti,Removed from 01st Aug
624-D,PTMT & Plastic Fittings,600 SERIES 204 SUPER STEEL (0.85 MM),SOLO REGULAR SINGLE BOWL,2026-09-01,Preeti,Removed from 01st Aug
624-DM,PTMT & Plastic Fittings,600 SERIES 204 SUPER STEEL (0.85 MM),SOLO REGULAR SINGLE BOWL,2026-09-01,Preeti,Removed from 01st Aug
624-SD,PTMT & Plastic Fittings,600 SERIES 204 SUPER STEEL (0.85 MM),SOLO REGULAR SINGLE BOWL,2026-09-01,Preeti,Removed from 01st Aug
624-SDM,PTMT & Plastic Fittings,600 SERIES 204 SUPER STEEL (0.85 MM),SOLO REGULAR SINGLE BOWL,2026-09-01,Preeti,Removed from 01st Aug
624-XD,PTMT & Plastic Fittings,600 SERIES 204 SUPER STEEL (0.85 MM),SOLO REGULAR SINGLE BOWL,2026-09-01,Preeti,Removed from 01st Aug
624-XDM,PTMT & Plastic Fittings,600 SERIES 204 SUPER STEEL (0.85 MM),SOLO REGULAR SINGLE BOWL,2026-09-01,Preeti,Removed from 01st Aug
625-D,PTMT & Plastic Fittings,600 SERIES 204 SUPER STEEL (0.85 MM),SOLO REGULAR SINGLE BOWL,2026-09-01,Preeti,Removed from 01st Aug
625-DM,PTMT & Plastic Fittings,600 SERIES 204 SUPER STEEL (0.85 MM),SOLO REGULAR SINGLE BOWL,2026-09-01,Preeti,Removed from 01st Aug
6654-S,CP Fittings / Faucets,VINCENT 66,Single Lever Basin Mixer Wall Mount (Concealed),2026-08-01,Preeti,Removed from 01st Aug
6854-S,CP Fittings / Faucets,MARCUS 68,Single Lever Basin Mixer Wall Mount (Concealed),2026-08-01,Preeti,Removed from 01st Aug
8502,CP Fittings / Faucets,MIST 85,Pillar Cock,2026-08-01,Preeti,Removed from 01st Aug
8506,CP Fittings / Faucets,MIST 85,Bib Cock with Wall Flange,2026-08-01,Preeti,Removed from 01st Aug
8508,CP Fittings / Faucets,MIST 85,Bib Cock Long Body with Wall Flange,2026-08-01,Preeti,Removed from 01st Aug
8509,CP Fittings / Faucets,MIST 85,Bib Cock Long Nose with Wall Flange,2026-08-01,Preeti,Removed from 01st Aug
8510,CP Fittings / Faucets,MIST 85,Angular Stop Cock with Wall Flange,2026-08-01,Preeti,Removed from 01st Aug
8511,CP Fittings / Faucets,MIST 85,2-Way Angular Stop Cock with Wall Flange,2026-08-01,Preeti,Removed from 01st Aug
8512,CP Fittings / Faucets,MIST 85,2-Way Bib Cock Double Handle with Wall Flange,2026-08-01,Preeti,Removed from 01st Aug
8514,CP Fittings / Faucets,MIST 85,Swan Neck Table Mounted,2026-08-01,Preeti,Removed from 01st Aug
8516,CP Fittings / Faucets,MIST 85,Sink Cock Wall Mounted with Flange,2026-08-01,Preeti,Removed from 01st Aug
8518,CP Fittings / Faucets,MIST 85,Concealed Stop Cock 15mm with Wall Flange,2026-08-01,Preeti,Removed from 01st Aug
8520,CP Fittings / Faucets,MIST 85,Concealed Stop Cock 20mm with Wall Flange,2026-08-01,Preeti,Removed from 01st Aug
8526,CP Fittings / Faucets,MIST 85,Stop Cock 15mm (Male Thread),2026-08-01,Preeti,Removed from 01st Aug
8528,CP Fittings / Faucets,MIST 85,Stop Cock 15mm (Female Thread),2026-08-01,Preeti,Removed from 01st Aug
8550,CP Fittings / Faucets,MIST 85,Center Hole Basin Mixer without Popup,2026-08-01,Preeti,Removed from 01st Aug
8555,CP Fittings / Faucets,MIST 85,Sink Mixer with Regular Spout Wall Mounted with Flange,2026-08-01,Preeti,Removed from 01st Aug
8570,CP Fittings / Faucets,MIST 85,Wall Mixer Telephonic with Crutch & Wall Flange (Provision For Hand Sh,2026-08-01,Preeti,Removed from 01st Aug
