series,code_count,sample_codes
304 Super Steel (0.85 Mm),83,FT-02 · FT-02M · FT-03 · FT-03M
Garden Pipe,45,BR-345-BY · BR-345-TG · BR-345-TT · BR-346-BY
900 Series 304 Super Steel (0.85 Mm),43,911-D · 911-DM · 916 · 916-D
1200 Series 304 Super Steel (1.00 Mm),41,1216 · 1216-D · 1216-DM · 1218-D
Standard (New Handle),35,121 · 121-OSF · 123 · 123-F
Showers & Accessories,33,1178 · 1180 · 126 · 126-SQ
Standard (Old Handle),32,121-O · 121-OF · 122-O · 123-O
Helix,31,121-H · 121-HF · 123-FH · 123-H
Cobra,29,1323-C · 121-C · 121-CF · 123-C
Black Sapphire,29,121-AB · 121-ABF · 123-AB · 123-ABF
Diamond,29,121-P · 121-PF · 123-FP · 123-P
Helix (Gold),29,121-FHG · 121-HG · 123-FHG · 123-HG
Helix (Peach),29,121-FHP · 121-HP · 123-FHP · 123-HNP
Helix (Royal),29,121-FHR · 121-HR · 123-FHR · 123-HNR
Helix (Wine),29,121-FHW · 121-HW · 123-FHW · 123-HNW
Sapphire,29,121-A · 121-AF · 123-A · 123-AF
Erosa (Black),28,121-FBB · 121-LSFBB · 123-LSBB · 123-LSFBB
Erosa,28,121-F · 121-LSF · 123-LS · 123-LSF
Erosa (Blue),28,121-FB · 121-LSFB · 123-LSB · 123-LSFB
Erosa (Gold),28,121-FG · 121-LSFG · 123-LSFG · 123-LSG
Crystal,27,121-K · 121-KF · 123-K · 123-KF
Grand,27,121-E · 121-EF · 123-E · 123-EF
Roman,26,1231 · 1231-F · 1231-N · 1241
Ball Cocks,25,151 · 151-S · 152 · 153
Ovian,25,121-R · 122-R · 123-R · 124-R
Quadra,23,123-Q · 124-Q · 127-Q · 129-Q
Delta,22,123-D · 124-D · 127-D · 129-D
Ibix,21,121-I · 122-I · 123-I · 124-I
Ovian (Gold),20,121-RG · 122-RG · 123-RG · 124-RG
Ovian (Peach),20,121-RP · 122-RP · 123-RP · 124-RP
Ovian (Royal),20,121-RR · 122-RR · 123-RR · 124-RR
Ovian (Wine),20,121-RW · 122-RW · 123-RW · 124-RW
Waste Coupling,20,101 · 102 · 103 · 104
Lagoona,19,121-L · 122-L · 123-L · 124-L
Lagoona (Gold),19,121-LG · 122-LG · 123-LG · 124-LG
Lagoona (Peach),19,121-LP · 122-LP · 123-LP · 124-LP
