source_tab,code,name,range,range_name
PTMT,101,Waste Coupling 31/32mm (H/T),WASTE COUPLING,Waste Coupling
PTMT,102,Waste Coupling 38/40mm (F/T),WASTE COUPLING,Waste Coupling
PTMT,103,Waste Coupling 31/32mm (F/T),WASTE COUPLING,Waste Coupling
PTMT,104,Urinal Waste Coupling 31/32mm,WASTE COUPLING,Waste Coupling
PTMT,105,Bottle Trap 31/32mm,Bottle Trap,Bottle Trap
PTMT,106,Bottle Trap 38/40mm,Bottle Trap,Bottle Trap
PTMT,110,Bottle Trap Extension Pipe 6 inch (150mm),Bottle Trap,Bottle Trap
PTMT,111,Grating Round 100mm,Grating,Grating
PTMT,1111,Square Grating (Slit) 100mm (4 inch),Grating,Grating
PTMT,111-H,Grating Doom  (WITH WHOLE) 100MM,Grating,Grating
PTMT,112,Grating Doom 125mm (5 inch),Grating,Grating
PTMT,113,Grating Doom Waste Hole 125mm (5 inch),Grating,Grating
PTMT,114,Grating Round 140mm (5.5 inch),Grating,Grating
PTMT,115,Grating Square 150mm (6 inch),Grating,Grating
PTMT,1151,Grating Square 200mm (8 inch),Grating,Grating
PTMT,116,Grating Square with Hole 150mm (6 inch),Grating,Grating
PTMT,117,Cockroach Fittings for Grating Square,Grating,Grating
PTMT,118,"Square Grating (Slit) 150mm (6x6"")",Grating,Grating
PTMT,118-W,GRATING SQUARE (SLIT) 150MM(WHITE),Grating,Grating
PTMT,119,"Cockroach Trap with Water Seal 150x150mm (6x6"") without Hole",Grating,Grating
PTMT,1191,"Cockroach Trap Special 150x150mm (6x6"")",Grating,Grating
PTMT,119-W,"Cockroach Trap with Water Seal 150x150mm (6x6"") with Hole",Grating,Grating
PTMT,120-C,Bib Cock 15mm (Cobra) with Flange,Special Cock Series,Bib Cock Standard (120)
PTMT,120-M,Bib Cock Standard 15mm (M. Handle) with Flange,Special Cock Series,Bib Cock Standard (120)
PTMT,120-R,Bib Cock 15mm (Roman) with Flange,Special Cock Series,Bib Cock Standard (120)
PTMT,120-W,T-Handle without Flange,Special Cock Series,Bib Cock Standard (120)
PTMT,121,Bib Cock Standard (121),STANDARD Series,Bib Cock Standard (121)
PTMT,121-A,Bib Cock Standard (121),,Bib Cock Standard (121)
PTMT,121-B,Bib Cock Standard (121),Black Pearl Series,Bib Cock Standard (121)
