range_name,planning_category
Sink Cock (132),Cocks Standard
SINK COCK (133),Cocks Standard
Pillar Cock (130),Cocks Standard
Pillar Cock (131),Cocks Standard
2 Way Bib Cock (129),Cocks Standard
Angle Cock (144),Cocks Standard
2 Way Angle Cock (145),Cocks Standard
Sink Mixer (134),Cocks Standard
Bib Cock Fancy  (123),Cocks Standard
Bib Cock Long Body (124),Cocks Standard
Bib Cock Standard (121),Cocks Standard
Bib Cock Standard (120),Cocks Standard
Bib Cock Nozzle (127),Cocks Standard
BIB COCK  (122),Cocks Standard
Push Cock,Cocks Standard
URINAL COCK,Cocks Standard
Pillar Cock Swan Neck (147),Cocks Premium
Wall Mixer (1375),Cocks Premium
Wall Mixer (135),Cocks Premium
Stop Cock,Cocks Premium
Concealed Stop Cock,Cocks Premium
Mute Series,Cocks Premium
Over Head Shower,Faucets & Jetsprays & Shower
Center Hole Basin,Faucets & Jetsprays & Shower
Single Lever Basin (400),Faucets & Jetsprays & Shower
2 in 1 Faucet,Faucets & Jetsprays & Shower
Washing Machine Tap,Faucets & Jetsprays & Shower
Washing Machine,Faucets & Jetsprays & Shower
Jet Spray,Faucets & Jetsprays & Shower
Hand Shower,Faucets & Jetsprays & Shower
Health Faucet,Faucets & Jetsprays & Shower
Flush Valve,Faucets & Jetsprays & Shower
Waste Pipe,Accessorise
Connection,Accessorise
Grating,Accessorise
Liquid Soap Container,Accessorise
Waste Coupling,Accessorise
Soap Dish,Accessorise
Towel Ring,Accessorise
Towel Rail,Accessorise
Towel Rack,Accessorise
SHELF,Accessorise
Bottle Trap,Accessorise
Toilet Paper Holder,Accessorise
Tooth Brush Holder,Accessorise
Tank Nipples,Accessorise
Nipple,Accessorise
FLANGE,Accessorise
Line Filter,Accessorise
End Plug,Accessorise
Spindles Set,Accessorise
BALL COCK,Ball Cock
BALL  COCK CHUTKI,Ball Cock
CISTERN,Cistern & Seat Cover
SEAT COVER,Cistern & Seat Cover
CISTERN Accessories,Cistern & Seat Cover
CABINET,Cabinet
Bib Cock Standard (125),Cocks Standard
