code,colour,quantity,description,disposition,reason,mrpPresent,mrpSeries,mrpDivision,mrpEffectiveDate,mrpLoadable
121-OSF,WHITE,216,Bib Cock 15mm (Foam Flow) with Flange,unmatched,NO_ROSTER_MATCH,yes,Standard (New Handle),PTMT & Plastic Fittings,2026-09-01,true
122-L,WHITE,42,Bib Cock 15mm (Foam Flow) with Flange,unmatched,NO_ROSTER_MATCH,yes,Lagoona,PTMT & Plastic Fittings,2026-09-01,true
123-LSFBB,BLACK,171,Bib Cock Fancy 15mm (Foam Flow) with Flange,unmatched,NO_ROSTER_MATCH,yes,Erosa (Black),PTMT & Plastic Fittings,2026-09-01,true
124-LSFBB,BLACK,124,Bib Cock Long Body 15mm (Foam Flow) with Flange,unmatched,NO_ROSTER_MATCH,yes,Erosa (Black),PTMT & Plastic Fittings,2026-09-01,true
124-QR,R BLUE,53,Bib Cock Long Body 15mm (Foam Flow) with Flange,unmatched,NO_ROSTER_MATCH,yes,Quadra (Royal),PTMT & Plastic Fittings,2026-09-01,true
1322-L,WHITE,4,Sink Cock Swan Neck (W/M) Small Spout Foam Flow with Flange,unmatched,NO_ROSTER_MATCH,yes,Lagoona,PTMT & Plastic Fittings,2026-09-01,true
1322-NBB,BLACK,12,Sink Cock Swan Neck Small Spout (Foam Flow) With Flange,unmatched,NO_ROSTER_MATCH,yes,Novo (Black),PTMT & Plastic Fittings,2026-09-01,true
1322-UR,R BLUE,112,Sink Cock Swan Neck Small Spout (Foam Flow) With Flange,unmatched,NO_ROSTER_MATCH,yes,Ultra (Royal),PTMT & Plastic Fittings,2026-09-01,true
134-SR,R BLUE,12,Sink Mixer (Foam Flow) with Flange,unmatched,NO_ROSTER_MATCH,yes,Flora (Royal),PTMT & Plastic Fittings,2026-09-01,true
1375-SP,IVORY,19,Wall Mixer Foam Flow L Bend With Flange,resolution-loss,AMBIGUOUS_ROSTER_MATCH,yes,Diamond,PTMT & Plastic Fittings,2026-09-01,true
147-Q,WHITE,13,Pillar Cock Swan Neck Square Spout Foam Flow with Flange,unmatched,NO_ROSTER_MATCH,yes,Quadra,PTMT & Plastic Fittings,2026-09-01,true
147-QR,R BLUE,67,Sink Cock Swan Neck (T/M) Square Spout (Foam Flow) with Flange,unmatched,NO_ROSTER_MATCH,yes,Quadra (Royal),PTMT & Plastic Fittings,2026-09-01,true
1813-CP,PEACH,23,"O.H. Shower Round 75mm (3"" + Shower Arm 225mm Square (1813+1841)",resolution-loss,COLOUR_MISMATCH,yes,Showers & Accessories (Peach),PTMT & Plastic Fittings,2026-09-01,true
228-QT,WHITE,300,Bib Cock Long Body T-Handle with Flange,unmatched,NO_ROSTER_MATCH,yes,Special Cock,PTMT & Plastic Fittings,2026-09-01,true
CWP-02,WHITE,14,Corrugated Waste Pipe Roll 32mm x 30 Mtr (Heavy),unmatched,NO_ROSTER_MATCH,yes,Waste Pipes,PTMT & Plastic Fittings,2026-09-01,true
DB-02L,WHITE,110,Ball Cock+Ball (ISI),unmatched,NO_ROSTER_MATCH,yes,Cistern's & Seat Cover's Accessories,Ceramic Sanitaryware | PTMT & Plastic Fittings,2026-09-01,true
