"itemCode","colour","category","material","unfeasiblePieces","dummyPieces","orderPieces","bufferPieces","route","bomSourceStatus","currentSourceWeightKg","currentSourceRawRows","julySnapshot","augustSnapshot"
"PW11","","SWR Pipe","SWR","35027.55","7118","0","27909.55","route present","positive source weight","3.8","3","missing/zero frozen weight","missing/zero frozen weight"
"PW71","","SWR Pipe","SWR","22571.92","4714","0","17857.92","route present","positive source weight","2.4","3","missing/zero frozen weight","missing/zero frozen weight"
"S4","","CPVC Solvent","CPVC","10778.1","3437","0","7341.1","no route in active local pool","absent from current source","","0","not in snapshot","missing/zero frozen weight"
"A-464","","AGRI Fitting","AGRI","10000.9","2419","0","7581.9","route present","positive source weight","0.0615","3","missing/zero frozen weight","missing/zero frozen weight"
"A-465","","AGRI Fitting","AGRI","5406.69","0","0","5406.69","route present","positive source weight","0.0975","3","missing/zero frozen weight","missing/zero frozen weight"
"S3","","CPVC Solvent","CPVC","4920.8","792","0","4128.8","no route in active local pool","absent from current source","","0","missing/zero frozen weight","missing/zero frozen weight"
"PW72","","SWR Pipe","SWR","2735.77","1600","0","1135.77","route present","positive source weight","2.4","3","missing/zero frozen weight","missing/zero frozen weight"
"A-565","","AGRI Fitting","AGRI","2491.41","1370","0","1121.41","route present","positive source weight","0.04","3","missing/zero frozen weight","missing/zero frozen weight"
"A-365","","AGRI Fitting","AGRI","2089.41","0","0","2089.41","route present","positive source weight","0.1235","3","missing/zero frozen weight","missing/zero frozen weight"
"PG53","","Unclassified","Unclassified","2000","0","2000","0","no route in active local pool","absent from current source","","0","not in snapshot","not in snapshot"
"A-503","","Unclassified","Unclassified","1919","1919","0","0","no route in active local pool","positive source weight","0.07","2","missing/zero frozen weight","not in snapshot"
"A-765","","AGRI Fitting","AGRI","1850.71","1123","0","727.71","route present","positive source weight","0.1665","3","missing/zero frozen weight","missing/zero frozen weight"
"PW61","","SWR Pipe","SWR","1781.82","50","0","1731.82","route present","positive source weight","7.6","3","missing/zero frozen weight","missing/zero frozen weight"
