"item code","item name","category","material","pieces unfeasible","DUMMY","ORDERS","BUFFER","has machine route"
"PW11","","SWR Pipe","SWR","35027.55","7118","0","27909.55","yes"
"PW71","","SWR Pipe","SWR","22571.92","4714","0","17857.92","yes"
"S4","","CPVC Solvent","CPVC","10778.1","3437","0","7341.1","no"
"A-464","","AGRI Fitting","AGRI","10000.9","2419","0","7581.9","yes"
"A-465","","AGRI Fitting","AGRI","5406.69","0","0","5406.69","yes"
"S3","","CPVC Solvent","CPVC","4920.8","792","0","4128.8","no"
"PW72","","SWR Pipe","SWR","2735.77","1600","0","1135.77","yes"
"A-565","","AGRI Fitting","AGRI","2491.41","1370","0","1121.41","yes"
"A-365","","AGRI Fitting","AGRI","2089.41","0","0","2089.41","yes"
"PG53","Unmapped pending item","Unclassified","Unclassified","2000","0","2000","0","no"
"A-503","ELBOW 45- 6 KG, 50MM AGRI","Unclassified","Unclassified","1919","1919","0","0","no"
"A-765","","AGRI Fitting","AGRI","1850.71","1123","0","727.71","yes"
"PW61","","SWR Pipe","SWR","1781.82","50","0","1731.82","yes"
"PB132"," / COLUMN PIPE 32 MM 10 KG/CM3","Unclassified","Unclassified","1770","570","1200","0","no"
"A-469","","AGRI Fitting","AGRI","1631.21","435","24","1172.21","yes"
"CH72F","","CPVC Fitting","CPVC","1399.8","352","0","1047.8","yes"
"PW12","","SWR Pipe","SWR","1357.07","444","0","913.07","yes"
"PG523","Unmapped pending item","Unclassified","Unclassified","1300","0","1300","0","no"
"PP523"," / Brass Elbow 90 25x15 MM PPR FITTINGS (White Single Layer)","Unclassified","Unclassified","1285","0","1285","0","no"
"P20W03","Unmapped pending item","Unclassified","Unclassified","1200","0","1200","0","no"
"5106","110MM SOCKET PLUG","Unclassified","Unclassified","1134","1134","0","0","no"
"PB132B"," / COLUMN BILLING PIPE 32 MM 10 KG/CM3","Unclassified","Unclassified","1125","150","975","0","no"
"PC22","","CPVC Fitting","CPVC","1116.2","0","0","1116.2","yes"
"PG54","Unmapped pending item","Unclassified","Unclassified","1100","0","1100","0","no"
"PC24","","CPVC Fitting","CPVC","1092.32","233","0","859.32","yes"
"PW78","","SWR Pipe","SWR","1090","435","0","655","yes"
"A-569","","AGRI Fitting","AGRI","1044","409","0","635","yes"
"A-364","","AGRI Fitting","AGRI","994.21","0","0","994.21","yes"
"PW91","","SWR Pipe","SWR","979.24","188","0","791.24","yes"
"P20G03","Unmapped pending item","Unclassified","Unclassified","900","0","900","0","no"
