code,weight_kg_per_piece,category,pieces_recovered
PW11,3.837,SWR Pipe,35027.55
PW71,2.3,SWR Pipe,22571.92
A-464,0.062,AGRI Fitting,10000.90
A-465,0.098,AGRI Fitting,5406.69
PW72,2.3,SWR Pipe,2735.77
A-565,0.04,AGRI Fitting,2491.41
A-365,0.124,AGRI Fitting,2089.41
A-765,0.167,AGRI Fitting,1850.71
PW61,8.023,SWR Pipe,1781.82
A-469,0.533,AGRI Fitting,1631.21
PW12,3.837,SWR Pipe,1357.07
PW78,1.42,SWR Pipe,1090.00
A-569,0.218,AGRI Fitting,1044.00
A-364,0.079,AGRI Fitting,994.21
PW91,2.7,SWR Pipe,979.24
A-761,0.101,AGRI Fitting,836.81
PW17,1.607,SWR Pipe,729.68
PW18,2.371,SWR Pipe,659.97
A-368,0.461,AGRI Fitting,547.91
A-467,0.233,AGRI Fitting,493.20
A-768,0.255,AGRI Fitting,459.45
A-369,0.725,AGRI Fitting,436.15
PW15,0.844,SWR Pipe,413.65
A-667,0.618,AGRI Fitting,411.98
PW75,0.459,SWR Pipe,368.52
PW16,1.225,SWR Pipe,349.40
A-366,0.2,AGRI Fitting,334.40
PW79,1.42,SWR Pipe,250.09
PW13,7.594,SWR Pipe,247.77
PW77,0.94,SWR Pipe,239.40
A-767,0.236,AGRI Fitting,223.14
PW19,2.371,SWR Pipe,191.37
PW20,1.607,SWR Pipe,187.77
A-770,0.625,AGRI Fitting,169.83
PW73,4.6,SWR Pipe,155.50
PW62,8.023,SWR Pipe,115.85
PW80,0.94,SWR Pipe,115.50
A-271,0.544,AGRI Fitting,78.77
PW14,7.594,SWR Pipe,72.27
PW63,15.832,SWR Pipe,60.27
A-471,1.051,AGRI Fitting,59.09
PW93,5.4,SWR Pipe,27.90
PW97,1.18,SWR Pipe,23.17
PW31,3.623,SWR Pipe,22.27
PW74,4.6,SWR Pipe,20.27
U24T,0.26,UPVC Fitting,11.07
PW33,7.191,SWR Pipe,1.31
