segment,code,category,colour,initial_gap_reason,post_audit_status,catalogue_presence
PTMT,1151,Accessorise,IVORY,not-found-anywhere-in-catalogue,manual-review,
PTMT,120.0,Cocks Standard,BURGUNDY,not-found-anywhere-in-catalogue,canonicalize-trailing-.0,
PTMT,121-JJM,Cocks Standard,IVORY,not-found-anywhere-in-catalogue,manual-review,
PTMT,121.0,Cocks Standard,BLUE,not-found-anywhere-in-catalogue,canonicalize-trailing-.0,
PTMT,123.0,Cocks Standard,BURGUNDY,not-found-anywhere-in-catalogue,canonicalize-trailing-.0,
PTMT,1231.0,Cocks Standard,BURGUNDY,not-found-anywhere-in-catalogue,canonicalize-trailing-.0,
PTMT,124.0,Cocks Standard,BLUE,not-found-anywhere-in-catalogue,canonicalize-trailing-.0,
PTMT,1241.0,Cocks Standard,BURGUNDY,not-found-anywhere-in-catalogue,canonicalize-trailing-.0,
PTMT,127.0,Cocks Standard,BURGUNDY,not-found-anywhere-in-catalogue,canonicalize-trailing-.0,
PTMT,129.0,Cocks Standard,BURGUNDY,not-found-anywhere-in-catalogue,canonicalize-trailing-.0,
PTMT,1291.0,Cocks Standard,BURGUNDY,not-found-anywhere-in-catalogue,canonicalize-trailing-.0,
PTMT,130.0,Cocks Standard,BLUE,not-found-anywhere-in-catalogue,canonicalize-trailing-.0,
PTMT,131-NP,Cocks Standard,BURGUNDY,not-found-anywhere-in-catalogue,manual-review,
PTMT,131.0,Cocks Standard,BURGUNDY,not-found-anywhere-in-catalogue,canonicalize-trailing-.0,
PTMT,1311.0,Cocks Standard,BURGUNDY,not-found-anywhere-in-catalogue,canonicalize-trailing-.0,
PTMT,132.0,Cocks Standard,BURGUNDY,not-found-anywhere-in-catalogue,canonicalize-trailing-.0,
PTMT,1321.0,Cocks Standard,BURGUNDY,not-found-anywhere-in-catalogue,canonicalize-trailing-.0,
PTMT,1323.0,Cocks Standard,BURGUNDY,not-found-anywhere-in-catalogue,canonicalize-trailing-.0,
PTMT,1332.0,Cocks Standard,BURGUNDY,not-found-anywhere-in-catalogue,canonicalize-trailing-.0,
PTMT,134.0,Cocks Standard,BURGUNDY,not-found-anywhere-in-catalogue,canonicalize-trailing-.0,
PTMT,1341.0,Cocks Standard,BURGUNDY,not-found-anywhere-in-catalogue,canonicalize-trailing-.0,
PTMT,135.0,Cocks Standard,BURGUNDY,not-found-anywhere-in-catalogue,canonicalize-trailing-.0,
PTMT,1351.0,Cocks Standard,BURGUNDY,not-found-anywhere-in-catalogue,canonicalize-trailing-.0,
PTMT,136.0,Cocks Standard,BURGUNDY,not-found-anywhere-in-catalogue,canonicalize-trailing-.0,
PTMT,137.0,Cocks Standard,BURGUNDY,not-found-anywhere-in-catalogue,canonicalize-trailing-.0,
PTMT,1375-P,Cocks Standard,BURGUNDY,not-found-anywhere-in-catalogue,manual-review,
PTMT,1375-SG,Cocks Premium,0,not-found-anywhere-in-catalogue,manual-review,
PTMT,1375-SR,Cocks Premium,0,not-found-anywhere-in-catalogue,manual-review,
PTMT,1375-SW,Cocks Premium,0,not-found-anywhere-in-catalogue,manual-review,
PTMT,1375.0,Cocks Standard,BURGUNDY,not-found-anywhere-in-catalogue,canonicalize-trailing-.0,
PTMT,138.0,Cocks Standard,BURGUNDY,not-found-anywhere-in-catalogue,canonicalize-trailing-.0,
PTMT,139.0,Cocks Standard,BURGUNDY,not-found-anywhere-in-catalogue,canonicalize-trailing-.0,
PTMT,1391.0,Cocks Standard,BURGUNDY,not-found-anywhere-in-catalogue,canonicalize-trailing-.0,
PTMT,140.0,Cocks Standard,BURGUNDY,not-found-anywhere-in-catalogue,canonicalize-trailing-.0,
PTMT,141.0,Cocks Standard,BURGUNDY,not-found-anywhere-in-catalogue,canonicalize-trailing-.0,
PTMT,1411.0,Cocks Standard,BURGUNDY,not-found-anywhere-in-catalogue,canonicalize-trailing-.0,
PTMT,142.0,Cocks Standard,BLUE,not-found-anywhere-in-catalogue,canonicalize-trailing-.0,
PTMT,1421.0,Cocks Standard,BURGUNDY,not-found-anywhere-in-catalogue,canonicalize-trailing-.0,
PTMT,143.0,Cocks Standard,BLUE,not-found-anywhere-in-catalogue,canonicalize-trailing-.0,
PTMT,1431.0,Cocks Standard,BURGUNDY,not-found-anywhere-in-catalogue,canonicalize-trailing-.0,
PTMT,144.0,Cocks Standard,BLUE,not-found-anywhere-in-catalogue,canonicalize-trailing-.0,
PTMT,1441.0,Cocks Standard,BURGUNDY,not-found-anywhere-in-catalogue,canonicalize-trailing-.0,
PTMT,145.0,Cocks Standard,BLUE,not-found-anywhere-in-catalogue,canonicalize-trailing-.0,
PTMT,1451.0,Cocks Standard,BURGUNDY,not-found-anywhere-in-catalogue,canonicalize-trailing-.0,
PTMT,146-BP,Cocks Standard,BURGUNDY,not-found-anywhere-in-catalogue,manual-review,
PTMT,146.0,Cocks Standard,BURGUNDY,not-found-anywhere-in-catalogue,canonicalize-trailing-.0,
PTMT,1461.0,Cocks Standard,BURGUNDY,not-found-anywhere-in-catalogue,canonicalize-trailing-.0,
PTMT,147-BP,Cocks Standard,BURGUNDY,not-found-anywhere-in-catalogue,manual-review,
PTMT,147.0,Cocks Standard,BURGUNDY,not-found-anywhere-in-catalogue,canonicalize-trailing-.0,
PTMT,1471.0,Cocks Standard,BURGUNDY,not-found-anywhere-in-catalogue,canonicalize-trailing-.0,
PTMT,148-BP,Cocks Standard,BURGUNDY,not-found-anywhere-in-catalogue,manual-review,
PTMT,148.0,Cocks Standard,BURGUNDY,not-found-anywhere-in-catalogue,canonicalize-trailing-.0,
PTMT,1481.0,Cocks Standard,BURGUNDY,not-found-anywhere-in-catalogue,canonicalize-trailing-.0,
PTMT,1491.0,Cocks Standard,BURGUNDY,not-found-anywhere-in-catalogue,canonicalize-trailing-.0,
PTMT,150.0,Cocks Standard,BURGUNDY,not-found-anywhere-in-catalogue,canonicalize-trailing-.0,
PTMT,1501.0,Cocks Standard,BURGUNDY,not-found-anywhere-in-catalogue,canonicalize-trailing-.0,
PTMT,165.0,Ball Cock,.,not-found-anywhere-in-catalogue,canonicalize-trailing-.0,
PTMT,168.0,Ball Cock,.,not-found-anywhere-in-catalogue,canonicalize-trailing-.0,
PTMT,169.0,Ball Cock,.,not-found-anywhere-in-catalogue,canonicalize-trailing-.0,
PTMT,170.0,Ball Cock,.,not-found-anywhere-in-catalogue,canonicalize-trailing-.0,
PTMT,171.0,Ball Cock,.,not-found-anywhere-in-catalogue,canonicalize-trailing-.0,
PTMT,172.0,Ball Cock,.,not-found-anywhere-in-catalogue,canonicalize-trailing-.0,
PTMT,173.0,Ball Cock,BLUE,not-found-anywhere-in-catalogue,canonicalize-trailing-.0,
PTMT,174.0,Ball Cock,BLUE,not-found-anywhere-in-catalogue,canonicalize-trailing-.0,
PTMT,186.0,Cocks Standard,IVORY,not-found-anywhere-in-catalogue,canonicalize-trailing-.0,
PTMT,1861.0,Cocks Standard,IVORY,not-found-anywhere-in-catalogue,canonicalize-trailing-.0,
PTMT,1872,Faucets & Jetsprays & Shower,IVORY,not-found-anywhere-in-catalogue,manual-review,
PTMT,1882,Faucets & Jetsprays & Shower,IVORY,not-found-anywhere-in-catalogue,manual-review,
PTMT,1892,Faucets & Jetsprays & Shower,IVORY,not-found-anywhere-in-catalogue,manual-review,
PTMT,191-A,Accessorise,.,not-found-anywhere-in-catalogue,manual-review,
PTMT,194-A,Accessorise,.,not-found-anywhere-in-catalogue,manual-review,
PTMT,195-A,Accessorise,.,not-found-anywhere-in-catalogue,manual-review,
PTMT,1951-A,Accessorise,.,not-found-anywhere-in-catalogue,manual-review,
PTMT,196-A,Accessorise,.,not-found-anywhere-in-catalogue,manual-review,
PTMT,198-A,Accessorise,.,not-found-anywhere-in-catalogue,manual-review,
PTMT,200-A,Accessorise,.,not-found-anywhere-in-catalogue,manual-review,
PTMT,501,Cistern & Seat Cover,BLUE,catalogue-code-present-under-other-segment,map-to-PTMT-for-exact-combined-division,null/Ceramic Sanitaryware | PTMT & Plastic Fittings
PTMT,501-N,Cistern & Seat Cover,BLUE,not-found-anywhere-in-catalogue,manual-review,
PTMT,501-S,Cistern & Seat Cover,BLUE,not-found-anywhere-in-catalogue,manual-review,
PTMT,502,Cistern & Seat Cover,BLUE,catalogue-code-present-under-other-segment,map-to-PTMT-for-exact-combined-division,null/Ceramic Sanitaryware | PTMT & Plastic Fittings
PTMT,503,Cistern & Seat Cover,BLUE,catalogue-code-present-under-other-segment,map-to-PTMT-for-exact-combined-division,null/Ceramic Sanitaryware | PTMT & Plastic Fittings
PTMT,503-N,Cistern & Seat Cover,BLUE,not-found-anywhere-in-catalogue,manual-review,
PTMT,504,Cistern & Seat Cover,BLUE,catalogue-code-present-under-other-segment,map-to-PTMT-for-exact-combined-division,null/Ceramic Sanitaryware | PTMT & Plastic Fittings
PTMT,505,Cistern & Seat Cover,BLUE,not-found-anywhere-in-catalogue,manual-review,
PTMT,506,Cistern & Seat Cover,BLUE,catalogue-code-present-under-other-segment,map-to-PTMT-for-exact-combined-division,null/Ceramic Sanitaryware | PTMT & Plastic Fittings
PTMT,507,Cistern & Seat Cover,BLUE,catalogue-code-present-under-other-segment,map-to-PTMT-for-exact-combined-division,null/Ceramic Sanitaryware | PTMT & Plastic Fittings
PTMT,508,Cistern & Seat Cover,BLUE,catalogue-code-present-under-other-segment,map-to-PTMT-for-exact-combined-division,null/Ceramic Sanitaryware | PTMT & Plastic Fittings
PTMT,511,Cistern & Seat Cover,BLUE,catalogue-code-present-under-other-segment,map-to-PTMT-for-exact-combined-division,null/Ceramic Sanitaryware | PTMT & Plastic Fittings
PTMT,512,Cistern & Seat Cover,BLUE,catalogue-code-present-under-other-segment,map-to-PTMT-for-exact-combined-division,null/Ceramic Sanitaryware | PTMT & Plastic Fittings
PTMT,513,Cistern & Seat Cover,BLUE,catalogue-code-present-under-other-segment,map-to-PTMT-for-exact-combined-division,null/Ceramic Sanitaryware | PTMT & Plastic Fittings
PTMT,514,Cistern & Seat Cover,BLUE,catalogue-code-present-under-other-segment,map-to-PTMT-for-exact-combined-division,null/Ceramic Sanitaryware | PTMT & Plastic Fittings
PTMT,514-T,Cistern & Seat Cover,IVORY,catalogue-code-present-under-other-segment,map-to-PTMT-for-exact-combined-division,null/Ceramic Sanitaryware | PTMT & Plastic Fittings
PTMT,515,Cistern & Seat Cover,BLUE,catalogue-code-present-under-other-segment,map-to-PTMT-for-exact-combined-division,null/Ceramic Sanitaryware | PTMT & Plastic Fittings
PTMT,516,Cistern & Seat Cover,BLUE,catalogue-code-present-under-other-segment,map-to-PTMT-for-exact-combined-division,null/Ceramic Sanitaryware | PTMT & Plastic Fittings
PTMT,517,Cistern & Seat Cover,BLUE,catalogue-code-present-under-other-segment,map-to-PTMT-for-exact-combined-division,null/Ceramic Sanitaryware | PTMT & Plastic Fittings
PTMT,518,Cistern & Seat Cover,IVORY,catalogue-code-present-under-other-segment,map-to-PTMT-for-exact-combined-division,null/Ceramic Sanitaryware | PTMT & Plastic Fittings
PTMT,701,Cistern & Seat Cover,BLUE,catalogue-code-present-under-other-segment,map-to-PTMT-for-exact-combined-division,null/Ceramic Sanitaryware | PTMT & Plastic Fittings
PTMT,701-N,Cistern & Seat Cover,BLUE,not-found-anywhere-in-catalogue,manual-review,
PTMT,702,Cistern & Seat Cover,BLUE,catalogue-code-present-under-other-segment,map-to-PTMT-for-exact-combined-division,null/Ceramic Sanitaryware | PTMT & Plastic Fittings
PTMT,703,Cistern & Seat Cover,BLUE,catalogue-code-present-under-other-segment,map-to-PTMT-for-exact-combined-division,null/Ceramic Sanitaryware | PTMT & Plastic Fittings
