https://docs.google.com/spreadsheets/d/10kBMisQ6dNcBLNO0GuD85w1eL1BUm8tKaAb9gl8-38M/edit?gid=963706410#gid=963706410,,,,,,,20-Aug-2026,,1-May-2026,WEEK-1,,7-May-2026,8-May-2025,WEEK-2,,14-May-2026,15-May-2026,WEEK-3,,21-May-2026,22-May-2026,WEEK-4,,31-May-2025
https://docs.google.com/spreadsheets/d/1IrwglsMbQQ9IMy7DVnXYobFa1IHPzRCi_MuBLjY6UvA/edit#gid=100248637,,,,,,,,,,,,,,,,,,,,,,,,
https://docs.google.com/spreadsheets/d/1uhYFw9iATxqQg-zr4munzK8f7AdkpkaaobYTg8HNA6Q/edit#gid=1073797387,,,"2,016,165",0,0,0,"2,016,165",0,"1,050,814",0,0,0,"880,987",0,0,0,"12,922",0,0,0,"71,443",0,0,0
TYPE,ITEM CODE,ITEM NAME,TOTAL PLANNED,TOTAL PRODUCED,TOTAL ORDER,TOTAL SALE,NET REQUIRED,STOCK,PLANNED,PRODUCED,ORDER,SALE,PLANNED,PRODUCED,ORDER,SALE,PLANNED,PRODUCED,ORDER,SALE,PLANNED,PRODUCED,ORDER,SALE
PIPE,PS-12,#REF!,"62,090",0,0,0,"62,090",,"31,045",,,,"31,045",,,,0,,,,0,,,
FITTING,C254,#REF!,"1,120",0,0,0,"1,120",,560,,,,560,,,,0,,,,0,,,
FITTING,CM22,#REF!,795,0,0,0,795,,398,,,,398,,,,0,,,,0,,,
FITTINGs,C521,#REF!,"118,692",0,0,0,"118,692",,"59,346",,,,"59,346",,,,0,,,,0,,,
FITTING,C732,#REF!,"6,813",0,0,0,"6,813",,"3,407",,,,"3,407",,,,0,,,,0,,,
FITTING,C263,#REF!,"1,080",0,0,0,"1,080",,540,,,,540,,,,0,,,,0,,,
FITTING,C72,#REF!,"3,074",0,0,0,"3,074",,"3,074",,,,0,,,,0,,,,0,,,
FITTING,C264,#REF!,"1,016",0,0,0,"1,016",,508,,,,508,,,,0,,,,0,,,
FITTINGs,PP1,#REF!,"274,496",0,0,0,"274,496",,"137,248",,,,"137,248",,,,0,,,,0,,,
FITTING,C262,#REF!,50,0,0,0,50,,50,,,,0,,,,0,,,,0,,,
FITTING,C24L,#REF!,"1,733",0,0,0,"1,733",,920,,,,813,,,,0,,,,0,,,
FITTING,CH78,#REF!,870,0,0,0,870,,435,,,,435,,,,0,,,,0,,,
FITTING,CH72,#REF!,"2,432",0,0,0,"2,432",,"1,216",,,,"1,216",,,,0,,,,0,,,
FITTINGs,C53,#REF!,"114,597",0,0,0,"114,597",,"77,405",,,,0,,,,0,,,,"37,192",,,
FITTING,C24,#REF!,"2,542",0,0,0,"2,542",,"1,271",,,,"1,271",,,,0,,,,0,,,
FITTING,C23,#REF!,"9,048",0,0,0,"9,048",,"4,524",,,,"4,524",,,,0,,,,0,,,
FITTING,CM21,#REF!,"1,839",0,0,0,"1,839",,920,,,,920,,,,0,,,,0,,,
FITTING,C33,#REF!,"18,475",0,0,0,"18,475",,"9,238",,,,"9,238",,,,0,,,,0,,,
FITTING,C273N,#REF!,"16,038",0,0,0,"16,038",,"8,019",,,,"8,019",,,,0,,,,0,,,
PIPE,PS-15,#REF!,"5,117",0,0,0,"5,117",,"2,559",,,,"2,559",,,,0,,,,0,,,
FITTING,C123,#REF!,270,0,0,0,270,,135,,,,135,,,,0,,,,0,,,
FITTING,C12,#REF!,"12,406",0,0,0,"12,406",,"6,203",,,,"6,203",,,,0,,,,0,,,
PIPE,PS-2,#REF!,"68,483",0,0,0,"68,483",,"34,242",,,,"34,242",,,,0,,,,0,,,
PIPE,PS-13,#REF!,"57,111",0,0,0,"57,111",,"28,556",,,,"28,556",,,,0,,,,0,,,
FITTINGs,C55,#REF!,"9,712",0,0,0,"9,712",,"4,856",,,,"4,856",,,,0,,,,0,,,
FITTING,C963,#REF!,"1,270",0,0,0,"1,270",,635,,,,635,,,,0,,,,0,,,
FITTINGs,C920,#REF!,"24,898",0,0,0,"24,898",,"12,449",,,,"12,449",,,,0,,,,0,,,
FITTING,C962,#REF!,134,0,0,0,134,,100,,,,0,,,,0,,,,34,,,
FITTINGs,C71,#REF!,"26,298",0,0,0,"26,298",,"13,149",,,,"13,149",,,,0,,,,0,,,
FITTING,C92,#REF!,"4,372",0,0,0,"4,372",,"2,186",,,,0,,,,0,,,,"2,186",,,
FITTINGs,C52,#REF!,"313,023",0,0,0,"313,023",,"156,512",,,,"156,512",,,,0,,,,0,,,
FITTINGs,C54,#REF!,"17,006",0,0,0,"17,006",,"8,503",,,,"8,503",,,,0,,,,0,,,
FITTING,C953,#REF!,"1,245",0,0,0,"1,245",,"1,245",,,,0,,,,0,,,,0,,,
PIPE,PS-16,#REF!,697,0,0,0,697,,350,,,,347,,,,0,,,,0,,,
FITTING,C528,#REF!,"1,756",0,0,0,"1,756",,"1,307",,,,449,,,,0,,,,0,,,
FITTING,C22L,#REF!,"7,220",0,0,0,"7,220",,"3,610",,,,"3,610",,,,0,,,,0,,,
FITTING,C32,#REF!,"4,345",0,0,0,"4,345",,"2,692",,,,0,,,,0,,,,"1,653",,,
FITTING,C253,#REF!,210,0,0,0,210,,210,,,,0,,,,0,,,,0,,,
FITTING,C96,#REF!,310,0,0,0,310,,155,,,,155,,,,0,,,,0,,,
FITTING,C605,#REF!,640,0,0,0,640,,320,,,,320,,,,0,,,,0,,,
FITTING,C26L,#REF!,"1,120",0,0,0,"1,120",,560,,,,560,,,,0,,,,0,,,
FITTINGs,C932,#REF!,"11,540",0,0,0,"11,540",,"6,004",,,,0,,,,"5,536",,,,0,,,
FITTING,C274N,#REF!,"2,744",0,0,0,"2,744",,"1,560",,,,"1,184",,,,0,,,,0,,,
FITTING,C952,#REF!,"1,332",0,0,0,"1,332",,666,,,,666,,,,0,,,,0,,,
FITTING,C954,#REF!,750,0,0,0,750,,375,,,,375,,,,0,,,,0,,,
FITTINGs,C63,#REF!,"62,200",0,0,0,"62,200",,"31,128",,,,"31,072",,,,0,,,,0,,,
FITTING,C703,#REF!,500,0,0,0,500,,500,,,,0,,,,0,,,,0,,,
FITTING,C964,#REF!,"1,154",0,0,0,"1,154",,577,,,,577,,,,0,,,,0,,,
FITTING,C23L,#REF!,"11,220",0,0,0,"11,220",,"5,610",,,,"5,610",,,,0,,,,0,,,
FITTING,C34,#REF!,"2,940",0,0,0,"2,940",,"1,470",,,,"1,470",,,,0,,,,0,,,
FITTING,C502,#REF!,"7,900",0,0,0,"7,900",,"7,900",,,,0,,,,0,,,,0,,,
PIPE,PS-3,#REF!,"61,585",0,0,0,"61,585",,"30,793",,,,"30,793",,,,0,,,,0,,,
PIPE,PS-5,#REF!,"2,220",0,0,0,"2,220",,"1,110",,,,"1,110",,,,0,,,,0,,,
FITTING,CM32,#REF!,625,0,0,0,625,,315,,,,310,,,,0,,,,0,,,
PIPE,PS-2S,#REF!,863,0,0,0,863,,432,,,,432,,,,0,,,,0,,,
FITTINGs,C523,#REF!,"27,221",0,0,0,"27,221",,"17,325",,,,"9,896",,,,0,,,,0,,,
FITTING,C26,#REF!,40,0,0,0,40,,20,,,,20,,,,0,,,,0,,,
FITTING,C243,#REF!,640,0,0,0,640,,320,,,,320,,,,0,,,,0,,,
FITTINGs,C232,#REF!,"13,468",0,0,0,"13,468",,"6,734",,,,"6,734",,,,0,,,,0,,,
FITTING,C930,#REF!,"11,626",0,0,0,"11,626",,"7,700",,,,"3,926",,,,0,,,,0,,,
FITTING,CH74,#REF!,480,0,0,0,480,,240,,,,240,,,,0,,,,0,,,
FITTING,C965,#REF!,"1,356",0,0,0,"1,356",,678,,,,678,,,,0,,,,0,,,
FITTING,C731,#REF!,"4,126",0,0,0,"4,126",,"2,063",,,,"2,063",,,,0,,,,0,,,
FITTINGs,C832,#REF!,"17,103",0,0,0,"17,103",,"10,700",,,,"6,403",,,,0,,,,0,,,
FITTING,C265,#REF!,916,0,0,0,916,,458,,,,458,,,,0,,,,0,,,
FITTING,CH79,#REF!,976,0,0,0,976,,544,,,,432,,,,0,,,,0,,,
FITTING,C503,#REF!,"17,153",0,0,0,"17,153",,"10,500",,,,0,,,,0,,,,"6,653",,,
FITTING,C603,#REF!,"15,793",0,0,0,"15,793",,"7,897",,,,"7,897",,,,0,,,,0,,,
FITTING,C86,#REF!,170,0,0,0,170,,85,,,,85,,,,0,,,,0,,,
FITTING,C602,#REF!,"26,034",0,0,0,"26,034",,"13,017",,,,"13,017",,,,0,,,,0,,,
FITTING,C64,#REF!,"2,276",0,0,0,"2,276",,"2,276",,,,0,,,,0,,,,0,,,
FITTING,C532,#REF!,"11,898",0,0,0,"11,898",,"5,949",,,,"5,949",,,,0,,,,0,,,
FITTING,C279N,#REF!,0,0,0,0,0,,0,,,,0,,,,0,,,,0,,,
FITTING,C702,#REF!,"10,818",0,0,0,"10,818",,"5,409",,,,"5,409",,,,0,,,,0,,,
FITTING,C604,#REF!,"1,000",0,0,0,"1,000",,500,,,,500,,,,0,,,,0,,,
FITTING,C66,#REF!,359,0,0,0,359,,359,,,,0,,,,0,,,,0,,,
