https://docs.google.com/spreadsheets/d/10MLqjGDvIINGGV-AurbX0WG3Q6z4AstiZTe3sjWxdQQ/edit?gid=866519638#gid=866519638,,,,,,,,,,,,
,,,SWR,,,,,,,,AGRI,
Item Code,Plan,,Item Code,Plan,,,Item Code,Plan,,,Item Code,Plan
PW 71,0,,PW73S,112,,,A-8C,29,,,A-8C,29
PW 72,0,,PW93S,680,,,A-9C,28,,,A-9C,28
PW 73,0,,PW13S,557,,,A-10C,0,,,A-11C,1
PW 74,0,,PW23S,92,,,A-11C,1,,,A-12C,14
PW 75,0,,PW53S,99,,,A-12C,14,,,A-26C,542
PW 76,0,,5710,3726,,,A-13C,0,,,A-27C,588
PW 77,0,,5910,305,,,A-14C,-4,,,A-28C,253
PW 78,0,,5110,4305,,,A-26C,542,,,A-29C,1088
PW 79,0,,5112,550,,,A-27C,588,,,A-31C,91
PW 80,0,,5711,2434,,,A-28C,253,,,A-32C,65
PW 91,0,,5911,511,,,A-29C,1088,,,A-44C,92
PW 92,0,,5111,5622,,,A-30C,0,,,A-45C,537
PW 93,0,,5611,135,,,A-31C,91,,,A-46C,138
PW 94,0,,5933,319,,,A-32C,65,,,A-47C,122
PW 95,0,,5133,2784,,,A-33C,0,,,A-48C,462
PW 96,0,,5152,72,,,A-34C,-7,,,A-49C,990
PW 97,0,,5941,148,,,A-44C,92,,,A-51C,23
PW 98,0,,5641,20,,,A-45C,537,,,A-52C,25
PW 99,0,,5155,38,,,A-46C,138,,,A-53C,10
PW 100,0,,5157,1697,,,A-47C,122,,,A-54C,53
PW 11,0,,5657,152,,,A-48C,462,,,A-83C,288
PW 12,0,,5761,1599,,,A-49C,990,,,A-84C,1
PW 13,0,,5161,306,,,A-50C,-79,,,A-8B,6
PW 14,0,,5162,2956,,,A-51C,23,,,A-26B,553
PW 15,0,,5763,386,,,A-52C,25,,,A-27B,270
PW 16,0,,5163,762,,,A-53C,10,,,A-28B,110
PW 17,0,,5763-W,1548,,,A-54C,53,,,A-29B,346
PW 18,0,,5163-W,469,,,A-81C,-121,,,A-31B,3
PW 19,0,,5171,324,,,A-82C,-497,,,A-44B,27
PW 20,0,,5773,104,,,A-83C,288,,,A-45B,269
PW 61,0,,5173,11,,,A-84C,1,,,A-83B,221
PW 62,0,,5912S,36,,,A-85C,0,,,A-44A,394
PW 63,0,,5141S,115,,,A-86C,0,,,A-45A,375
PW 64,0,,5641S,14,,,A-87C,0,,,A-47A,3
PW 65,0,,,,,,A-88C,-381,,,A-50A,0
PW 66,0,,,,,,A-89C,-21,,,A-84A,10
PW 67,0,,,,,,A-90C,0,,,A-85A,10
PW 68,0,,,,,,A-91C,0,,,A-246,511
PW 69,0,,,,,,A-92C,-9,,,A-247,1676
PW 70,0,,,,,,A-93C,0,,,A-248,225
PW 31,0,,,,,,A-94C,0,,,A-347,801
PW 32,0,,,,,,A-8B,6,,,A-348,1163
PW 33,0,,,,,,A-9B,-250,,,A-349,1268
PW 34,0,,,,,,A-10B,0,,,A-446,1609
PW 35,0,,,,,,A-11B,0,,,A-447,1088
PW 36,0,,,,,,A-12B,0,,,A-448,1645
PW 37,0,,,,,,A-13B,0,,,A-449,1646
PW 38,0,,,,,,A-14B,0,,,A-547,1692
PW 39,0,,,,,,A-26B,553,,,A-548,451
PW 40,0,,,,,,A-27B,270,,,A-549,1921
PW 81,0,,,,,,A-28B,110,,,A-542,83
PW 82,0,,,,,,A-29B,346,,,,
PW 83,0,,,,,,A-30B,0,,,,
PW 84,0,,,,,,A-31B,3,,,,
PW 85,0,,,,,,A-32B,0,,,,
PW 86,0,,,,,,A-33B,0,,,,
PW 87,0,,,,,,A-34B,0,,,,
PW 88,0,,,,,,A-44B,27,,,,
PW 89,0,,,,,,A-45B,269,,,,
PW 90,0,,,,,,A-46B,-240,,,,
PW 21,0,,,,,,A-47B,-389,,,,
PW 22,0,,,,,,A-48B,0,,,,
PW 23,0,,,,,,A-49B,0,,,,
PW 24,0,,,,,,A-50B,0,,,,
PW 25,0,,,,,,A-51B,0,,,,
PW 26,0,,,,,,A-52B,0,,,,
PW 27,0,,,,,,A-53B,0,,,,
