https://docs.google.com/spreadsheets/d/10kBMisQ6dNcBLNO0GuD85w1eL1BUm8tKaAb9gl8-38M/edit?gid=963706410#gid=963706410,,,,,,,20-Aug-2026,,1-May-2026,WEEK-1,,7-May-2026,8-May-2025,WEEK-2,,14-May-2026,15-May-2026,WEEK-3,,21-May-2026,22-May-2026,WEEK-4,,31-May-2025
https://docs.google.com/spreadsheets/d/1IrwglsMbQQ9IMy7DVnXYobFa1IHPzRCi_MuBLjY6UvA/edit#gid=100248637,,,,,,,,,,,,,,,,,,,,,,,,
https://docs.google.com/spreadsheets/d/1uhYFw9iATxqQg-zr4munzK8f7AdkpkaaobYTg8HNA6Q/edit#gid=1073797387,,,"1,231,901",0,0,0,"1,231,901",0,"622,680",0,0,0,"583,793",0,0,0,"11,463",0,0,0,"13,965",0,0,0
TYPE,ITEM CODE,ITEM NAME,TOTAL PLANNED,TOTAL PRODUCED,TOTAL ORDER,TOTAL SALE,NET REQUIRED,STOCK,PLANNED,PRODUCED,ORDER,SALE,PLANNED,PRODUCED,ORDER,SALE,PLANNED,PRODUCED,ORDER,SALE,PLANNED,PRODUCED,ORDER,SALE
PIPE,PU-13S,#REF!,"11,960",0,0,0,"11,960",,"5,980",,,,"5,980",,,,0,,,,0,,,
FITTING,U920,#REF!,"21,040",0,0,0,"21,040",,"10,520",,,,"10,520",,,,0,,,,0,,,
PIPE,PU-14S,#REF!,"3,388",0,0,0,"3,388",,"1,694",,,,"1,694",,,,0,,,,0,,,
PIPE,PU-3S,#REF!,0,0,0,0,0,,0,,,,0,,,,0,,,,0,,,
FITTING,U81,#REF!,"13,140",0,0,0,"13,140",,"6,570",,,,"6,570",,,,0,,,,0,,,
PIPE,PU-4T,#REF!,"7,515",0,0,0,"7,515",,"3,758",,,,"3,758",,,,0,,,,0,,,
PIPE,PU-12S,#REF!,"5,575",0,0,0,"5,575",,"2,788",,,,0,,,,"2,788",,,,0,,,
FITTING,U263,#REF!,160,0,0,0,160,,80,,,,80,,,,0,,,,0,,,
FITTING,U954,#REF!,706,0,0,0,706,,353,,,,353,,,,0,,,,0,,,
FITTING,U23NL,#REF!,"13,580",0,0,0,"13,580",,"6,790",,,,"6,790",,,,0,,,,0,,,
FITTING,U502,#REF!,163,0,0,0,163,,163,,,,0,,,,0,,,,0,,,
FITTING,U51,#REF!,"60,005",0,0,0,"60,005",,"30,003",,,,"30,003",,,,0,,,,0,,,
PIPE,PU-13,#REF!,"77,558",0,0,0,"77,558",,"38,779",,,,"38,779",,,,0,,,,0,,,
FITTING,U254,#REF!,120,0,0,0,120,,60,,,,60,,,,0,,,,0,,,
FITTING,U23-L,#REF!,"16,650",0,0,0,"16,650",,"8,325",,,,"8,325",,,,0,,,,0,,,
FITTING,U45,#REF!,"13,424",0,0,0,"13,424",,"6,712",,,,"6,712",,,,0,,,,0,,,
FITTING,U25NL,#REF!,"2,480",0,0,0,"2,480",,"1,240",,,,"1,240",,,,0,,,,0,,,
FITTING,U103,#REF!,"17,600",0,0,0,"17,600",,"8,800",,,,"8,800",,,,0,,,,0,,,
PIPE,PU-12,#REF!,"23,050",0,0,0,"23,050",,"11,525",,,,"11,525",,,,0,,,,0,,,
FITTING,U504,#REF!,"1,960",0,0,0,"1,960",,980,,,,0,,,,0,,,,980,,,
FITTING,U73,#REF!,"5,435",0,0,0,"5,435",,"2,718",,,,"2,718",,,,0,,,,0,,,
FITTING,U63,#REF!,"54,638",0,0,0,"54,638",,"27,319",,,,"27,319",,,,0,,,,0,,,
PIPE,PU-5S,#REF!,172,0,0,0,172,,86,,,,86,,,,0,,,,0,,,
FITTING,U46,#REF!,"2,314",0,0,0,"2,314",,"1,157",,,,"1,157",,,,0,,,,0,,,
FITTING,U33,#REF!,"25,070",0,0,0,"25,070",,"12,535",,,,"12,535",,,,0,,,,0,,,
FITTING,U84,#REF!,424,0,0,0,424,,212,,,,0,,,,0,,,,212,,,
FITTING,U41,#REF!,"21,296",0,0,0,"21,296",,"10,648",,,,"10,648",,,,0,,,,0,,,
FITTING,UH88,#REF!,222,0,0,0,222,,111,,,,111,,,,0,,,,0,,,
FITTING,U965,#REF!,100,0,0,0,100,,50,,,,50,,,,0,,,,0,,,
FITTING,U521,#REF!,"28,663",0,0,0,"28,663",,"14,332",,,,"14,332",,,,0,,,,0,,,
FITTING,U323,#REF!,"9,723",0,0,0,"9,723",,"4,862",,,,"4,862",,,,0,,,,0,,,
FITTING,U91,#REF!,917,0,0,0,917,,917,,,,0,,,,0,,,,0,,,
FITTING,U54,#REF!,"21,430",0,0,0,"21,430",,"10,715",,,,"10,715",,,,0,,,,0,,,
PIPE,PU-11,#REF!,"2,370",0,0,0,"2,370",,"2,370",,,,0,,,,0,,,,0,,,
FITTING,U526,#REF!,"10,554",0,0,0,"10,554",,"5,277",,,,0,,,,0,,,,"5,277",,,
FITTING,U22NL,#REF!,"4,840",0,0,0,"4,840",,"2,420",,,,"2,420",,,,0,,,,0,,,
FITTING,U24NL,#REF!,"5,262",0,0,0,"5,262",,"2,631",,,,"2,631",,,,0,,,,0,,,
FITTING,U25,#REF!,290,0,0,0,290,,145,,,,0,,,,0,,,,145,,,
FITTING,U62,#REF!,"2,475",0,0,0,"2,475",,"2,475",,,,0,,,,0,,,,0,,,
FITTING,U52,#REF!,"99,602",0,0,0,"99,602",,"49,801",,,,"49,801",,,,0,,,,0,,,
FITTING,U34,#REF!,"8,576",0,0,0,"8,576",,"4,288",,,,"4,288",,,,0,,,,0,,,
FITTING,U321,#REF!,"6,076",0,0,0,"6,076",,"3,038",,,,"3,038",,,,0,,,,0,,,
FITTING,U32,#REF!,"8,946",0,0,0,"8,946",,"4,473",,,,"4,473",,,,0,,,,0,,,
FITTING,U71,#REF!,245,0,0,0,245,,245,,,,0,,,,0,,,,0,,,
FITTING,U731,#REF!,95,0,0,0,95,,95,,,,0,,,,0,,,,0,,,
FITTING,UH90-S,#REF!,32,0,0,0,32,,16,,,,16,,,,0,,,,0,,,
FITTING,U932,#REF!,0,0,0,0,0,,0,,,,0,,,,0,,,,0,,,
FITTING,U921,#REF!,0,0,0,0,0,,0,,,,0,,,,0,,,,0,,,
FITTING,U42,#REF!,"44,638",0,0,0,"44,638",,"22,319",,,,"22,319",,,,0,,,,0,,,
FITTING,U242,#REF!,0,0,0,0,0,,0,,,,0,,,,0,,,,0,,,
FITTING,U275,#REF!,0,0,0,0,0,,0,,,,0,,,,0,,,,0,,,
PIPE,PU-6S,#REF!,86,0,0,0,86,,43,,,,0,,,,0,,,,43,,,
FITTING,U251,#REF!,0,0,0,0,0,,0,,,,0,,,,0,,,,0,,,
