https://docs.google.com/spreadsheets/d/170xrcWDdTMvTLSJyCw3yGBWxqOOSfZkesGWunqKr8Rw/edit?gid=1817895758#gid=1817895758,,,,,,,,,,,,1-Jun-2026,WEEK-1,,7-Jun-2026,8-Jun-2026,WEEK-2,,14-Jun-2026,15-Jun-2026,WEEK-3,,21-Jun-2026,22-Jun-2026,WEEK-4,,30-Jun-2026
REPORT 2!B17:Z,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SELECT Col1,Col20,Col21,Col22,Col23,Col24",,,,,,,,"26,951",0,0,0,"23,925",0,0,0,898,0,0,0,"1,027",0,0,0,591,0,0,0
ITEM CODE,TOTAL PLAN,WEEK-1,WEEK-2,WEEK-3,WEEK-4,,ITEM CODE,TOTAL PLAN,TOTAL PROD,TOTAL ORDER,TOTAL SALE,PLANNED,PRODUCED,ORDER,SALE,PLANNED,PRODUCED,ORDER,SALE,PLANNED,PRODUCED,ORDER,SALE,PLANNED,PRODUCED,ORDER,SALE
150-QR,85,85,0,0,0,150-QR-,150-QR,85,0,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135-DR,43,43,0,0,0,135-DR-,135-DR,43,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1322-SR,167,167,0,0,0,1322-SR-,1322-SR,167,0,0,0,167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1322-HNR,48,48,0,0,0,1322-HNR-,1322-HNR,48,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
132-NR,335,335,0,0,0,132-NR-,132-NR,335,0,0,0,335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130-QR,496,496,0,0,0,130-QR-,130-QR,496,0,0,0,496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123-NNR,"1,281","1,281",0,0,0,123-NNR-,123-NNR,"1,281",0,0,0,"1,281",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
147-SR,442,442,0,0,0,147-SR-,147-SR,442,0,0,0,442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123-QP,208,208,0,0,0,123-QP-,123-QP,208,0,0,0,208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130-QP,84,84,0,0,0,130-QP-,130-QP,84,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
129-NR,388,388,0,0,0,129-NR-,129-NR,388,0,0,0,388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
132-QP,165,165,0,0,0,132-QP-,132-QP,165,0,0,0,165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
134-DR,17,17,0,0,0,134-DR-,134-DR,17,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130-DR,68,68,0,0,0,130-DR-,130-DR,68,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
133-QP,147,147,0,0,0,133-QP-,133-QP,147,0,0,0,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1375-DR,33,33,0,0,0,1375-DR-,1375-DR,33,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
144-SR,"2,490","2,490",0,0,0,144-SR-,144-SR,"2,490",0,0,0,"2,490",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1375-SFR,204,204,0,0,0,1375-SFR-,1375-SFR,204,0,0,0,204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
144-NR,791,791,0,0,0,144-NR-,144-NR,791,0,0,0,791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124-SR,"1,296","1,296",0,0,0,124-SR-,124-SR,"1,296",0,0,0,"1,296",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1375-QP,27,27,0,0,0,1375-QP-,1375-QP,27,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121-SR,"2,735","2,735",0,0,0,121-SR-,121-SR,"2,735",0,0,0,"2,735",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
132-SR,445,445,0,0,0,132-SR-,132-SR,445,0,0,0,445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130-SR,620,620,0,0,0,130-SR-,130-SR,620,0,0,0,620,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
144-IR,308,308,0,0,0,144-IR-,144-IR,308,0,0,0,308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
129-IR,220,220,0,0,0,129-IR-,129-IR,220,0,0,0,220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145-IR,9,9,0,0,0,145-IR-,145-IR,9,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123-IR,272,272,0,0,0,123-IR-,123-IR,272,0,0,0,272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
147-IR,356,356,0,0,0,147-IR-,147-IR,356,0,0,0,356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130-NW,56,56,0,0,0,130-NW-,130-NW,56,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
147-IP,199,199,0,0,0,147-IP-,147-IP,199,0,0,0,199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145-NB,28,28,0,0,0,145-NB-,145-NB,28,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1375-VP,22,22,0,0,0,1375-VP-,1375-VP,22,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1375-DP,17,17,0,0,0,1375-DP-,1375-DP,17,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135-DW,5,5,0,0,0,135-DW-,135-DW,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1322-SG,96,96,0,0,0,1322-SG-,1322-SG,96,0,0,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
132-VP,62,62,0,0,0,132-VP-,132-VP,62,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
132-UG,21,21,0,0,0,132-UG-,132-UG,21,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124-VP,43,43,0,0,0,124-VP-,124-VP,43,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
