https://docs.google.com/spreadsheets/d/170xrcWDdTMvTLSJyCw3yGBWxqOOSfZkesGWunqKr8Rw/edit?gid=1817895758#gid=1817895758,,,,,,,,,,,,,,,1-Jun-2026,WEEK-1,,7-Jun-2026,8-Jun-2026,WEEK-2,,14-Jun-2026,15-Jun-2026,WEEK-3,,21-Jun-2026,22-Jun-2026,WEEK-4,,30-Jun-2026
REPORT 5!I12:AB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SELECT Col1,Col2,Col15,Col16,Col17,Col18,Col19",,,,,,,,,,,"30,164",0,0,0,"29,897",0,0,0,52,0,0,0,100,0,0,0,95,0,0,0
,ITEM CODE,ITEM COLOR,TOTAL PLAN,WEEK-1,WEEK-2,WEEK-3,WEEK-4,,ITEM CODE,ITEM COLOR,TOTAL PLAN,TOTAL PROD,TOTAL ORDER,TOTAL SALE,PLANNED,PRODUCED,ORDER,SALE,PLANNED,PRODUCED,ORDER,SALE,PLANNED,PRODUCED,ORDER,SALE,PLANNED,PRODUCED,ORDER,SALE
501-NIVORY,501-N,IVORY,1,1,0,0,0,501-NIVORY,501-N,IVORY,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
503-NIVORY,503-N,IVORY,1,1,0,0,0,503-NIVORY,503-N,IVORY,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
518WHITE,518,WHITE,400,400,0,0,0,518WHITE,518,WHITE,400,0,0,0,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
501WHITE,501,WHITE,3897,3897,0,0,0,501WHITE,501,WHITE,3897,0,0,0,3897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
701WHITE,701,WHITE,14754,14754,0,0,0,701WHITE,701,WHITE,14754,0,0,0,14754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
705WHITE,705,WHITE,409,409,0,0,0,705WHITE,705,WHITE,409,0,0,0,409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
513WHITE,513,WHITE,3981,3981,0,0,0,513WHITE,513,WHITE,3981,0,0,0,3981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
704IVORY,704,IVORY,68,68,0,0,0,704IVORY,704,IVORY,68,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
702WHITE,702,WHITE,262,262,0,0,0,702WHITE,702,WHITE,262,0,0,0,262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
704WHITE,704,WHITE,3385,3385,0,0,0,704WHITE,704,WHITE,3385,0,0,0,3385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
516WHITE,516,WHITE,1311,1311,0,0,0,516WHITE,516,WHITE,1311,0,0,0,1311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
503WHITE,503,WHITE,288,288,0,0,0,503WHITE,503,WHITE,288,0,0,0,288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
701-NWHITE,701-N,WHITE,136,136,0,0,0,701-NWHITE,701-N,WHITE,136,0,0,0,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
508WHITE,508,WHITE,527,527,0,0,0,508WHITE,508,WHITE,527,0,0,0,527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
517WHITE,517,WHITE,247,247,0,0,0,517WHITE,517,WHITE,247,0,0,0,247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
511WHITE,511,WHITE,230,230,0,0,0,511WHITE,511,WHITE,230,0,0,0,230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
502WHITE,502,WHITE,52,0,52,0,0,502WHITE,502,WHITE,52,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0
516PINK,516,PINK,37,0,0,37,0,516PINK,516,PINK,37,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0
506WHITE,506,WHITE,34,0,0,34,0,506WHITE,506,WHITE,34,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0
504WHITE,504,WHITE,12,0,0,12,0,504WHITE,504,WHITE,12,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0
513BLUE,513,BLUE,17,0,0,17,0,513BLUE,513,BLUE,17,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0
701PINK,701,PINK,80,0,0,0,80,701PINK,701,PINK,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0
514-TWHITE,514-T,WHITE,15,0,0,0,15,514-TWHITE,514-T,WHITE,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0
725WHITE,725,WHITE,-5,0,0,0,0,512WHITE,512,WHITE,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
501PINK,501,PINK,-56,0,0,0,0,,,,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0
517BLUE,517,BLUE,-10,0,0,0,0,,,,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0
517PINK,517,PINK,-34,0,0,0,0,,,,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0
516IVORY,516,IVORY,-45,0,0,0,0,,,,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0
513GREEN,513,GREEN,-68,0,0,0,0,,,,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0
501BLUE,501,BLUE,-54,0,0,0,0,,,,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0
517GREEN,517,GREEN,-10,0,0,0,0,,,,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0
701IVORY,701,IVORY,-132,0,0,0,0,,,,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0
513PINK,513,PINK,-176,0,0,0,0,,,,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0
501IVORY,501,IVORY,-102,0,0,0,0,,,,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0
501GREEN,501,GREEN,-67,0,0,0,0,,,,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0
723WHITE,723,WHITE,-174,0,0,0,0,,,,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0
722WHITE,722,WHITE,-163,0,0,0,0,,,,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0
516BLUE,516,BLUE,-110,0,0,0,0,,,,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0
703WHITE,703,WHITE,-132,0,0,0,0,,,,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0
724WHITE,724,WHITE,-261,0,0,0,0,,,,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0
701GREEN,701,GREEN,-318,0,0,0,0,,,,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0
514WHITE,514,WHITE,-116,0,0,0,0,,,,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0
701BLUE,701,BLUE,-142,0,0,0,0,,,,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0
513IVORY,513,IVORY,-1022,0,0,0,0,,,,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0
721WHITE,721,WHITE,-496,0,0,0,0,,,,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0
501-NWHITE,501-N,WHITE,0,0,0,0,0,,,,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0
507WHITE,507,WHITE,-44,0,0,0,0,,,,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0
502IVORY,502,IVORY,-16,0,0,0,0,,,,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0
508IVORY,508,IVORY,-66,0,0,0,0,,,,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0
516GREEN,516,GREEN,-162,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
515WHITE,515,WHITE,-702,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
705IVORY,705,IVORY,-70,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
514-TIVORY,514-T,IVORY,-102,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
517IVORY,517,IVORY,-255,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
503IVORY,503,IVORY,-31,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
516-SWHITE,516-S,WHITE,-9,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
514IVORY,514,IVORY,-87,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
512WHITE,512,WHITE,20,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
506IVORY,506,IVORY,-185,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
706WHITE,706,WHITE,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
708WHITE,708,WHITE,-38,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
511IVORY,511,IVORY,-60,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
515IVORY,515,IVORY,-11,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
503-NWHITE,503-N,WHITE,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
701-NIVORY,701-N,IVORY,-38,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
501-SWHITE,501-S,WHITE,-208,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
703IVORY,703,IVORY,-37,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
505WHITE,505,WHITE,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
723IVORY,723,IVORY,-89,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
507IVORY,507,IVORY,-220,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
504IVORY,504,IVORY,-10,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
512IVORY,512,IVORY,-9,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
501-SIVORY,501-S,IVORY,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
505IVORY,505,IVORY,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
702IVORY,702,IVORY,-10,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
706IVORY,706,IVORY,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
708IVORY,708,IVORY,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
724IVORY,724,IVORY,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
725IVORY,725,IVORY,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
722IVORY,722,IVORY,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
501-SPINK,501-S,PINK,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
502PINK,502,PINK,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
503PINK,503,PINK,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
504PINK,504,PINK,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
505PINK,505,PINK,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
506PINK,506,PINK,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
508PINK,508,PINK,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
507PINK,507,PINK,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
702PINK,702,PINK,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
703PINK,703,PINK,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
704PINK,704,PINK,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
705PINK,705,PINK,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
706PINK,706,PINK,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
708PINK,708,PINK,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
501-NPINK,501-N,PINK,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
503-NPINK,503-N,PINK,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
701-NPINK,701-N,PINK,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
723PINK,723,PINK,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
724PINK,724,PINK,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
725PINK,725,PINK,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
722PINK,722,PINK,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
511PINK,511,PINK,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
512PINK,512,PINK,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
514PINK,514,PINK,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
515PINK,515,PINK,-75,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
501-SGREEN,501-S,GREEN,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
502GREEN,502,GREEN,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
503GREEN,503,GREEN,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
504GREEN,504,GREEN,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
505GREEN,505,GREEN,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
506GREEN,506,GREEN,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
508GREEN,508,GREEN,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
507GREEN,507,GREEN,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
702GREEN,702,GREEN,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
703GREEN,703,GREEN,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
704GREEN,704,GREEN,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
705GREEN,705,GREEN,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
706GREEN,706,GREEN,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
708GREEN,708,GREEN,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
501-NGREEN,501-N,GREEN,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
503-NGREEN,503-N,GREEN,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
701-NGREEN,701-N,GREEN,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
723GREEN,723,GREEN,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
724GREEN,724,GREEN,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
725GREEN,725,GREEN,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
722GREEN,722,GREEN,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
511GREEN,511,GREEN,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
512GREEN,512,GREEN,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
514GREEN,514,GREEN,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
515GREEN,515,GREEN,-57,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
501-SBLUE,501-S,BLUE,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
502BLUE,502,BLUE,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
503BLUE,503,BLUE,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
504BLUE,504,BLUE,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
505BLUE,505,BLUE,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
506BLUE,506,BLUE,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
508BLUE,508,BLUE,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
507BLUE,507,BLUE,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
702BLUE,702,BLUE,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
703BLUE,703,BLUE,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
704BLUE,704,BLUE,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
705BLUE,705,BLUE,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
706BLUE,706,BLUE,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
708BLUE,708,BLUE,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
501-NBLUE,501-N,BLUE,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
503-NBLUE,503-N,BLUE,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
701-NBLUE,701-N,BLUE,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
723BLUE,723,BLUE,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
724BLUE,724,BLUE,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
725BLUE,725,BLUE,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
