https://docs.google.com/spreadsheets/d/170xrcWDdTMvTLSJyCw3yGBWxqOOSfZkesGWunqKr8Rw/edit?gid=1817895758#gid=1817895758,,,,,,,,,,,,,,,1-Jun-2026,WEEK-1,,7-Jun-2026,8-Jun-2026,WEEK-2,,14-Jun-2026,15-Jun-2026,WEEK-3,,21-Jun-2026,22-Jun-2026,WEEK-4,,30-Jun-2026,25-Jul-2025,WEEK-4,,31-Jul-2025
REPORT 7!B9:Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SELECT Col1,Col6,Col20,Col21,Col22,Col23,Col24",,,,,,,,,,,"66,988",0,0,0,"66,648",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
,ITEM CODE,ITEM COLOR,TOTAL PLAN,WEEK-1,WEEK-2,WEEK-3,WEEK-4,,ITEM CODE,ITEM COLOR,TOTAL PLAN,TOTAL PROD,TOTAL ORDER,TOTAL SALE,PLANNED,PRODUCED,ORDER,SALE,PLANNED,PRODUCED,ORDER,SALE,PLANNED,PRODUCED,ORDER,SALE,PLANNED,PRODUCED,ORDER,SALE,,,,
156GOLD,156,GOLD,1188,1188,0,0,0,156GOLD,156,GOLD,1188,0,0,0,1188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
155GOLD,155,GOLD,1321,1321,0,0,0,155GOLD,155,GOLD,1321,0,0,0,1321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
154GOLD,154,GOLD,705,705,0,0,0,154GOLD,154,GOLD,705,0,0,0,705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
153GOLD,153,GOLD,6727,6727,0,0,0,153GOLD,153,GOLD,6727,0,0,0,6727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
152GOLD,152,GOLD,12014,12014,0,0,0,152GOLD,152,GOLD,12014,0,0,0,12014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
151GOLD,151,GOLD,16880,16880,0,0,0,151GOLD,151,GOLD,16880,0,0,0,16880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
172.,172,.,6,6,0,0,0,172.,172,.,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
